,giv_prop,iv,iv_label,cat_t1,cat_t1_label,iv.1,iv_label.1,cat_t2,cat_t2_label,mod,mod_label,mod_val,mod_val_label,dependent,effect,td,pred_num,pred_readable,comparative,pred_true,score_0.0,score_2.0,max_score,hypothesis
30630,https://data.cooperationdatabank.org/vocab/prop/LeadershipVariable,https://data.cooperationdatabank.org/vocab/prop/leaderCharacteristic,Leader's characteristic,https://data.cooperationdatabank.org/id/leadercharacteristic/male,Male,https://data.cooperationdatabank.org/vocab/prop/leaderCharacteristic,Leader's characteristic,https://data.cooperationdatabank.org/id/leadercharacteristic/female,Female,https://data.cooperationdatabank.org/vocab/prop/studyGameIncentive,Game incentive,https://data.cooperationdatabank.org/id/studygameincentive/1,Monetary,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,0.0,negative,lower,2.0,1.0,0.0,1.0,"When comparing studies where leader's characteristic is male and studies where leader's characteristic is female, cooperation is significantly lower when game incentive is monetary compared to when game incentive has another value."
55,https://data.cooperationdatabank.org/vocab/prop/LeadershipVariable,https://data.cooperationdatabank.org/vocab/prop/leadershipAssignmentRule,Leadership assignment rule,https://data.cooperationdatabank.org/id/leadershipassignmentrule/authority,Authority,https://data.cooperationdatabank.org/vocab/prop/leadershipAssignmentRule,Leadership assignment rule,https://data.cooperationdatabank.org/id/leadershipassignmentrule/fixed,Fixed ,https://data.cooperationdatabank.org/vocab/prop/studyShowUpFee,Show-up fee,https://data.cooperationdatabank.org/id/studyshowupfee/1,Paid,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where leadership assignment rule is authority and studies where leadership assignment rule is fixed , cooperation is significantly higher when show-up fee is paid compared to when show-up fee has another value."
61,https://data.cooperationdatabank.org/vocab/prop/LeadershipVariable,https://data.cooperationdatabank.org/vocab/prop/leadershipAssignmentRule,Leadership assignment rule,https://data.cooperationdatabank.org/id/leadershipassignmentrule/authority,Authority,https://data.cooperationdatabank.org/vocab/prop/leadershipAssignmentRule,Leadership assignment rule,https://data.cooperationdatabank.org/id/leadershipassignmentrule/fixed,Fixed ,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,Game type,https://data.cooperationdatabank.org/id/studydilemmatype/3,Resource Dilemma,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where leadership assignment rule is authority and studies where leadership assignment rule is fixed , cooperation is significantly higher when game type is resource dilemma compared to when game type has another value."
63,https://data.cooperationdatabank.org/vocab/prop/LeadershipVariable,https://data.cooperationdatabank.org/vocab/prop/leadershipAssignmentRule,Leadership assignment rule,https://data.cooperationdatabank.org/id/leadershipassignmentrule/authority,Authority,https://data.cooperationdatabank.org/vocab/prop/leadershipAssignmentRule,Leadership assignment rule,https://data.cooperationdatabank.org/id/leadershipassignmentrule/fixed,Fixed ,https://data.cooperationdatabank.org/vocab/prop/studyGameIncentive,Game incentive,https://data.cooperationdatabank.org/id/studygameincentive/1,Monetary,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where leadership assignment rule is authority and studies where leadership assignment rule is fixed , cooperation is significantly higher when game incentive is monetary compared to when game incentive has another value."
64,https://data.cooperationdatabank.org/vocab/prop/LeadershipVariable,https://data.cooperationdatabank.org/vocab/prop/leadershipAssignmentRule,Leadership assignment rule,https://data.cooperationdatabank.org/id/leadershipassignmentrule/authority,Authority,https://data.cooperationdatabank.org/vocab/prop/leadershipAssignmentRule,Leadership assignment rule,https://data.cooperationdatabank.org/id/leadershipassignmentrule/fixed,Fixed ,https://data.cooperationdatabank.org/vocab/prop/studyMatchingProtocol,Matching,https://data.cooperationdatabank.org/id/studymatchingprotocol/1,Stranger,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where leadership assignment rule is authority and studies where leadership assignment rule is fixed , cooperation is significantly higher when matching is stranger compared to when matching has another value."
21993,https://data.cooperationdatabank.org/vocab/prop/LeadershipVariable,https://data.cooperationdatabank.org/vocab/prop/leadershipRole,Leadership role,https://data.cooperationdatabank.org/id/leadershiprole/leader,Leader ,https://data.cooperationdatabank.org/vocab/prop/leadershipRole,Leadership role,https://data.cooperationdatabank.org/id/leadershiprole/follower,Follower,https://data.cooperationdatabank.org/vocab/prop/studyMatchingProtocol,Matching,https://data.cooperationdatabank.org/id/studymatchingprotocol/2,Partner,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where leadership role is leader  and studies where leadership role is follower, cooperation is significantly lower when matching is partner compared to when matching has another value."
25791,https://data.cooperationdatabank.org/vocab/prop/LeadershipVariable,https://data.cooperationdatabank.org/vocab/prop/leadershipAssignmentRule,Leadership assignment rule,https://data.cooperationdatabank.org/id/leadershipassignmentrule/volunteer,Volunteer,https://data.cooperationdatabank.org/vocab/prop/leadershipAssignmentRule,Leadership assignment rule,https://data.cooperationdatabank.org/id/leadershipassignmentrule/other,Other,https://data.cooperationdatabank.org/vocab/prop/studyExperimentalSetting,Experimental setting,https://data.cooperationdatabank.org/id/studyexperimentalsetting/2,Lab,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where leadership assignment rule is volunteer and studies where leadership assignment rule is other, cooperation is significantly higher when experimental setting is lab compared to when experimental setting has another value."
29250,https://data.cooperationdatabank.org/vocab/prop/LeadershipVariable,https://data.cooperationdatabank.org/vocab/prop/leadershipAssignmentRule,Leadership assignment rule,https://data.cooperationdatabank.org/id/leadershipassignmentrule/fixed,Fixed ,https://data.cooperationdatabank.org/vocab/prop/leadershipAssignmentRule,Leadership assignment rule,https://data.cooperationdatabank.org/id/leadershipassignmentrule/volunteer,Volunteer,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,Acquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,Strangers,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where leadership assignment rule is fixed  and studies where leadership assignment rule is volunteer, cooperation is significantly higher when acquaintance is strangers compared to when acquaintance has another value."
424,https://data.cooperationdatabank.org/vocab/prop/LeadershipVariable,https://data.cooperationdatabank.org/vocab/prop/leaderBehavior,Leader's behavior,https://data.cooperationdatabank.org/id/leaderbehavior/cooperative,Cooperative,https://data.cooperationdatabank.org/vocab/prop/leaderBehavior,Leader's behavior,https://data.cooperationdatabank.org/id/leaderbehavior/noncooperative,Noncooperative,https://data.cooperationdatabank.org/vocab/prop/studyRealPartner,Real partner,https://data.cooperationdatabank.org/id/studyrealpartner/2,Deception,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,2.0,positive,higher,0.0,0.0,1.0,1.0,"When comparing studies where leader's behavior is cooperative and studies where leader's behavior is noncooperative, cooperation is significantly higher when real partner is deception compared to when real partner has another value."
774,https://data.cooperationdatabank.org/vocab/prop/LeadershipVariable,https://data.cooperationdatabank.org/vocab/prop/leaderCharacteristic,Leader's characteristic,https://data.cooperationdatabank.org/id/leadercharacteristic/outgroup,Outgroup,https://data.cooperationdatabank.org/vocab/prop/leaderCharacteristic,Leader's characteristic,https://data.cooperationdatabank.org/id/leadercharacteristic/ingroup,Ingroup,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,Published,https://data.cooperationdatabank.org/id/publicationstatus/5,Masterâs thesis,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where leader's characteristic is outgroup and studies where leader's characteristic is ingroup, cooperation is significantly lower when published is masterâs thesis compared to when published has another value."
777,https://data.cooperationdatabank.org/vocab/prop/LeadershipVariable,https://data.cooperationdatabank.org/vocab/prop/leaderCharacteristic,Leader's characteristic,https://data.cooperationdatabank.org/id/leadercharacteristic/outgroup,Outgroup,https://data.cooperationdatabank.org/vocab/prop/leaderCharacteristic,Leader's characteristic,https://data.cooperationdatabank.org/id/leadercharacteristic/ingroup,Ingroup,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,Game type,https://data.cooperationdatabank.org/id/studydilemmatype/2,Public Goods Game,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where leader's characteristic is outgroup and studies where leader's characteristic is ingroup, cooperation is significantly lower when game type is public goods game compared to when game type has another value."
790,https://data.cooperationdatabank.org/vocab/prop/LeadershipVariable,https://data.cooperationdatabank.org/vocab/prop/leaderCharacteristic,Leader's characteristic,https://data.cooperationdatabank.org/id/leadercharacteristic/outgroup,Outgroup,https://data.cooperationdatabank.org/vocab/prop/leaderCharacteristic,Leader's characteristic,https://data.cooperationdatabank.org/id/leadercharacteristic/ingroup,Ingroup,https://data.cooperationdatabank.org/vocab/prop/studyAcademicDiscipline,Academic discipline,https://data.cooperationdatabank.org/id/studyacademicdiscipline/4,Mixed,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where leader's characteristic is outgroup and studies where leader's characteristic is ingroup, cooperation is significantly lower when academic discipline is mixed compared to when academic discipline has another value."
