,giv_prop,iv,iv_label,cat_t1,cat_t1_label,iv.1,iv_label.1,cat_t2,cat_t2_label,mod,mod_label,mod_val,mod_val_label,dependent,effect,td,pred_num,pred_readable,comparative,pred_true,score_0.0,score_2.0,max_score,hypothesis
8831,https://data.cooperationdatabank.org/vocab/prop/Partner_typeVariable,https://data.cooperationdatabank.org/vocab/prop/partnerType,Partner type,https://data.cooperationdatabank.org/id/partnertype/stranger,Stranger,https://data.cooperationdatabank.org/vocab/prop/partnerType,Partner type,https://data.cooperationdatabank.org/id/partnertype/computer,Computer,https://data.cooperationdatabank.org/vocab/prop/studyMatchingProtocol,Matching,https://data.cooperationdatabank.org/id/studymatchingprotocol/2,Partner,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where partner type is stranger and studies where partner type is computer, cooperation is significantly higher when matching is partner compared to when matching has another value."
15035,https://data.cooperationdatabank.org/vocab/prop/Partner_typeVariable,https://data.cooperationdatabank.org/vocab/prop/partnerType,Partner type,https://data.cooperationdatabank.org/id/partnertype/stranger,Stranger,https://data.cooperationdatabank.org/vocab/prop/partnerType,Partner type,https://data.cooperationdatabank.org/id/partnertype/computer,Computer,https://data.cooperationdatabank.org/vocab/prop/discussion,Discussion,https://data.cooperationdatabank.org/id/discussion/0,Absent,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where partner type is stranger and studies where partner type is computer, cooperation is significantly higher when discussion is absent compared to when discussion has another value."
15046,https://data.cooperationdatabank.org/vocab/prop/Partner_typeVariable,https://data.cooperationdatabank.org/vocab/prop/partnerType,Partner type,https://data.cooperationdatabank.org/id/partnertype/stranger,Stranger,https://data.cooperationdatabank.org/vocab/prop/partnerType,Partner type,https://data.cooperationdatabank.org/id/partnertype/computer,Computer,https://data.cooperationdatabank.org/vocab/prop/yearSource,Source of year of data collection,https://data.cooperationdatabank.org/id/yearsource/4,Received/Submitted,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where partner type is stranger and studies where partner type is computer, cooperation is significantly higher when source of year of data collection is submitted compared to when source of year of data collection has another value."
18002,https://data.cooperationdatabank.org/vocab/prop/Partner_typeVariable,https://data.cooperationdatabank.org/vocab/prop/partnerType,Partner type,https://data.cooperationdatabank.org/id/partnertype/stranger,Stranger,https://data.cooperationdatabank.org/vocab/prop/partnerType,Partner type,https://data.cooperationdatabank.org/id/partnertype/computer,Computer,https://data.cooperationdatabank.org/vocab/prop/studyTrialOfCooperation,Trial of cooperation,https://data.cooperationdatabank.org/id/studytrialofcooperation/1,All trials,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where partner type is stranger and studies where partner type is computer, cooperation is significantly higher when trial of cooperation is all trials compared to when trial of cooperation has another value."
18009,https://data.cooperationdatabank.org/vocab/prop/Partner_typeVariable,https://data.cooperationdatabank.org/vocab/prop/partnerType,Partner type,https://data.cooperationdatabank.org/id/partnertype/stranger,Stranger,https://data.cooperationdatabank.org/vocab/prop/partnerType,Partner type,https://data.cooperationdatabank.org/id/partnertype/computer,Computer,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,Published,https://data.cooperationdatabank.org/id/publicationstatus/1,Published Article,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where partner type is stranger and studies where partner type is computer, cooperation is significantly higher when published is published article compared to when published has another value."
18010,https://data.cooperationdatabank.org/vocab/prop/Partner_typeVariable,https://data.cooperationdatabank.org/vocab/prop/partnerType,Partner type,https://data.cooperationdatabank.org/id/partnertype/stranger,Stranger,https://data.cooperationdatabank.org/vocab/prop/partnerType,Partner type,https://data.cooperationdatabank.org/id/partnertype/computer,Computer,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,Acquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,Strangers,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where partner type is stranger and studies where partner type is computer, cooperation is significantly higher when acquaintance is strangers compared to when acquaintance has another value."
18025,https://data.cooperationdatabank.org/vocab/prop/Partner_typeVariable,https://data.cooperationdatabank.org/vocab/prop/partnerType,Partner type,https://data.cooperationdatabank.org/id/partnertype/stranger,Stranger,https://data.cooperationdatabank.org/vocab/prop/partnerType,Partner type,https://data.cooperationdatabank.org/id/partnertype/computer,Computer,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,Published,https://data.cooperationdatabank.org/id/publicationstatus/1,Published Article,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where partner type is stranger and studies where partner type is computer, cooperation is significantly higher when published is published article compared to when published has another value."
18031,https://data.cooperationdatabank.org/vocab/prop/Partner_typeVariable,https://data.cooperationdatabank.org/vocab/prop/partnerType,Partner type,https://data.cooperationdatabank.org/id/partnertype/stranger,Stranger,https://data.cooperationdatabank.org/vocab/prop/partnerType,Partner type,https://data.cooperationdatabank.org/id/partnertype/computer,Computer,https://data.cooperationdatabank.org/vocab/prop/studyOneShot,One-shot vs repeated,https://data.cooperationdatabank.org/id/studyoneshot/0,Repeated,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where partner type is stranger and studies where partner type is computer, cooperation is significantly higher when one-shot vs repeated is repeated compared to when one-shot vs repeated has another value."
18032,https://data.cooperationdatabank.org/vocab/prop/Partner_typeVariable,https://data.cooperationdatabank.org/vocab/prop/partnerType,Partner type,https://data.cooperationdatabank.org/id/partnertype/stranger,Stranger,https://data.cooperationdatabank.org/vocab/prop/partnerType,Partner type,https://data.cooperationdatabank.org/id/partnertype/computer,Computer,https://data.cooperationdatabank.org/vocab/prop/studyRealPartner,Real partner,https://data.cooperationdatabank.org/id/studyrealpartner/2,Deception,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where partner type is stranger and studies where partner type is computer, cooperation is significantly higher when real partner is deception compared to when real partner has another value."
18033,https://data.cooperationdatabank.org/vocab/prop/Partner_typeVariable,https://data.cooperationdatabank.org/vocab/prop/partnerType,Partner type,https://data.cooperationdatabank.org/id/partnertype/stranger,Stranger,https://data.cooperationdatabank.org/vocab/prop/partnerType,Partner type,https://data.cooperationdatabank.org/id/partnertype/computer,Computer,https://data.cooperationdatabank.org/vocab/prop/studyRealPartner,Real partner,https://data.cooperationdatabank.org/id/studyrealpartner/0,Hypothetical,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where partner type is stranger and studies where partner type is computer, cooperation is significantly higher when real partner is hypothetical compared to when real partner has another value."
