,giv_prop,iv,iv_label,cat_t1,cat_t1_label,iv.1,iv_label.1,cat_t2,cat_t2_label,mod,mod_label,mod_val,mod_val_label,dependent,effect,td,pred_num,pred_readable,comparative,pred_true,score_0.0,score_2.0,max_score,hypothesis
2183,https://data.cooperationdatabank.org/vocab/prop/Perception_of_the_partner(s)Variable,https://data.cooperationdatabank.org/vocab/prop/partnerPerceptionLevel,Partner perception level,https://data.cooperationdatabank.org/id/partnerperceptionlevel/high,high,https://data.cooperationdatabank.org/vocab/prop/partnerPerceptionLevel,Partner perception level,https://data.cooperationdatabank.org/id/partnerperceptionlevel/low,low,https://data.cooperationdatabank.org/vocab/prop/studyTrialOfCooperation,Trial of cooperation,https://data.cooperationdatabank.org/id/studytrialofcooperation/1,All trials,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where partner perception level is high and studies where partner perception level is low, cooperation is significantly higher when trial of cooperation is all trials compared to when trial of cooperation has another value."
7174,https://data.cooperationdatabank.org/vocab/prop/Perception_of_the_partner(s)Variable,https://data.cooperationdatabank.org/vocab/prop/genderOfPartner,Gender of the partner,https://data.cooperationdatabank.org/id/genderofpartner/m,M,https://data.cooperationdatabank.org/vocab/prop/genderOfPartner,Gender of the partner,https://data.cooperationdatabank.org/id/genderofpartner/f,F,https://data.cooperationdatabank.org/vocab/prop/studyMatchingProtocol,Matching,https://data.cooperationdatabank.org/id/studymatchingprotocol/2,Partner,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where gender of the partner is m and studies where gender of the partner is f, cooperation is significantly higher when matching is partner compared to when matching has another value."
7875,https://data.cooperationdatabank.org/vocab/prop/Perception_of_the_partner(s)Variable,https://data.cooperationdatabank.org/vocab/prop/partnerPerceptionLevel,Partner perception level,https://data.cooperationdatabank.org/id/partnerperceptionlevel/high,high,https://data.cooperationdatabank.org/vocab/prop/partnerPerceptionLevel,Partner perception level,https://data.cooperationdatabank.org/id/partnerperceptionlevel/low,low,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/NLD,NLD,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where partner perception level is high and studies where partner perception level is low, cooperation is significantly higher when has country is nld compared to when has country has another value."
7878,https://data.cooperationdatabank.org/vocab/prop/Perception_of_the_partner(s)Variable,https://data.cooperationdatabank.org/vocab/prop/partnerPerceptionLevel,Partner perception level,https://data.cooperationdatabank.org/id/partnerperceptionlevel/high,high,https://data.cooperationdatabank.org/vocab/prop/partnerPerceptionLevel,Partner perception level,https://data.cooperationdatabank.org/id/partnerperceptionlevel/low,low,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,Published,https://data.cooperationdatabank.org/id/publicationstatus/1,Published Article,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where partner perception level is high and studies where partner perception level is low, cooperation is significantly higher when published is published article compared to when published has another value."
7879,https://data.cooperationdatabank.org/vocab/prop/Perception_of_the_partner(s)Variable,https://data.cooperationdatabank.org/vocab/prop/partnerPerceptionLevel,Partner perception level,https://data.cooperationdatabank.org/id/partnerperceptionlevel/high,high,https://data.cooperationdatabank.org/vocab/prop/partnerPerceptionLevel,Partner perception level,https://data.cooperationdatabank.org/id/partnerperceptionlevel/low,low,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,Acquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,Strangers,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where partner perception level is high and studies where partner perception level is low, cooperation is significantly higher when acquaintance is strangers compared to when acquaintance has another value."
7882,https://data.cooperationdatabank.org/vocab/prop/Perception_of_the_partner(s)Variable,https://data.cooperationdatabank.org/vocab/prop/partnerPerceptionLevel,Partner perception level,https://data.cooperationdatabank.org/id/partnerperceptionlevel/high,high,https://data.cooperationdatabank.org/vocab/prop/partnerPerceptionLevel,Partner perception level,https://data.cooperationdatabank.org/id/partnerperceptionlevel/low,low,https://data.cooperationdatabank.org/vocab/prop/studyGameIncentive,Game incentive,https://data.cooperationdatabank.org/id/studygameincentive/0,Hypothetical,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where partner perception level is high and studies where partner perception level is low, cooperation is significantly higher when game incentive is hypothetical compared to when game incentive has another value."
7888,https://data.cooperationdatabank.org/vocab/prop/Perception_of_the_partner(s)Variable,https://data.cooperationdatabank.org/vocab/prop/partnerPerceptionLevel,Partner perception level,https://data.cooperationdatabank.org/id/partnerperceptionlevel/high,high,https://data.cooperationdatabank.org/vocab/prop/partnerPerceptionLevel,Partner perception level,https://data.cooperationdatabank.org/id/partnerperceptionlevel/low,low,https://data.cooperationdatabank.org/vocab/prop/studyShowUpFee,Show-up fee,https://data.cooperationdatabank.org/id/studyshowupfee/1,Paid,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where partner perception level is high and studies where partner perception level is low, cooperation is significantly higher when show-up fee is paid compared to when show-up fee has another value."
7929,https://data.cooperationdatabank.org/vocab/prop/Perception_of_the_partner(s)Variable,https://data.cooperationdatabank.org/vocab/prop/partnerPerceptionLevel,Partner perception level,https://data.cooperationdatabank.org/id/partnerperceptionlevel/high,high,https://data.cooperationdatabank.org/vocab/prop/partnerPerceptionLevel,Partner perception level,https://data.cooperationdatabank.org/id/partnerperceptionlevel/low,low,https://data.cooperationdatabank.org/vocab/prop/studyOneShot,One-shot vs repeated,https://data.cooperationdatabank.org/id/studyoneshot/1,One-shot,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where partner perception level is high and studies where partner perception level is low, cooperation is significantly higher when one-shot vs repeated is one-shot compared to when one-shot vs repeated has another value."
7935,https://data.cooperationdatabank.org/vocab/prop/Perception_of_the_partner(s)Variable,https://data.cooperationdatabank.org/vocab/prop/partnerPerceptionLevel,Partner perception level,https://data.cooperationdatabank.org/id/partnerperceptionlevel/high,high,https://data.cooperationdatabank.org/vocab/prop/partnerPerceptionLevel,Partner perception level,https://data.cooperationdatabank.org/id/partnerperceptionlevel/low,low,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/NLD,NLD,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where partner perception level is high and studies where partner perception level is low, cooperation is significantly higher when has country is nld compared to when has country has another value."
8806,https://data.cooperationdatabank.org/vocab/prop/Perception_of_the_partner(s)Variable,https://data.cooperationdatabank.org/vocab/prop/partnerPerceptionLevel,Partner perception level,https://data.cooperationdatabank.org/id/partnerperceptionlevel/high,high,https://data.cooperationdatabank.org/vocab/prop/partnerPerceptionLevel,Partner perception level,https://data.cooperationdatabank.org/id/partnerperceptionlevel/low,low,https://data.cooperationdatabank.org/vocab/prop/recruitmentMethod,Recruitment method,https://data.cooperationdatabank.org/id/recruitmentmethod/1,Participant pool,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where partner perception level is high and studies where partner perception level is low, cooperation is significantly higher when recruitment method is participant pool compared to when recruitment method has another value."
8811,https://data.cooperationdatabank.org/vocab/prop/Perception_of_the_partner(s)Variable,https://data.cooperationdatabank.org/vocab/prop/partnerPerceptionLevel,Partner perception level,https://data.cooperationdatabank.org/id/partnerperceptionlevel/high,high,https://data.cooperationdatabank.org/vocab/prop/partnerPerceptionLevel,Partner perception level,https://data.cooperationdatabank.org/id/partnerperceptionlevel/low,low,https://data.cooperationdatabank.org/vocab/prop/studyAcademicDiscipline,Academic discipline,https://data.cooperationdatabank.org/id/studyacademicdiscipline/4,Mixed,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where partner perception level is high and studies where partner perception level is low, cooperation is significantly higher when academic discipline is mixed compared to when academic discipline has another value."
8813,https://data.cooperationdatabank.org/vocab/prop/Perception_of_the_partner(s)Variable,https://data.cooperationdatabank.org/vocab/prop/partnerPerceptionLevel,Partner perception level,https://data.cooperationdatabank.org/id/partnerperceptionlevel/high,high,https://data.cooperationdatabank.org/vocab/prop/partnerPerceptionLevel,Partner perception level,https://data.cooperationdatabank.org/id/partnerperceptionlevel/low,low,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,Game type,https://data.cooperationdatabank.org/id/studydilemmatype/1,Prisoner's Dilemma Game,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where partner perception level is high and studies where partner perception level is low, cooperation is significantly higher when game type is prisoner's dilemma game compared to when game type has another value."
8816,https://data.cooperationdatabank.org/vocab/prop/Perception_of_the_partner(s)Variable,https://data.cooperationdatabank.org/vocab/prop/partnerPerceptionLevel,Partner perception level,https://data.cooperationdatabank.org/id/partnerperceptionlevel/high,high,https://data.cooperationdatabank.org/vocab/prop/partnerPerceptionLevel,Partner perception level,https://data.cooperationdatabank.org/id/partnerperceptionlevel/low,low,https://data.cooperationdatabank.org/vocab/prop/studyMatchingProtocol,Matching,https://data.cooperationdatabank.org/id/studymatchingprotocol/2,Partner,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where partner perception level is high and studies where partner perception level is low, cooperation is significantly higher when matching is partner compared to when matching has another value."
8818,https://data.cooperationdatabank.org/vocab/prop/Perception_of_the_partner(s)Variable,https://data.cooperationdatabank.org/vocab/prop/partnerPerceptionLevel,Partner perception level,https://data.cooperationdatabank.org/id/partnerperceptionlevel/high,high,https://data.cooperationdatabank.org/vocab/prop/partnerPerceptionLevel,Partner perception level,https://data.cooperationdatabank.org/id/partnerperceptionlevel/low,low,https://data.cooperationdatabank.org/vocab/prop/studyRealPartner,Real partner,https://data.cooperationdatabank.org/id/studyrealpartner/0,Hypothetical,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where partner perception level is high and studies where partner perception level is low, cooperation is significantly higher when real partner is hypothetical compared to when real partner has another value."
11634,https://data.cooperationdatabank.org/vocab/prop/Perception_of_the_partner(s)Variable,https://data.cooperationdatabank.org/vocab/prop/similarityLevel,Similarity level,https://data.cooperationdatabank.org/id/similaritylevel/high,High,https://data.cooperationdatabank.org/vocab/prop/similarityLevel,Similarity level,https://data.cooperationdatabank.org/id/similaritylevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,Published,https://data.cooperationdatabank.org/id/publicationstatus/1,Published Article,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,positive,test,0.0,negative,lower,2.0,1.0,0.0,1.0,"When comparing studies where similarity level is high and studies where similarity level is low, cooperation is significantly lower when published is published article compared to when published has another value."
