,giv_prop,iv,iv_label,cat_t1,cat_t1_label,iv.1,iv_label.1,cat_t2,cat_t2_label,mod,mod_label,mod_val,mod_val_label,dependent,effect,td,pred_num,pred_readable,comparative,pred_true,score_0.0,score_2.0,max_score,hypothesis
12120,https://data.cooperationdatabank.org/vocab/prop/PeriodVariable,https://data.cooperationdatabank.org/vocab/prop/trialOfCooperationOrdinal,Trial of cooperation (ordinal),https://data.cooperationdatabank.org/id/trialofcooperationordinal/first,first,https://data.cooperationdatabank.org/vocab/prop/trialOfCooperationOrdinal,Trial of cooperation (ordinal),https://data.cooperationdatabank.org/id/trialofcooperationordinal/last,last,https://data.cooperationdatabank.org/vocab/prop/yearSource,Source of year of data collection,https://data.cooperationdatabank.org/id/yearsource/1,Conducted,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where trial of cooperation (ordinal) is first and studies where trial of cooperation (ordinal) is last, contribution is significantly higher when source of year of data collection is conducted compared to when source of year of data collection has another value."
12100,https://data.cooperationdatabank.org/vocab/prop/PeriodVariable,https://data.cooperationdatabank.org/vocab/prop/trialOfCooperationOrdinal,Trial of cooperation (ordinal),https://data.cooperationdatabank.org/id/trialofcooperationordinal/first,first,https://data.cooperationdatabank.org/vocab/prop/trialOfCooperationOrdinal,Trial of cooperation (ordinal),https://data.cooperationdatabank.org/id/trialofcooperationordinal/last,last,https://data.cooperationdatabank.org/vocab/prop/studyOneShot,One-shot vs repeated,https://data.cooperationdatabank.org/id/studyoneshot/0,Repeated,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where trial of cooperation (ordinal) is first and studies where trial of cooperation (ordinal) is last, contribution is significantly higher when one-shot vs repeated is repeated compared to when one-shot vs repeated has another value."
12058,https://data.cooperationdatabank.org/vocab/prop/PeriodVariable,https://data.cooperationdatabank.org/vocab/prop/trialOfCooperationOrdinal,Trial of cooperation (ordinal),https://data.cooperationdatabank.org/id/trialofcooperationordinal/first,first,https://data.cooperationdatabank.org/vocab/prop/trialOfCooperationOrdinal,Trial of cooperation (ordinal),https://data.cooperationdatabank.org/id/trialofcooperationordinal/last,last,https://data.cooperationdatabank.org/vocab/prop/discussion,Discussion,https://data.cooperationdatabank.org/id/discussion/1,Uni-directional,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where trial of cooperation (ordinal) is first and studies where trial of cooperation (ordinal) is last, contribution is significantly higher when discussion is uni-directional compared to when discussion has another value."
12069,https://data.cooperationdatabank.org/vocab/prop/PeriodVariable,https://data.cooperationdatabank.org/vocab/prop/trialOfCooperationOrdinal,Trial of cooperation (ordinal),https://data.cooperationdatabank.org/id/trialofcooperationordinal/first,first,https://data.cooperationdatabank.org/vocab/prop/trialOfCooperationOrdinal,Trial of cooperation (ordinal),https://data.cooperationdatabank.org/id/trialofcooperationordinal/last,last,https://data.cooperationdatabank.org/vocab/prop/yearSource,Source of year of data collection,https://data.cooperationdatabank.org/id/yearsource/1,Conducted,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where trial of cooperation (ordinal) is first and studies where trial of cooperation (ordinal) is last, contribution is significantly higher when source of year of data collection is conducted compared to when source of year of data collection has another value."
12041,https://data.cooperationdatabank.org/vocab/prop/PeriodVariable,https://data.cooperationdatabank.org/vocab/prop/trialOfCooperationOrdinal,Trial of cooperation (ordinal),https://data.cooperationdatabank.org/id/trialofcooperationordinal/first,first,https://data.cooperationdatabank.org/vocab/prop/trialOfCooperationOrdinal,Trial of cooperation (ordinal),https://data.cooperationdatabank.org/id/trialofcooperationordinal/last,last,https://data.cooperationdatabank.org/vocab/prop/discussion,Discussion,https://data.cooperationdatabank.org/id/discussion/1,Uni-directional,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where trial of cooperation (ordinal) is first and studies where trial of cooperation (ordinal) is last, contribution is significantly higher when discussion is uni-directional compared to when discussion has another value."
8485,https://data.cooperationdatabank.org/vocab/prop/PeriodVariable,https://data.cooperationdatabank.org/vocab/prop/trialOfCooperationOrdinal,Trial of cooperation (ordinal),https://data.cooperationdatabank.org/id/trialofcooperationordinal/first,first,https://data.cooperationdatabank.org/vocab/prop/trialOfCooperationOrdinal,Trial of cooperation (ordinal),https://data.cooperationdatabank.org/id/trialofcooperationordinal/last,last,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,Game type,https://data.cooperationdatabank.org/id/studydilemmatype/2,Public Goods Game,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where trial of cooperation (ordinal) is first and studies where trial of cooperation (ordinal) is last, cooperation is significantly lower when game type is public goods game compared to when game type has another value."
19704,https://data.cooperationdatabank.org/vocab/prop/PeriodVariable,https://data.cooperationdatabank.org/vocab/prop/trialOfCooperationOrdinal,Trial of cooperation (ordinal),https://data.cooperationdatabank.org/id/trialofcooperationordinal/first,first,https://data.cooperationdatabank.org/vocab/prop/trialOfCooperationOrdinal,Trial of cooperation (ordinal),https://data.cooperationdatabank.org/id/trialofcooperationordinal/last,last,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/GBR,GBR,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where trial of cooperation (ordinal) is first and studies where trial of cooperation (ordinal) is last, contribution is significantly higher when has country is gbr compared to when has country has another value."
20523,https://data.cooperationdatabank.org/vocab/prop/PeriodVariable,https://data.cooperationdatabank.org/vocab/prop/trialOfCooperationOrdinal,Trial of cooperation (ordinal),https://data.cooperationdatabank.org/id/trialofcooperationordinal/first,first,https://data.cooperationdatabank.org/vocab/prop/trialOfCooperationOrdinal,Trial of cooperation (ordinal),https://data.cooperationdatabank.org/id/trialofcooperationordinal/last,last,https://data.cooperationdatabank.org/vocab/prop/recruitmentMethod,Recruitment method,https://data.cooperationdatabank.org/id/recruitmentmethod/3,Other,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where trial of cooperation (ordinal) is first and studies where trial of cooperation (ordinal) is last, contribution is significantly higher when recruitment method is other compared to when recruitment method has another value."
12090,https://data.cooperationdatabank.org/vocab/prop/PeriodVariable,https://data.cooperationdatabank.org/vocab/prop/trialOfCooperationOrdinal,Trial of cooperation (ordinal),https://data.cooperationdatabank.org/id/trialofcooperationordinal/first,first,https://data.cooperationdatabank.org/vocab/prop/trialOfCooperationOrdinal,Trial of cooperation (ordinal),https://data.cooperationdatabank.org/id/trialofcooperationordinal/last,last,https://data.cooperationdatabank.org/vocab/prop/countrySource,Source of country or region,https://data.cooperationdatabank.org/id/countrysource/3,All authors,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where trial of cooperation (ordinal) is first and studies where trial of cooperation (ordinal) is last, contribution is significantly higher when source of country or region is all authors compared to when source of country or region has another value."
19322,https://data.cooperationdatabank.org/vocab/prop/PeriodVariable,https://data.cooperationdatabank.org/vocab/prop/trialOfCooperationOrdinal,Trial of cooperation (ordinal),https://data.cooperationdatabank.org/id/trialofcooperationordinal/first,first,https://data.cooperationdatabank.org/vocab/prop/trialOfCooperationOrdinal,Trial of cooperation (ordinal),https://data.cooperationdatabank.org/id/trialofcooperationordinal/last,last,https://data.cooperationdatabank.org/vocab/prop/yearSource,Source of year of data collection,https://data.cooperationdatabank.org/id/yearsource/1,Conducted,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where trial of cooperation (ordinal) is first and studies where trial of cooperation (ordinal) is last, contribution is significantly higher when source of year of data collection is conducted compared to when source of year of data collection has another value."
