,giv_prop,iv,iv_label,cat_t1,cat_t1_label,iv.1,iv_label.1,cat_t2,cat_t2_label,mod,mod_label,mod_val,mod_val_label,dependent,effect,td,pred_num,pred_readable,comparative,pred_true,score_0.0,score_2.0,max_score,hypothesis
11527,https://data.cooperationdatabank.org/vocab/prop/Preferences_for_Conditional_CooperationVariable,https://data.cooperationdatabank.org/vocab/prop/preferenceConditionalCooperation,Preference for conditional cooperation,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/conditional_cooperators,Conditional cooperators,https://data.cooperationdatabank.org/vocab/prop/preferenceConditionalCooperation,Preference for conditional cooperation,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/freeriders,Freeriders,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,Published,https://data.cooperationdatabank.org/id/publicationstatus/1,Published Article,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where preference for conditional cooperation is conditional cooperators and studies where preference for conditional cooperation is freeriders, cooperation is significantly higher when published is published article compared to when published has another value."
11532,https://data.cooperationdatabank.org/vocab/prop/Preferences_for_Conditional_CooperationVariable,https://data.cooperationdatabank.org/vocab/prop/preferenceConditionalCooperation,Preference for conditional cooperation,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/conditional_cooperators,Conditional cooperators,https://data.cooperationdatabank.org/vocab/prop/preferenceConditionalCooperation,Preference for conditional cooperation,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/freeriders,Freeriders,https://data.cooperationdatabank.org/vocab/prop/studyGameIncentive,Game incentive,https://data.cooperationdatabank.org/id/studygameincentive/1,Monetary,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where preference for conditional cooperation is conditional cooperators and studies where preference for conditional cooperation is freeriders, cooperation is significantly higher when game incentive is monetary compared to when game incentive has another value."
11548,https://data.cooperationdatabank.org/vocab/prop/Preferences_for_Conditional_CooperationVariable,https://data.cooperationdatabank.org/vocab/prop/preferenceConditionalCooperation,Preference for conditional cooperation,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/freeriders,Freeriders,https://data.cooperationdatabank.org/vocab/prop/preferenceConditionalCooperation,Preference for conditional cooperation,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/hump-shaped_contributors,Hump-shaped contributors,https://data.cooperationdatabank.org/vocab/prop/studyMatchingProtocol,Matching,https://data.cooperationdatabank.org/id/studymatchingprotocol/1,Stranger,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where preference for conditional cooperation is freeriders and studies where preference for conditional cooperation is hump-shaped contributors, cooperation is significantly lower when matching is stranger compared to when matching has another value."
11550,https://data.cooperationdatabank.org/vocab/prop/Preferences_for_Conditional_CooperationVariable,https://data.cooperationdatabank.org/vocab/prop/preferenceConditionalCooperation,Preference for conditional cooperation,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/freeriders,Freeriders,https://data.cooperationdatabank.org/vocab/prop/preferenceConditionalCooperation,Preference for conditional cooperation,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/hump-shaped_contributors,Hump-shaped contributors,https://data.cooperationdatabank.org/vocab/prop/studyRealPartner,Real partner,https://data.cooperationdatabank.org/id/studyrealpartner/1,Real,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where preference for conditional cooperation is freeriders and studies where preference for conditional cooperation is hump-shaped contributors, cooperation is significantly lower when real partner is real compared to when real partner has another value."
11552,https://data.cooperationdatabank.org/vocab/prop/Preferences_for_Conditional_CooperationVariable,https://data.cooperationdatabank.org/vocab/prop/preferenceConditionalCooperation,Preference for conditional cooperation,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/freeriders,Freeriders,https://data.cooperationdatabank.org/vocab/prop/preferenceConditionalCooperation,Preference for conditional cooperation,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/hump-shaped_contributors,Hump-shaped contributors,https://data.cooperationdatabank.org/vocab/prop/yearSource,Source of year of data collection,https://data.cooperationdatabank.org/id/yearsource/4,Received/Submitted,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where preference for conditional cooperation is freeriders and studies where preference for conditional cooperation is hump-shaped contributors, cooperation is significantly lower when source of year of data collection is submitted compared to when source of year of data collection has another value."
11553,https://data.cooperationdatabank.org/vocab/prop/Preferences_for_Conditional_CooperationVariable,https://data.cooperationdatabank.org/vocab/prop/preferenceConditionalCooperation,Preference for conditional cooperation,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/freeriders,Freeriders,https://data.cooperationdatabank.org/vocab/prop/preferenceConditionalCooperation,Preference for conditional cooperation,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/hump-shaped_contributors,Hump-shaped contributors,https://data.cooperationdatabank.org/vocab/prop/studyContinuousPGG,Continuous vs step-level public goods,https://data.cooperationdatabank.org/id/studycontinuouspgg/1,Continuous,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where preference for conditional cooperation is freeriders and studies where preference for conditional cooperation is hump-shaped contributors, cooperation is significantly lower when continuous vs step-level public goods is continuous compared to when continuous vs step-level public goods has another value."
11571,https://data.cooperationdatabank.org/vocab/prop/Preferences_for_Conditional_CooperationVariable,https://data.cooperationdatabank.org/vocab/prop/preferenceConditionalCooperation,Preference for conditional cooperation,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/conditional_cooperators,Conditional cooperators,https://data.cooperationdatabank.org/vocab/prop/preferenceConditionalCooperation,Preference for conditional cooperation,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/freeriders,Freeriders,https://data.cooperationdatabank.org/vocab/prop/discussion,Discussion,https://data.cooperationdatabank.org/id/discussion/0,Absent,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where preference for conditional cooperation is conditional cooperators and studies where preference for conditional cooperation is freeriders, cooperation is significantly higher when discussion is absent compared to when discussion has another value."
11591,https://data.cooperationdatabank.org/vocab/prop/Preferences_for_Conditional_CooperationVariable,https://data.cooperationdatabank.org/vocab/prop/preferenceConditionalCooperation,Preference for conditional cooperation,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/conditional_cooperators,Conditional cooperators,https://data.cooperationdatabank.org/vocab/prop/preferenceConditionalCooperation,Preference for conditional cooperation,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/freeriders,Freeriders,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,Game type,https://data.cooperationdatabank.org/id/studydilemmatype/2,Public Goods Game,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where preference for conditional cooperation is conditional cooperators and studies where preference for conditional cooperation is freeriders, cooperation is significantly higher when game type is public goods game compared to when game type has another value."
11595,https://data.cooperationdatabank.org/vocab/prop/Preferences_for_Conditional_CooperationVariable,https://data.cooperationdatabank.org/vocab/prop/preferenceConditionalCooperation,Preference for conditional cooperation,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/conditional_cooperators,Conditional cooperators,https://data.cooperationdatabank.org/vocab/prop/preferenceConditionalCooperation,Preference for conditional cooperation,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/freeriders,Freeriders,https://data.cooperationdatabank.org/vocab/prop/studyOneShot,One-shot vs repeated,https://data.cooperationdatabank.org/id/studyoneshot/1,One-shot,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where preference for conditional cooperation is conditional cooperators and studies where preference for conditional cooperation is freeriders, cooperation is significantly higher when one-shot vs repeated is one-shot compared to when one-shot vs repeated has another value."
11614,https://data.cooperationdatabank.org/vocab/prop/Preferences_for_Conditional_CooperationVariable,https://data.cooperationdatabank.org/vocab/prop/preferenceConditionalCooperation,Preference for conditional cooperation,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/conditional_cooperators,Conditional cooperators,https://data.cooperationdatabank.org/vocab/prop/preferenceConditionalCooperation,Preference for conditional cooperation,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/freeriders,Freeriders,https://data.cooperationdatabank.org/vocab/prop/studyContinuousPGG,Continuous vs step-level public goods,https://data.cooperationdatabank.org/id/studycontinuouspgg/1,Continuous,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where preference for conditional cooperation is conditional cooperators and studies where preference for conditional cooperation is freeriders, cooperation is significantly higher when continuous vs step-level public goods is continuous compared to when continuous vs step-level public goods has another value."
