,giv_prop,iv,iv_label,cat_t1,cat_t1_label,iv.1,iv_label.1,cat_t2,cat_t2_label,mod,mod_label,mod_val,mod_val_label,dependent,effect,td,pred_num,pred_readable,comparative,pred_true,score_0.0,score_2.0,max_score,hypothesis
1400,https://data.cooperationdatabank.org/vocab/prop/PrimingVariable,https://data.cooperationdatabank.org/vocab/prop/primingConcept,Primed construct,https://data.cooperationdatabank.org/id/primingconcept/religion,Religion,https://data.cooperationdatabank.org/vocab/prop/primingConcept,Primed construct,https://data.cooperationdatabank.org/id/primingconcept/neutral,Neutral,https://data.cooperationdatabank.org/vocab/prop/countrySource,Source of country or region,https://data.cooperationdatabank.org/id/countrysource/1,Specified country,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where primed construct is religion and studies where primed construct is neutral, contribution is significantly higher when source of country or region is specified country compared to when source of country or region has another value."
1424,https://data.cooperationdatabank.org/vocab/prop/PrimingVariable,https://data.cooperationdatabank.org/vocab/prop/primingConcept,Primed construct,https://data.cooperationdatabank.org/id/primingconcept/religion,Religion,https://data.cooperationdatabank.org/vocab/prop/primingConcept,Primed construct,https://data.cooperationdatabank.org/id/primingconcept/neutral,Neutral,https://data.cooperationdatabank.org/vocab/prop/yearSource,Source of year of data collection,https://data.cooperationdatabank.org/id/yearsource/1,Conducted,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where primed construct is religion and studies where primed construct is neutral, contribution is significantly higher when source of year of data collection is conducted compared to when source of year of data collection has another value."
5625,https://data.cooperationdatabank.org/vocab/prop/PrimingVariable,https://data.cooperationdatabank.org/vocab/prop/primingConcept,Primed construct,https://data.cooperationdatabank.org/id/primingconcept/competition,Competition,https://data.cooperationdatabank.org/vocab/prop/primingConcept,Primed construct,https://data.cooperationdatabank.org/id/primingconcept/cooperation,Cooperation,https://data.cooperationdatabank.org/vocab/prop/studyTrialOfCooperation,Trial of cooperation,https://data.cooperationdatabank.org/id/studytrialofcooperation/1,All trials,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,negative,test,2.0,positive,higher,0.0,0.0,1.0,1.0,"When comparing studies where primed construct is competition and studies where primed construct is cooperation, cooperation is significantly higher when trial of cooperation is all trials compared to when trial of cooperation has another value."
10334,https://data.cooperationdatabank.org/vocab/prop/PrimingVariable,https://data.cooperationdatabank.org/vocab/prop/primingConcept,Primed construct,https://data.cooperationdatabank.org/id/primingconcept/cooperation,Cooperation,https://data.cooperationdatabank.org/vocab/prop/primingConcept,Primed construct,https://data.cooperationdatabank.org/id/primingconcept/neutral,Neutral,https://data.cooperationdatabank.org/vocab/prop/studyRealPartner,Real partner,https://data.cooperationdatabank.org/id/studyrealpartner/1,Real,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where primed construct is cooperation and studies where primed construct is neutral, contribution is significantly higher when real partner is real compared to when real partner has another value."
10326,https://data.cooperationdatabank.org/vocab/prop/PrimingVariable,https://data.cooperationdatabank.org/vocab/prop/primingConcept,Primed construct,https://data.cooperationdatabank.org/id/primingconcept/cooperation,Cooperation,https://data.cooperationdatabank.org/vocab/prop/primingConcept,Primed construct,https://data.cooperationdatabank.org/id/primingconcept/neutral,Neutral,https://data.cooperationdatabank.org/vocab/prop/discussion,Discussion,https://data.cooperationdatabank.org/id/discussion/0,Absent,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where primed construct is cooperation and studies where primed construct is neutral, contribution is significantly higher when discussion is absent compared to when discussion has another value."
28428,https://data.cooperationdatabank.org/vocab/prop/PrimingVariable,https://data.cooperationdatabank.org/vocab/prop/primingConcept,Primed construct,https://data.cooperationdatabank.org/id/primingconcept/competition,Competition,https://data.cooperationdatabank.org/vocab/prop/primingConcept,Primed construct,https://data.cooperationdatabank.org/id/primingconcept/neutral,Neutral,https://data.cooperationdatabank.org/vocab/prop/recruitmentMethod,Recruitment method,https://data.cooperationdatabank.org/id/recruitmentmethod/1,Participant pool,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where primed construct is competition and studies where primed construct is neutral, contribution is significantly lower when recruitment method is participant pool compared to when recruitment method has another value."
31775,https://data.cooperationdatabank.org/vocab/prop/PrimingVariable,https://data.cooperationdatabank.org/vocab/prop/primingConcept,Primed construct,https://data.cooperationdatabank.org/id/primingconcept/competition,Competition,https://data.cooperationdatabank.org/vocab/prop/primingConcept,Primed construct,https://data.cooperationdatabank.org/id/primingconcept/cooperation,Cooperation,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,Game type,https://data.cooperationdatabank.org/id/studydilemmatype/1,Prisoner's Dilemma Game,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where primed construct is competition and studies where primed construct is cooperation, contribution is significantly lower when game type is prisoner's dilemma game compared to when game type has another value."
19270,https://data.cooperationdatabank.org/vocab/prop/PrimingVariable,https://data.cooperationdatabank.org/vocab/prop/primingConcept,Primed construct,https://data.cooperationdatabank.org/id/primingconcept/cooperation,Cooperation,https://data.cooperationdatabank.org/vocab/prop/primingConcept,Primed construct,https://data.cooperationdatabank.org/id/primingconcept/neutral,Neutral,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,Acquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,Strangers,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where primed construct is cooperation and studies where primed construct is neutral, contribution is significantly higher when acquaintance is strangers compared to when acquaintance has another value."
19272,https://data.cooperationdatabank.org/vocab/prop/PrimingVariable,https://data.cooperationdatabank.org/vocab/prop/primingConcept,Primed construct,https://data.cooperationdatabank.org/id/primingconcept/cooperation,Cooperation,https://data.cooperationdatabank.org/vocab/prop/primingConcept,Primed construct,https://data.cooperationdatabank.org/id/primingconcept/neutral,Neutral,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,Game type,https://data.cooperationdatabank.org/id/studydilemmatype/2,Public Goods Game,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where primed construct is cooperation and studies where primed construct is neutral, contribution is significantly higher when game type is public goods game compared to when game type has another value."
23196,https://data.cooperationdatabank.org/vocab/prop/PrimingVariable,https://data.cooperationdatabank.org/vocab/prop/primingConcept,Primed construct,https://data.cooperationdatabank.org/id/primingconcept/other,Other,https://data.cooperationdatabank.org/vocab/prop/primingConcept,Primed construct,https://data.cooperationdatabank.org/id/primingconcept/neutral,Neutral,https://data.cooperationdatabank.org/vocab/prop/studyContinuousPGG,Continuous vs step-level public goods,https://data.cooperationdatabank.org/id/studycontinuouspgg/1,Continuous,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where primed construct is other and studies where primed construct is neutral, contribution is significantly lower when continuous vs step-level public goods is continuous compared to when continuous vs step-level public goods has another value."
