,giv_prop,iv,iv_label,cat_t1,cat_t1_label,iv.1,iv_label.1,cat_t2,cat_t2_label,mod,mod_label,mod_val,mod_val_label,dependent,effect,td,pred_num,pred_readable,comparative,pred_true,score_0.0,score_2.0,max_score,hypothesis
4879,https://data.cooperationdatabank.org/vocab/prop/ReputationVariable,https://data.cooperationdatabank.org/vocab/prop/partnerSelection,Partner selection,https://data.cooperationdatabank.org/id/partnerselection/present,present,https://data.cooperationdatabank.org/vocab/prop/partnerSelection,Partner selection,https://data.cooperationdatabank.org/id/partnerselection/absent,absent,https://data.cooperationdatabank.org/vocab/prop/studyTrialOfCooperation,Trial of cooperation,https://data.cooperationdatabank.org/id/studytrialofcooperation/1,All trials,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where partner selection is present and studies where partner selection is absent, cooperation is significantly lower when trial of cooperation is all trials compared to when trial of cooperation has another value."
26886,https://data.cooperationdatabank.org/vocab/prop/ReputationVariable,https://data.cooperationdatabank.org/vocab/prop/anonymityManipul,Anonymity manipulation,https://data.cooperationdatabank.org/id/anonymitymanipul/high,High,https://data.cooperationdatabank.org/vocab/prop/anonymityManipul,Anonymity manipulation,https://data.cooperationdatabank.org/id/anonymitymanipul/low,Low,https://data.cooperationdatabank.org/vocab/prop/yearSource,Source of year of data collection,https://data.cooperationdatabank.org/id/yearsource/4,Received/Submitted,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,positive,test,0.0,negative,lower,2.0,1.0,0.0,1.0,"When comparing studies where anonymity manipulation is high and studies where anonymity manipulation is low, cooperation is significantly higher when source of year of data collection is submitted compared to when source of year of data collection has another value."
4871,https://data.cooperationdatabank.org/vocab/prop/ReputationVariable,https://data.cooperationdatabank.org/vocab/prop/partnerSelection,Partner selection,https://data.cooperationdatabank.org/id/partnerselection/present,present,https://data.cooperationdatabank.org/vocab/prop/partnerSelection,Partner selection,https://data.cooperationdatabank.org/id/partnerselection/absent,absent,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,Published,https://data.cooperationdatabank.org/id/publicationstatus/1,Published Article,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where partner selection is present and studies where partner selection is absent, cooperation is significantly lower when published is published article compared to when published has another value."
4847,https://data.cooperationdatabank.org/vocab/prop/ReputationVariable,https://data.cooperationdatabank.org/vocab/prop/partnerSelection,Partner selection,https://data.cooperationdatabank.org/id/partnerselection/present,present,https://data.cooperationdatabank.org/vocab/prop/partnerSelection,Partner selection,https://data.cooperationdatabank.org/id/partnerselection/absent,absent,https://data.cooperationdatabank.org/vocab/prop/studyGameIncentive,Game incentive,https://data.cooperationdatabank.org/id/studygameincentive/1,Monetary,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where partner selection is present and studies where partner selection is absent, cooperation is significantly lower when game incentive is monetary compared to when game incentive has another value."
24377,https://data.cooperationdatabank.org/vocab/prop/ReputationVariable,https://data.cooperationdatabank.org/vocab/prop/knowledgeOfPartnerPriorBehavior,Knowledge of partner's prior behavior,https://data.cooperationdatabank.org/id/knowledgeofpartnerpriorbehavior/cooperative,cooperative,https://data.cooperationdatabank.org/vocab/prop/knowledgeOfPartnerPriorBehavior,Knowledge of partner's prior behavior,https://data.cooperationdatabank.org/id/knowledgeofpartnerpriorbehavior/absent,absent,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,Acquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,Strangers,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,negative,test,2.0,positive,higher,0.0,0.0,1.0,1.0,"When comparing studies where knowledge of partner's prior behavior is cooperative and studies where knowledge of partner's prior behavior is absent, cooperation is significantly higher when acquaintance is strangers compared to when acquaintance has another value."
24378,https://data.cooperationdatabank.org/vocab/prop/ReputationVariable,https://data.cooperationdatabank.org/vocab/prop/knowledgeOfPartnerPriorBehavior,Knowledge of partner's prior behavior,https://data.cooperationdatabank.org/id/knowledgeofpartnerpriorbehavior/cooperative,cooperative,https://data.cooperationdatabank.org/vocab/prop/knowledgeOfPartnerPriorBehavior,Knowledge of partner's prior behavior,https://data.cooperationdatabank.org/id/knowledgeofpartnerpriorbehavior/absent,absent,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,Game type,https://data.cooperationdatabank.org/id/studydilemmatype/1,Prisoner's Dilemma Game,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,negative,test,2.0,positive,higher,0.0,0.0,1.0,1.0,"When comparing studies where knowledge of partner's prior behavior is cooperative and studies where knowledge of partner's prior behavior is absent, cooperation is significantly higher when game type is prisoner's dilemma game compared to when game type has another value."
24385,https://data.cooperationdatabank.org/vocab/prop/ReputationVariable,https://data.cooperationdatabank.org/vocab/prop/knowledgeOfPartnerPriorBehavior,Knowledge of partner's prior behavior,https://data.cooperationdatabank.org/id/knowledgeofpartnerpriorbehavior/cooperative,cooperative,https://data.cooperationdatabank.org/vocab/prop/knowledgeOfPartnerPriorBehavior,Knowledge of partner's prior behavior,https://data.cooperationdatabank.org/id/knowledgeofpartnerpriorbehavior/absent,absent,https://data.cooperationdatabank.org/vocab/prop/yearSource,Source of year of data collection,https://data.cooperationdatabank.org/id/yearsource/4,Received/Submitted,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,negative,test,2.0,positive,higher,0.0,0.0,1.0,1.0,"When comparing studies where knowledge of partner's prior behavior is cooperative and studies where knowledge of partner's prior behavior is absent, cooperation is significantly higher when source of year of data collection is submitted compared to when source of year of data collection has another value."
25664,https://data.cooperationdatabank.org/vocab/prop/ReputationVariable,https://data.cooperationdatabank.org/vocab/prop/anonymityManipul,Anonymity manipulation,https://data.cooperationdatabank.org/id/anonymitymanipul/high,High,https://data.cooperationdatabank.org/vocab/prop/anonymityManipul,Anonymity manipulation,https://data.cooperationdatabank.org/id/anonymitymanipul/low,Low,https://data.cooperationdatabank.org/vocab/prop/studyShowUpFee,Show-up fee,https://data.cooperationdatabank.org/id/studyshowupfee/0,Absent,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where anonymity manipulation is high and studies where anonymity manipulation is low, cooperation is significantly lower when show-up fee is absent compared to when show-up fee has another value."
4940,https://data.cooperationdatabank.org/vocab/prop/ReputationVariable,https://data.cooperationdatabank.org/vocab/prop/knowledgeOfPartnerPriorBehavior,Knowledge of partner's prior behavior,https://data.cooperationdatabank.org/id/knowledgeofpartnerpriorbehavior/cooperative,cooperative,https://data.cooperationdatabank.org/vocab/prop/knowledgeOfPartnerPriorBehavior,Knowledge of partner's prior behavior,https://data.cooperationdatabank.org/id/knowledgeofpartnerpriorbehavior/noncooperative,noncooperative,https://data.cooperationdatabank.org/vocab/prop/yearSource,Source of year of data collection,https://data.cooperationdatabank.org/id/yearsource/5,Published,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where knowledge of partner's prior behavior is cooperative and studies where knowledge of partner's prior behavior is noncooperative, cooperation is significantly higher when source of year of data collection is published compared to when source of year of data collection has another value."
26430,https://data.cooperationdatabank.org/vocab/prop/ReputationVariable,https://data.cooperationdatabank.org/vocab/prop/anonymityManipul,Anonymity manipulation,https://data.cooperationdatabank.org/id/anonymitymanipul/high,High,https://data.cooperationdatabank.org/vocab/prop/anonymityManipul,Anonymity manipulation,https://data.cooperationdatabank.org/id/anonymitymanipul/medium,Medium,https://data.cooperationdatabank.org/vocab/prop/studyGameIncentive,Game incentive,https://data.cooperationdatabank.org/id/studygameincentive/1,Monetary,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where anonymity manipulation is high and studies where anonymity manipulation is medium, cooperation is significantly lower when game incentive is monetary compared to when game incentive has another value."
