,giv_prop,iv,iv_label,cat_t1,cat_t1_label,iv.1,iv_label.1,cat_t2,cat_t2_label,mod,mod_label,mod_val,mod_val_label,dependent,effect,td,pred_num,pred_readable,comparative,pred_true,score_0.0,score_2.0,max_score,hypothesis
5164,https://data.cooperationdatabank.org/vocab/prop/Resource_Dilemma_GameVariable,https://data.cooperationdatabank.org/vocab/prop/resourceSizeLevel,Resource size level,https://data.cooperationdatabank.org/id/resourcesizelevel/high,High,https://data.cooperationdatabank.org/vocab/prop/resourceSizeLevel,Resource size level,https://data.cooperationdatabank.org/id/resourcesizelevel/medium,Medium,https://data.cooperationdatabank.org/vocab/prop/studyTrialOfCooperation,Trial of cooperation,https://data.cooperationdatabank.org/id/studytrialofcooperation/1,All trials,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where resource size level is high and studies where resource size level is medium, cooperation is significantly higher when trial of cooperation is all trials compared to when trial of cooperation has another value."
5152,https://data.cooperationdatabank.org/vocab/prop/Resource_Dilemma_GameVariable,https://data.cooperationdatabank.org/vocab/prop/resourceSizeLevel,Resource size level,https://data.cooperationdatabank.org/id/resourcesizelevel/high,High,https://data.cooperationdatabank.org/vocab/prop/resourceSizeLevel,Resource size level,https://data.cooperationdatabank.org/id/resourcesizelevel/medium,Medium,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/DEU,DEU,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where resource size level is high and studies where resource size level is medium, cooperation is significantly higher when has country is deu compared to when has country has another value."
5186,https://data.cooperationdatabank.org/vocab/prop/Resource_Dilemma_GameVariable,https://data.cooperationdatabank.org/vocab/prop/resourceSizeLevel,Resource size level,https://data.cooperationdatabank.org/id/resourcesizelevel/medium,Medium,https://data.cooperationdatabank.org/vocab/prop/resourceSizeLevel,Resource size level,https://data.cooperationdatabank.org/id/resourcesizelevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/countrySource,Source of country or region,https://data.cooperationdatabank.org/id/countrysource/1,Specified country,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where resource size level is medium and studies where resource size level is low, cooperation is significantly higher when source of country or region is specified country compared to when source of country or region has another value."
23691,https://data.cooperationdatabank.org/vocab/prop/Resource_Dilemma_GameVariable,https://data.cooperationdatabank.org/vocab/prop/resourceSizeLevel,Resource size level,https://data.cooperationdatabank.org/id/resourcesizelevel/medium,Medium,https://data.cooperationdatabank.org/vocab/prop/resourceSizeLevel,Resource size level,https://data.cooperationdatabank.org/id/resourcesizelevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/discussion,Discussion,https://data.cooperationdatabank.org/id/discussion/0,Absent,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where resource size level is medium and studies where resource size level is low, cooperation is significantly higher when discussion is absent compared to when discussion has another value."
11676,https://data.cooperationdatabank.org/vocab/prop/Resource_Dilemma_GameVariable,https://data.cooperationdatabank.org/vocab/prop/replenishmentRateLevel,Replenishment rate level,https://data.cooperationdatabank.org/id/replenishmentratelevel/high,High,https://data.cooperationdatabank.org/vocab/prop/replenishmentRateLevel,Replenishment rate level,https://data.cooperationdatabank.org/id/replenishmentratelevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,Published,https://data.cooperationdatabank.org/id/publicationstatus/1,Published Article,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,positive,test,2.0,positive,higher,2.0,0.0,1.0,1.0,"When comparing studies where replenishment rate level is high and studies where replenishment rate level is low, cooperation is significantly lower when published is published article compared to when published has another value."
5187,https://data.cooperationdatabank.org/vocab/prop/Resource_Dilemma_GameVariable,https://data.cooperationdatabank.org/vocab/prop/resourceSizeLevel,Resource size level,https://data.cooperationdatabank.org/id/resourcesizelevel/medium,Medium,https://data.cooperationdatabank.org/vocab/prop/resourceSizeLevel,Resource size level,https://data.cooperationdatabank.org/id/resourcesizelevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/discussion,Discussion,https://data.cooperationdatabank.org/id/discussion/0,Absent,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where resource size level is medium and studies where resource size level is low, cooperation is significantly higher when discussion is absent compared to when discussion has another value."
23696,https://data.cooperationdatabank.org/vocab/prop/Resource_Dilemma_GameVariable,https://data.cooperationdatabank.org/vocab/prop/resourceSizeLevel,Resource size level,https://data.cooperationdatabank.org/id/resourcesizelevel/medium,Medium,https://data.cooperationdatabank.org/vocab/prop/resourceSizeLevel,Resource size level,https://data.cooperationdatabank.org/id/resourcesizelevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/studyExperimentalSetting,Experimental setting,https://data.cooperationdatabank.org/id/studyexperimentalsetting/2,Lab,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where resource size level is medium and studies where resource size level is low, cooperation is significantly higher when experimental setting is lab compared to when experimental setting has another value."
23692,https://data.cooperationdatabank.org/vocab/prop/Resource_Dilemma_GameVariable,https://data.cooperationdatabank.org/vocab/prop/resourceSizeLevel,Resource size level,https://data.cooperationdatabank.org/id/resourcesizelevel/medium,Medium,https://data.cooperationdatabank.org/vocab/prop/resourceSizeLevel,Resource size level,https://data.cooperationdatabank.org/id/resourcesizelevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,Published,https://data.cooperationdatabank.org/id/publicationstatus/1,Published Article,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where resource size level is medium and studies where resource size level is low, cooperation is significantly higher when published is published article compared to when published has another value."
23713,https://data.cooperationdatabank.org/vocab/prop/Resource_Dilemma_GameVariable,https://data.cooperationdatabank.org/vocab/prop/resourceSizeLevel,Resource size level,https://data.cooperationdatabank.org/id/resourcesizelevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/resourceSizeLevel,Resource size level,https://data.cooperationdatabank.org/id/resourcesizelevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyMatchingProtocol,Matching,https://data.cooperationdatabank.org/id/studymatchingprotocol/2,Partner,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,positive,test,2.0,positive,higher,2.0,0.225,0.775,0.775,"When comparing studies where resource size level is low and studies where resource size level is high, cooperation is significantly lower when matching is partner compared to when matching has another value."
2112,https://data.cooperationdatabank.org/vocab/prop/Resource_Dilemma_GameVariable,https://data.cooperationdatabank.org/vocab/prop/resourceSizeLevel,Resource size level,https://data.cooperationdatabank.org/id/resourcesizelevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/resourceSizeLevel,Resource size level,https://data.cooperationdatabank.org/id/resourcesizelevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,Acquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,Strangers,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,negative,test,2.0,positive,higher,0.0,0.23333333333333334,0.7666666666666667,0.7666666666666667,"When comparing studies where resource size level is low and studies where resource size level is high, cooperation is significantly lower when acquaintance is strangers compared to when acquaintance has another value."
