,giv_prop,iv,iv_label,cat_t1,cat_t1_label,iv.1,iv_label.1,cat_t2,cat_t2_label,mod,mod_label,mod_val,mod_val_label,dependent,effect,td,pred_num,pred_readable,comparative,pred_true,score_0.0,score_2.0,max_score,hypothesis
6252,https://data.cooperationdatabank.org/vocab/prop/TaxationVariable,https://data.cooperationdatabank.org/vocab/prop/minimumContributionLevel,Minimum contribution level,https://data.cooperationdatabank.org/id/minimumcontributionlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/minimumContributionLevel,Minimum contribution level,https://data.cooperationdatabank.org/id/minimumcontributionlevel/medium,Medium,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,Acquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,Strangers,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where minimum contribution level is low and studies where minimum contribution level is medium, contribution is significantly lower when acquaintance is strangers compared to when acquaintance has another value."
6255,https://data.cooperationdatabank.org/vocab/prop/TaxationVariable,https://data.cooperationdatabank.org/vocab/prop/minimumContributionLevel,Minimum contribution level,https://data.cooperationdatabank.org/id/minimumcontributionlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/minimumContributionLevel,Minimum contribution level,https://data.cooperationdatabank.org/id/minimumcontributionlevel/medium,Medium,https://data.cooperationdatabank.org/vocab/prop/studyGameIncentive,Game incentive,https://data.cooperationdatabank.org/id/studygameincentive/1,Monetary,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where minimum contribution level is low and studies where minimum contribution level is medium, contribution is significantly lower when game incentive is monetary compared to when game incentive has another value."
6291,https://data.cooperationdatabank.org/vocab/prop/TaxationVariable,https://data.cooperationdatabank.org/vocab/prop/minimumContributionLevel,Minimum contribution level,https://data.cooperationdatabank.org/id/minimumcontributionlevel/medium,Medium,https://data.cooperationdatabank.org/vocab/prop/minimumContributionLevel,Minimum contribution level,https://data.cooperationdatabank.org/id/minimumcontributionlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyTrialOfCooperation,Trial of cooperation,https://data.cooperationdatabank.org/id/studytrialofcooperation/1,All trials,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where minimum contribution level is medium and studies where minimum contribution level is high, contribution is significantly lower when trial of cooperation is all trials compared to when trial of cooperation has another value."
27731,https://data.cooperationdatabank.org/vocab/prop/TaxationVariable,https://data.cooperationdatabank.org/vocab/prop/minimumContributionLevel,Minimum contribution level,https://data.cooperationdatabank.org/id/minimumcontributionlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/minimumContributionLevel,Minimum contribution level,https://data.cooperationdatabank.org/id/minimumcontributionlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/USA,USA,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where minimum contribution level is low and studies where minimum contribution level is high, contribution is significantly lower when has country is usa compared to when has country has another value."
27807,https://data.cooperationdatabank.org/vocab/prop/TaxationVariable,https://data.cooperationdatabank.org/vocab/prop/minimumContributionLevel,Minimum contribution level,https://data.cooperationdatabank.org/id/minimumcontributionlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/minimumContributionLevel,Minimum contribution level,https://data.cooperationdatabank.org/id/minimumcontributionlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/USA,USA,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,1.0,0.0,1.0,"When comparing studies where minimum contribution level is low and studies where minimum contribution level is high, contribution is significantly lower when has country is usa compared to when has country has another value."
7716,https://data.cooperationdatabank.org/vocab/prop/TaxationVariable,https://data.cooperationdatabank.org/vocab/prop/minimumContributionLevel,Minimum contribution level,https://data.cooperationdatabank.org/id/minimumcontributionlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/minimumContributionLevel,Minimum contribution level,https://data.cooperationdatabank.org/id/minimumcontributionlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyAcademicDiscipline,Academic discipline,https://data.cooperationdatabank.org/id/studyacademicdiscipline/4,Mixed,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,test,0.0,negative,lower,2.0,1.0,0.0,1.0,"When comparing studies where minimum contribution level is low and studies where minimum contribution level is high, contribution is significantly lower when academic discipline is mixed compared to when academic discipline has another value."
6265,https://data.cooperationdatabank.org/vocab/prop/TaxationVariable,https://data.cooperationdatabank.org/vocab/prop/minimumContributionLevel,Minimum contribution level,https://data.cooperationdatabank.org/id/minimumcontributionlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/minimumContributionLevel,Minimum contribution level,https://data.cooperationdatabank.org/id/minimumcontributionlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/discussion,Discussion,https://data.cooperationdatabank.org/id/discussion/0,Absent,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,0.9111111111111111,0.08888888888888889,0.9111111111111111,"When comparing studies where minimum contribution level is low and studies where minimum contribution level is high, contribution is significantly lower when discussion is absent compared to when discussion has another value."
27819,https://data.cooperationdatabank.org/vocab/prop/TaxationVariable,https://data.cooperationdatabank.org/vocab/prop/minimumContributionLevel,Minimum contribution level,https://data.cooperationdatabank.org/id/minimumcontributionlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/minimumContributionLevel,Minimum contribution level,https://data.cooperationdatabank.org/id/minimumcontributionlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,Acquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,Strangers,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,0.9111111111111111,0.08888888888888889,0.9111111111111111,"When comparing studies where minimum contribution level is low and studies where minimum contribution level is high, contribution is significantly lower when acquaintance is strangers compared to when acquaintance has another value."
18482,https://data.cooperationdatabank.org/vocab/prop/TaxationVariable,https://data.cooperationdatabank.org/vocab/prop/minimumContributionLevel,Minimum contribution level,https://data.cooperationdatabank.org/id/minimumcontributionlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/minimumContributionLevel,Minimum contribution level,https://data.cooperationdatabank.org/id/minimumcontributionlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,Acquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,Strangers,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,0.9111111111111111,0.08888888888888889,0.9111111111111111,"When comparing studies where minimum contribution level is low and studies where minimum contribution level is high, contribution is significantly lower when acquaintance is strangers compared to when acquaintance has another value."
7668,https://data.cooperationdatabank.org/vocab/prop/TaxationVariable,https://data.cooperationdatabank.org/vocab/prop/minimumContributionLevel,Minimum contribution level,https://data.cooperationdatabank.org/id/minimumcontributionlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/minimumContributionLevel,Minimum contribution level,https://data.cooperationdatabank.org/id/minimumcontributionlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyExperimentalSetting,Experimental setting,https://data.cooperationdatabank.org/id/studyexperimentalsetting/2,Lab,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,0.0,negative,lower,0.0,0.9111111111111111,0.08888888888888889,0.9111111111111111,"When comparing studies where minimum contribution level is low and studies where minimum contribution level is high, contribution is significantly lower when experimental setting is lab compared to when experimental setting has another value."
