,giv_prop,iv,iv_label,cat_t1,cat_t1_label,iv.1,iv_label.1,cat_t2,cat_t2_label,mod,mod_label,mod_t1,mod_t1_label,mod_t2,mod_t2_label,dependent,effect,td,pred_num,pred_readable,comparative,pred_true,score_0.0,score_2.0,max_score,hypothesis
0,https://data.cooperationdatabank.org/vocab/prop/UncertaintyVariable,https://data.cooperationdatabank.org/vocab/prop/uncertaintyLevel,Uncertainty level,https://data.cooperationdatabank.org/id/uncertaintylevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/uncertaintyLevel,Uncertainty level,https://data.cooperationdatabank.org/id/uncertaintylevel/high,High,https://data.cooperationdatabank.org/vocab/prop/uncertaintyTarget,Uncertainty target,https://data.cooperationdatabank.org/id/uncertaintytarget/threshold,Threshold,https://data.cooperationdatabank.org/id/uncertaintytarget/loss,Loss,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,train,2.0,positive,higher,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,"When comparing studies where uncertainty level is low and studies where uncertainty level is high, contribution from studies involving threshold as uncertainty target are significantly higher than contribution from studies involving loss as uncertainty target."
1,https://data.cooperationdatabank.org/vocab/prop/UncertaintyVariable,https://data.cooperationdatabank.org/vocab/prop/uncertaintyTarget,Uncertainty target,https://data.cooperationdatabank.org/id/uncertaintytarget/threshold,Threshold,https://data.cooperationdatabank.org/vocab/prop/uncertaintyTarget,Uncertainty target,https://data.cooperationdatabank.org/id/uncertaintytarget/loss,Loss,https://data.cooperationdatabank.org/vocab/prop/uncertaintyLevel,Uncertainty level,https://data.cooperationdatabank.org/id/uncertaintylevel/low,Low,https://data.cooperationdatabank.org/id/uncertaintylevel/high,High,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,train,2.0,positive,higher,0.0,0.35353535353535354,0.6464646464646465,0.6464646464646465,"When comparing studies where uncertainty target is threshold and studies where uncertainty target is loss, contribution from studies involving low as uncertainty level are significantly higher than contribution from studies involving high as uncertainty level."
2,https://data.cooperationdatabank.org/vocab/prop/UncertaintyVariable,https://data.cooperationdatabank.org/vocab/prop/uncertaintyLevel,Uncertainty level,https://data.cooperationdatabank.org/id/uncertaintylevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/uncertaintyLevel,Uncertainty level,https://data.cooperationdatabank.org/id/uncertaintylevel/high,High,https://data.cooperationdatabank.org/vocab/prop/uncertaintyTarget,Uncertainty target,https://data.cooperationdatabank.org/id/uncertaintytarget/threshold,Threshold,https://data.cooperationdatabank.org/id/uncertaintytarget/loss,Loss,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,train,2.0,positive,higher,2.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,"When comparing studies where uncertainty level is low and studies where uncertainty level is high, contribution from studies involving threshold as uncertainty target are significantly higher than contribution from studies involving loss as uncertainty target."
3,https://data.cooperationdatabank.org/vocab/prop/UncertaintyVariable,https://data.cooperationdatabank.org/vocab/prop/uncertaintyTarget,Uncertainty target,https://data.cooperationdatabank.org/id/uncertaintytarget/threshold,Threshold,https://data.cooperationdatabank.org/vocab/prop/uncertaintyTarget,Uncertainty target,https://data.cooperationdatabank.org/id/uncertaintytarget/loss,Loss,https://data.cooperationdatabank.org/vocab/prop/uncertaintyLevel,Uncertainty level,https://data.cooperationdatabank.org/id/uncertaintylevel/low,Low,https://data.cooperationdatabank.org/id/uncertaintylevel/high,High,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,test,2.0,positive,higher,0.0,0.35353535353535354,0.6464646464646465,0.6464646464646465,"When comparing studies where uncertainty target is threshold and studies where uncertainty target is loss, contribution from studies involving low as uncertainty level are significantly higher than contribution from studies involving high as uncertainty level."
4,https://data.cooperationdatabank.org/vocab/prop/UncertaintyVariable,https://data.cooperationdatabank.org/vocab/prop/uncertaintyLevel,Uncertainty level,https://data.cooperationdatabank.org/id/uncertaintylevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/uncertaintyLevel,Uncertainty level,https://data.cooperationdatabank.org/id/uncertaintylevel/high,High,https://data.cooperationdatabank.org/vocab/prop/uncertaintyTarget,Uncertainty target,https://data.cooperationdatabank.org/id/uncertaintytarget/threshold,Threshold,https://data.cooperationdatabank.org/id/uncertaintytarget/loss,Loss,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,val,2.0,positive,higher,2.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,"When comparing studies where uncertainty level is low and studies where uncertainty level is high, contribution from studies involving threshold as uncertainty target are significantly higher than contribution from studies involving loss as uncertainty target."
5,https://data.cooperationdatabank.org/vocab/prop/UncertaintyVariable,https://data.cooperationdatabank.org/vocab/prop/uncertaintyLevel,Uncertainty level,https://data.cooperationdatabank.org/id/uncertaintylevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/uncertaintyLevel,Uncertainty level,https://data.cooperationdatabank.org/id/uncertaintylevel/high,High,https://data.cooperationdatabank.org/vocab/prop/uncertaintyTarget,Uncertainty target,https://data.cooperationdatabank.org/id/uncertaintytarget/threshold,Threshold,https://data.cooperationdatabank.org/id/uncertaintytarget/loss,Loss,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,val,2.0,positive,higher,2.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,"When comparing studies where uncertainty level is low and studies where uncertainty level is high, contribution from studies involving threshold as uncertainty target are significantly higher than contribution from studies involving loss as uncertainty target."
6,https://data.cooperationdatabank.org/vocab/prop/UncertaintyVariable,https://data.cooperationdatabank.org/vocab/prop/uncertaintyTarget,Uncertainty target,https://data.cooperationdatabank.org/id/uncertaintytarget/threshold,Threshold,https://data.cooperationdatabank.org/vocab/prop/uncertaintyTarget,Uncertainty target,https://data.cooperationdatabank.org/id/uncertaintytarget/loss,Loss,https://data.cooperationdatabank.org/vocab/prop/uncertaintyLevel,Uncertainty level,https://data.cooperationdatabank.org/id/uncertaintylevel/low,Low,https://data.cooperationdatabank.org/id/uncertaintylevel/high,High,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,train,2.0,positive,higher,2.0,0.35353535353535354,0.6464646464646465,0.6464646464646465,"When comparing studies where uncertainty target is threshold and studies where uncertainty target is loss, contribution from studies involving low as uncertainty level are significantly higher than contribution from studies involving high as uncertainty level."
7,https://data.cooperationdatabank.org/vocab/prop/UncertaintyVariable,https://data.cooperationdatabank.org/vocab/prop/uncertaintyTarget,Uncertainty target,https://data.cooperationdatabank.org/id/uncertaintytarget/threshold,Threshold,https://data.cooperationdatabank.org/vocab/prop/uncertaintyTarget,Uncertainty target,https://data.cooperationdatabank.org/id/uncertaintytarget/loss,Loss,https://data.cooperationdatabank.org/vocab/prop/uncertaintyLevel,Uncertainty level,https://data.cooperationdatabank.org/id/uncertaintylevel/low,Low,https://data.cooperationdatabank.org/id/uncertaintylevel/high,High,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,train,2.0,positive,higher,0.0,0.35353535353535354,0.6464646464646465,0.6464646464646465,"When comparing studies where uncertainty target is threshold and studies where uncertainty target is loss, contribution from studies involving low as uncertainty level are significantly higher than contribution from studies involving high as uncertainty level."
8,https://data.cooperationdatabank.org/vocab/prop/Degree_of_conflicting_interestsVariable,https://data.cooperationdatabank.org/vocab/prop/conflictIndex,Conflict index,https://data.cooperationdatabank.org/id/conflictindex/k_index,K index,https://data.cooperationdatabank.org/vocab/prop/conflictIndex,Conflict index,https://data.cooperationdatabank.org/id/conflictindex/g_index,g index,https://data.cooperationdatabank.org/vocab/prop/conflictIndexLevel,Conflict level,https://data.cooperationdatabank.org/id/conflictindexlevel/high,High,https://data.cooperationdatabank.org/id/conflictindexlevel/medium,Medium,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,positive,train,2.0,positive,higher,2.0,0.35353535353535354,0.6464646464646465,0.6464646464646465,"When comparing studies where conflict index is k index and studies where conflict index is g index, cooperation from studies involving high as conflict level are significantly higher than cooperation from studies involving medium as conflict level."
9,https://data.cooperationdatabank.org/vocab/prop/Degree_of_conflicting_interestsVariable,https://data.cooperationdatabank.org/vocab/prop/conflictIndex,Conflict index,https://data.cooperationdatabank.org/id/conflictindex/k_index,K index,https://data.cooperationdatabank.org/vocab/prop/conflictIndex,Conflict index,https://data.cooperationdatabank.org/id/conflictindex/g_index,g index,https://data.cooperationdatabank.org/vocab/prop/conflictIndexLevel,Conflict level,https://data.cooperationdatabank.org/id/conflictindexlevel/high,High,https://data.cooperationdatabank.org/id/conflictindexlevel/low,Low,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,positive,train,2.0,positive,higher,2.0,0.35353535353535354,0.6464646464646465,0.6464646464646465,"When comparing studies where conflict index is k index and studies where conflict index is g index, cooperation from studies involving high as conflict level are significantly higher than cooperation from studies involving low as conflict level."
