,giv_prop,iv,iv_label,cat_t1,cat_t1_label,iv.1,iv_label.1,cat_t2,cat_t2_label,dependent,effect,td
0,https://data.cooperationdatabank.org/vocab/prop/PersonalityVariable,https://data.cooperationdatabank.org/vocab/prop/sVOType,SVO type,https://data.cooperationdatabank.org/id/svotype/prosocial,Prosocial,https://data.cooperationdatabank.org/vocab/prop/sVOType,SVO type,https://data.cooperationdatabank.org/id/svotype/proself,Proself,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,train
1,https://data.cooperationdatabank.org/vocab/prop/PowerVariable,https://data.cooperationdatabank.org/vocab/prop/powerLevel,Power level,https://data.cooperationdatabank.org/id/powerlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/powerLevel,Power level,https://data.cooperationdatabank.org/id/powerlevel/low,Low,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,train
2,https://data.cooperationdatabank.org/vocab/prop/PowerVariable,https://data.cooperationdatabank.org/vocab/prop/powerLevel,Power level,https://data.cooperationdatabank.org/id/powerlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/powerLevel,Power level,https://data.cooperationdatabank.org/id/powerlevel/low,Low,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,train
3,https://data.cooperationdatabank.org/vocab/prop/LeadershipVariable,https://data.cooperationdatabank.org/vocab/prop/leadershipAssignmentRule,Leadership assignment rule,https://data.cooperationdatabank.org/id/leadershipassignmentrule/authority,Authority,https://data.cooperationdatabank.org/vocab/prop/leadershipAssignmentRule,Leadership assignment rule,https://data.cooperationdatabank.org/id/leadershipassignmentrule/fixed,Fixed ,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,negative,train
4,https://data.cooperationdatabank.org/vocab/prop/LeadershipVariable,https://data.cooperationdatabank.org/vocab/prop/leadershipAssignmentRule,Leadership assignment rule,https://data.cooperationdatabank.org/id/leadershipassignmentrule/authority,Authority,https://data.cooperationdatabank.org/vocab/prop/leadershipAssignmentRule,Leadership assignment rule,https://data.cooperationdatabank.org/id/leadershipassignmentrule/fixed,Fixed ,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,negative,train
5,https://data.cooperationdatabank.org/vocab/prop/LeadershipVariable,https://data.cooperationdatabank.org/vocab/prop/leaderCharacteristic,Leader's characteristic,https://data.cooperationdatabank.org/id/leadercharacteristic/outgroup,Outgroup,https://data.cooperationdatabank.org/vocab/prop/leaderCharacteristic,Leader's characteristic,https://data.cooperationdatabank.org/id/leadercharacteristic/ingroup,Ingroup,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,positive,train
6,https://data.cooperationdatabank.org/vocab/prop/PunishmentVariable,https://data.cooperationdatabank.org/vocab/prop/punishmentTreatment,Punishment treatment,https://data.cooperationdatabank.org/id/punishmenttreatment/-1,-1,https://data.cooperationdatabank.org/vocab/prop/punishmentTreatment,Punishment treatment,https://data.cooperationdatabank.org/id/punishmenttreatment/1,1,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,train
7,https://data.cooperationdatabank.org/vocab/prop/PersonalityVariable,https://data.cooperationdatabank.org/vocab/prop/sVOType,SVO type,https://data.cooperationdatabank.org/id/svotype/prosocial,Prosocial,https://data.cooperationdatabank.org/vocab/prop/sVOType,SVO type,https://data.cooperationdatabank.org/id/svotype/proself,Proself,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,train
8,https://data.cooperationdatabank.org/vocab/prop/PersonalityVariable,https://data.cooperationdatabank.org/vocab/prop/sVOType,SVO type,https://data.cooperationdatabank.org/id/svotype/prosocial,Prosocial,https://data.cooperationdatabank.org/vocab/prop/sVOType,SVO type,https://data.cooperationdatabank.org/id/svotype/proself,Proself,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,positive,test
9,https://data.cooperationdatabank.org/vocab/prop/GenderVariable,https://data.cooperationdatabank.org/vocab/prop/gender,Gender,https://data.cooperationdatabank.org/id/gender/female,Female,https://data.cooperationdatabank.org/vocab/prop/gender,Gender,https://data.cooperationdatabank.org/id/gender/male,Male,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,train
10,https://data.cooperationdatabank.org/vocab/prop/PunishmentVariable,https://data.cooperationdatabank.org/vocab/prop/punishmentTreatment,Punishment treatment,https://data.cooperationdatabank.org/id/punishmenttreatment/-1,-1,https://data.cooperationdatabank.org/vocab/prop/punishmentTreatment,Punishment treatment,https://data.cooperationdatabank.org/id/punishmenttreatment/1,1,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,train
11,https://data.cooperationdatabank.org/vocab/prop/PunishmentVariable,https://data.cooperationdatabank.org/vocab/prop/punishmentTreatment,Punishment treatment,https://data.cooperationdatabank.org/id/punishmenttreatment/-1,-1,https://data.cooperationdatabank.org/vocab/prop/punishmentTreatment,Punishment treatment,https://data.cooperationdatabank.org/id/punishmenttreatment/1,1,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,train
12,https://data.cooperationdatabank.org/vocab/prop/PersonalityVariable,https://data.cooperationdatabank.org/vocab/prop/sVOType,SVO type,https://data.cooperationdatabank.org/id/svotype/prosocial,Prosocial,https://data.cooperationdatabank.org/vocab/prop/sVOType,SVO type,https://data.cooperationdatabank.org/id/svotype/proself,Proself,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,val
13,https://data.cooperationdatabank.org/vocab/prop/PunishmentVariable,https://data.cooperationdatabank.org/vocab/prop/punishmentTreatment,Punishment treatment,https://data.cooperationdatabank.org/id/punishmenttreatment/-1,-1,https://data.cooperationdatabank.org/vocab/prop/punishmentTreatment,Punishment treatment,https://data.cooperationdatabank.org/id/punishmenttreatment/1,1,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,val
14,https://data.cooperationdatabank.org/vocab/prop/PunishmentVariable,https://data.cooperationdatabank.org/vocab/prop/punishmentTreatment,Punishment treatment,https://data.cooperationdatabank.org/id/punishmenttreatment/-1,-1,https://data.cooperationdatabank.org/vocab/prop/punishmentTreatment,Punishment treatment,https://data.cooperationdatabank.org/id/punishmenttreatment/1,1,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,train
15,https://data.cooperationdatabank.org/vocab/prop/Intergroup_Competition_Variable,https://data.cooperationdatabank.org/vocab/prop/intergroupComp,Intergroup competition,https://data.cooperationdatabank.org/id/intergroupcomp/individual_group,Individual group,https://data.cooperationdatabank.org/vocab/prop/intergroupComp,Intergroup competition,https://data.cooperationdatabank.org/id/intergroupcomp/intergroup_competition,intergroup competition,https://data.cooperationdatabank.org/id/dependentvariable/contributions,negative,train
16,https://data.cooperationdatabank.org/vocab/prop/EmotionsVariable,https://data.cooperationdatabank.org/vocab/prop/emotion,Emotion,https://data.cooperationdatabank.org/id/emotion/fear,Fear,https://data.cooperationdatabank.org/vocab/prop/emotion,Emotion,https://data.cooperationdatabank.org/id/emotion/happiness,Happiness,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,negative,train
17,https://data.cooperationdatabank.org/vocab/prop/LeadershipVariable,https://data.cooperationdatabank.org/vocab/prop/leaderBehavior,Leader's behavior,https://data.cooperationdatabank.org/id/leaderbehavior/cooperative,Cooperative,https://data.cooperationdatabank.org/vocab/prop/leaderBehavior,Leader's behavior,https://data.cooperationdatabank.org/id/leaderbehavior/noncooperative,Noncooperative,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,train
18,https://data.cooperationdatabank.org/vocab/prop/LeadershipVariable,https://data.cooperationdatabank.org/vocab/prop/leaderBehavior,Leader's behavior,https://data.cooperationdatabank.org/id/leaderbehavior/cooperative,Cooperative,https://data.cooperationdatabank.org/vocab/prop/leaderBehavior,Leader's behavior,https://data.cooperationdatabank.org/id/leaderbehavior/noncooperative,Noncooperative,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,train
19,https://data.cooperationdatabank.org/vocab/prop/LeadershipVariable,https://data.cooperationdatabank.org/vocab/prop/leaderBehavior,Leader's behavior,https://data.cooperationdatabank.org/id/leaderbehavior/cooperative,Cooperative,https://data.cooperationdatabank.org/vocab/prop/leaderBehavior,Leader's behavior,https://data.cooperationdatabank.org/id/leaderbehavior/noncooperative,Noncooperative,https://data.cooperationdatabank.org/id/dependentvariable/contributions,positive,train
