,criterion,max_depth,max_features,max_leaf_nodes,min_samples_leaf,min_samples_split,random_state,splitter,acc_train,acc_val,precision_macro_train,precision_macro_val,precision_micro_train,precision_micro_val,precision_weighted_train,precision_weighted_val,recall_macro_train,recall_macro_val,recall_micro_train,recall_micro_val,recall_weighted_train,recall_weighted_val,f1_macro_train,f1_macro_val,f1_micro_train,f1_micro_val,f1_weighted_train,f1_weighted_val
0,gini,,,,1,2,23,best,0.8039735099337748,0.7450980392156863,0.810909311455163,0.7416537267080745,0.8039735099337748,0.7450980392156863,0.8087122563148476,0.7457869017172086,0.7981315559440559,0.7426900584795322,0.8039735099337748,0.7450980392156863,0.8039735099337748,0.7450980392156863,0.8000318545998579,0.7420986093552465,0.8039735099337748,0.7450980392156863,0.8019283114114595,0.7453707146575445
1,gini,,,,1,2,23,random,0.8039735099337748,0.75,0.810909311455163,0.7465070835368832,0.8039735099337748,0.75,0.8087122563148476,0.7497313141182218,0.7981315559440559,0.7459064327485381,0.8039735099337748,0.75,0.8039735099337748,0.75,0.8000318545998579,0.7461881876509477,0.8039735099337748,0.75,0.8019283114114595,0.749847527506038
2,gini,,,,1,5,23,best,0.8013245033112583,0.7352941176470589,0.8089704428409108,0.7315789473684211,0.8013245033112583,0.7352941176470589,0.8066354553198792,0.7352941176470589,0.7952007669749606,0.7315789473684211,0.8013245033112583,0.7352941176470589,0.8013245033112583,0.7352941176470589,0.7970953732370141,0.7315789473684211,0.8013245033112583,0.7352941176470589,0.7990741405194586,0.7352941176470589
3,gini,,,,1,5,23,random,0.8026490066225166,0.7303921568627451,0.809521709085028,0.7266848196051736,0.8026490066225166,0.7303921568627451,0.8073446418453504,0.7307291875225244,0.7968009812767878,0.7271929824561403,0.8026490066225166,0.7303921568627451,0.8026490066225166,0.7303921568627451,0.7986807184822894,0.7269209238932022,0.8026490066225166,0.7303921568627451,0.8005899891912666,0.7305430800353339
4,gini,,,,1,10,23,best,0.7960264900662252,0.7352941176470589,0.8028506447624095,0.7317698068584944,0.7960264900662252,0.7352941176470589,0.8007154797961188,0.7344130399499176,0.7900582280622603,0.7292397660818714,0.7960264900662252,0.7352941176470589,0.7960264900662252,0.7352941176470589,0.7918456933344791,0.7302115987460815,0.7960264900662252,0.7352941176470589,0.7938384095337226,0.7345680435183478
5,gini,,,,1,10,23,random,0.8006622516556291,0.7549019607843137,0.806031688050774,0.7514619883040936,0.8006622516556291,0.7549019607843137,0.8042060796764248,0.7549019607843137,0.7952994586059102,0.7514619883040936,0.8006622516556291,0.7549019607843137,0.8006622516556291,0.7549019607843137,0.7970664808083586,0.7514619883040936,0.8006622516556291,0.7549019607843137,0.7988912003427945,0.7549019607843137
6,gini,,,,2,2,23,best,0.8039735099337748,0.7450980392156863,0.810909311455163,0.7416537267080745,0.8039735099337748,0.7450980392156863,0.8087122563148476,0.7457869017172086,0.7981315559440559,0.7426900584795322,0.8039735099337748,0.7450980392156863,0.8039735099337748,0.7450980392156863,0.8000318545998579,0.7420986093552465,0.8039735099337748,0.7450980392156863,0.8019283114114595,0.7453707146575445
7,gini,,,,2,2,23,random,0.8039735099337748,0.75,0.810909311455163,0.7465070835368832,0.8039735099337748,0.75,0.8087122563148476,0.7497313141182218,0.7981315559440559,0.7459064327485381,0.8039735099337748,0.75,0.8039735099337748,0.75,0.8000318545998579,0.7461881876509477,0.8039735099337748,0.75,0.8019283114114595,0.749847527506038
8,gini,,,,2,5,23,best,0.8013245033112583,0.7352941176470589,0.8089704428409108,0.7315789473684211,0.8013245033112583,0.7352941176470589,0.8066354553198792,0.7352941176470589,0.7952007669749606,0.7315789473684211,0.8013245033112583,0.7352941176470589,0.8013245033112583,0.7352941176470589,0.7970953732370141,0.7315789473684211,0.8013245033112583,0.7352941176470589,0.7990741405194586,0.7352941176470589
9,gini,,,,2,5,23,random,0.8026490066225166,0.7303921568627451,0.809521709085028,0.7266848196051736,0.8026490066225166,0.7303921568627451,0.8073446418453504,0.7307291875225244,0.7968009812767878,0.7271929824561403,0.8026490066225166,0.7303921568627451,0.8026490066225166,0.7303921568627451,0.7986807184822894,0.7269209238932022,0.8026490066225166,0.7303921568627451,0.8005899891912666,0.7305430800353339
