,embedding_dim,epochs,lr,model,num_negs_per_pos,hits@1,hits@3,hits@10,mean_reciprocal_rank
0,208,200,0.02,transe,20,0.0,0.0033112582781456954,0.009933774834437087,0.004807070828974247
1,64,300,0.05,distmult,80,0.0,0.0,0.0016556291390728477,0.0009418157278560103
2,16,400,0.02,distmult,80,0.0,0.0,0.0,0.0007694633095525205
3,416,100,0.1,transe,20,0.0,0.0,0.006622516556291391,0.0030364624690264463
4,224,100,0.002,transe,50,0.0,0.0,0.0016556291390728477,0.0022551564034074545
5,304,100,0.002,rgcn,60,0.0,0.0,0.0016556291390728477,0.0014176331460475922
6,272,100,0.02,transe,10,0.0016556291390728477,0.006622516556291391,0.008278145695364239,0.0062318649142980576
7,368,300,0.05,complex,10,0.0,0.0,0.0033112582781456954,0.0020276904106140137
8,256,200,0.002,distmult,40,0.0,0.0,0.0,0.0010126264533028007
9,96,300,0.05,rgcn,30,0.0,0.0,0.0,0.0012672547018155456
10,496,500,0.01,distmult,10,0.0,0.0,0.0,0.0005898077506572008
11,144,100,0.05,transe,90,0.0,0.0033112582781456954,0.0033112582781456954,0.0035855232272297144
12,192,200,0.1,distmult,1,0.0,0.0016556291390728477,0.0033112582781456954,0.0031288904137909412
13,304,500,0.02,rgcn,70,0.0,0.0,0.0,0.0009113922133110463
14,16,300,0.1,transe,90,0.0,0.0033112582781456954,0.011589403973509934,0.0052332524210214615
15,160,300,0.001,rgcn,100,0.0,0.0,0.0,0.0010068407282233238
16,432,200,0.1,complex,80,0.0016556291390728477,0.0016556291390728477,0.006622516556291391,0.006874997168779373
17,320,200,0.05,transe,1,0.0,0.0,0.0,0.002376467688009143
18,32,100,0.002,transe,60,0.0,0.0,0.004966887417218543,0.002456309273838997
19,80,300,0.01,complex,100,0.0,0.0,0.0,0.0006217504851520061
20,64,400,0.002,transe,1,0.0,0.0,0.0,0.0013975017936900258
21,496,200,0.001,complex,10,0.0,0.0,0.0,0.0008921374683268367
22,352,200,0.001,rgcn,40,0.0,0.0,0.0,0.0010510783176869154
23,288,500,0.02,distmult,70,0.0,0.0,0.0,0.000791572208981961
24,16,500,0.002,rgcn,70,0.0,0.0,0.0,0.0004240237467456609
25,352,500,0.001,complex,10,0.0,0.0,0.0016556291390728477,0.0012762839905917645
26,432,400,0.01,transe,50,0.0016556291390728477,0.0016556291390728477,0.011589403973509934,0.005542166996747255
27,512,200,0.002,complex,30,0.0,0.0,0.0,0.0013951824512332678
28,304,200,0.05,distmult,60,0.0,0.0,0.004966887417218543,0.002213395433500409
29,256,200,0.005,complex,90,0.0016556291390728477,0.0016556291390728477,0.0016556291390728477,0.0027120644226670265
30,48,300,0.002,complex,90,0.0,0.0,0.0016556291390728477,0.0014103654539212584
31,144,400,0.05,distmult,1,0.0,0.0016556291390728477,0.0016556291390728477,0.002013016724959016
32,32,300,0.01,complex,40,0.0,0.0,0.0,0.0005173885729163885
33,416,100,0.005,distmult,90,0.0,0.0,0.0016556291390728477,0.001233308226801455
34,256,400,0.01,transe,1,0.0016556291390728477,0.0016556291390728477,0.0033112582781456954,0.00376798608340323
35,448,500,0.1,transe,70,0.0016556291390728477,0.0016556291390728477,0.009933774834437087,0.00539408577606082
36,128,200,0.02,rgcn,30,0.0,0.0,0.0,0.0014302206691354513
37,432,300,0.001,transe,80,0.0016556291390728477,0.0016556291390728477,0.004966887417218543,0.004872361198067665
38,160,100,0.1,transe,10,0.0,0.0016556291390728477,0.0033112582781456954,0.0031345814932137728
39,512,200,0.01,rgcn,20,0.0,0.0016556291390728477,0.0016556291390728477,0.002254942897707224
40,256,300,0.002,distmult,40,0.0,0.0,0.0,0.0011200439184904099
41,400,100,0.005,distmult,30,0.0,0.0,0.0,0.0015121304895728827
42,256,400,0.01,rgcn,60,0.0,0.0,0.0,0.0011605347972363234
43,400,200,0.05,rgcn,10,0.0,0.0,0.0,0.0013420031173154712
44,192,500,0.05,transe,80,0.0033112582781456954,0.004966887417218543,0.008278145695364239,0.00678351242095232
45,464,100,0.01,transe,30,0.0,0.004966887417218543,0.004966887417218543,0.004881466273218393
46,224,200,0.1,distmult,1,0.0,0.0033112582781456954,0.006622516556291391,0.003981679677963257
47,400,200,0.1,distmult,80,0.0,0.0,0.004966887417218543,0.003168752184137702
48,64,400,0.002,complex,80,0.0,0.0,0.0,0.0007186965085566044
49,336,100,0.1,rgcn,40,0.0,0.0,0.0,0.0032737525179982185
50,128,300,0.05,complex,30,0.0,0.0016556291390728477,0.0016556291390728477,0.003965987358242273
51,496,300,0.05,distmult,20,0.0,0.0,0.0016556291390728477,0.002499634400010109
52,336,300,0.05,complex,10,0.0,0.0,0.0,0.0015197362517938018
53,416,100,0.02,complex,80,0.0,0.0016556291390728477,0.0016556291390728477,0.0013464174699038267
54,320,100,0.002,distmult,90,0.0,0.0,0.0,0.0014059151289984584
55,464,400,0.05,distmult,90,0.0,0.0,0.004966887417218543,0.0023500733077526093
56,448,200,0.02,transe,10,0.0,0.0,0.0033112582781456954,0.002409108215942979
57,112,500,0.05,complex,60,0.0,0.0,0.0,0.0010991975432261825
58,128,400,0.05,rgcn,50,0.0,0.0,0.0016556291390728477,0.0008634424302726985
59,128,300,0.1,transe,70,0.0016556291390728477,0.0033112582781456954,0.014900662251655629,0.006469608284533024
60,368,400,0.01,transe,1,0.0,0.0016556291390728477,0.009933774834437087,0.004409822169691324
61,224,400,0.05,complex,90,0.0033112582781456954,0.006622516556291391,0.02152317880794702,0.012510147877037525
62,464,400,0.002,transe,80,0.0,0.0,0.0016556291390728477,0.00216053263284266
63,368,100,0.02,complex,50,0.0,0.0,0.0016556291390728477,0.0012932425597682595
64,144,200,0.02,distmult,40,0.0016556291390728477,0.0033112582781456954,0.004966887417218543,0.0038956142961978912
65,400,400,0.1,distmult,20,0.0,0.0,0.0,0.0015047277556732297
66,80,500,0.005,rgcn,100,0.0,0.0,0.0,0.0008731301641091704
67,64,300,0.01,complex,50,0.0,0.0,0.0016556291390728477,0.0009892922826111317
68,80,100,0.1,transe,50,0.0,0.0,0.0033112582781456954,0.0028664355631917715
69,304,100,0.02,complex,90,0.0,0.0016556291390728477,0.0016556291390728477,0.0016775060212239623
70,32,400,0.002,transe,100,0.0,0.0,0.0,0.002091245260089636
71,400,100,0.1,rgcn,10,0.0,0.0016556291390728477,0.0016556291390728477,0.002454059896990657
72,192,400,0.02,distmult,80,0.0,0.0,0.0016556291390728477,0.0009681020164862275
73,400,200,0.1,rgcn,80,0.0,0.0,0.0,0.0027739733923226595
74,192,500,0.02,transe,70,0.0,0.0016556291390728477,0.0033112582781456954,0.00385805033147335
75,416,100,0.01,complex,90,0.0,0.0,0.0,0.0007386981160379946
76,240,100,0.005,complex,90,0.0,0.0,0.0,0.001062975381501019
77,80,400,0.002,distmult,70,0.0,0.0,0.0,0.0015117557486519217
78,256,400,0.02,complex,30,0.0,0.0,0.0,0.0008565374882891774
79,208,200,0.005,complex,80,0.0,0.0,0.0016556291390728477,0.0012138774618506432
80,384,100,0.005,complex,1,0.0033112582781456954,0.004966887417218543,0.008278145695364239,0.005684231407940388
81,208,500,0.05,transe,90,0.0,0.0033112582781456954,0.009933774834437087,0.004414506256580353
82,320,200,0.05,distmult,20,0.0,0.0,0.0016556291390728477,0.001754770171828568
83,384,200,0.05,complex,80,0.0,0.0,0.0016556291390728477,0.0023770362604409456
84,160,200,0.01,rgcn,60,0.0,0.0,0.0,0.0007584946579299867
