,embedding_dim,epochs,lr,model,num_negs_per_pos,hits@1,hits@3,hits@10,mean_reciprocal_rank
0,208,200,0.02,transe,20,0.0,0.00032133676092544985,0.0011246786632390746,0.0005796327022835612
1,64,300,0.05,distmult,80,8.033419023136246e-05,0.00040167095115681235,0.0015263496143958868,0.0008978977566584945
2,16,400,0.02,distmult,80,0.00016066838046272492,0.00032133676092544985,0.001205012853470437,0.0009972263360396028
3,416,100,0.1,transe,20,8.033419023136246e-05,0.0002410025706940874,0.0008033419023136247,0.0004330994561314583
4,224,100,0.002,transe,50,0.0,0.005221722365038561,0.016388174807197942,0.005852230824530125
5,304,100,0.002,rgcn,60,0.02401992287917738,0.05382390745501285,0.13391709511568123,0.057281602174043655
6,272,100,0.02,transe,10,0.0,0.0005623393316195373,0.0011246786632390746,0.0005220742896199226
7,368,300,0.05,complex,10,0.0,0.0,0.00032133676092544985,0.0003189190465491265
8,256,200,0.002,distmult,40,0.0002410025706940874,0.0002410025706940874,0.0008033419023136247,0.0008015416678972542
9,96,300,0.05,rgcn,30,8.033419023136246e-05,8.033419023136246e-05,0.00040167095115681235,0.0002942944411188364
10,496,500,0.01,distmult,10,8.033419023136246e-05,0.0004820051413881748,0.0009640102827763496,0.0010932139120995998
11,144,100,0.05,transe,90,8.033419023136246e-05,0.00016066838046272492,0.001044344473007712,0.0005299549084156752
12,192,200,0.1,distmult,1,0.0,0.0,8.033419023136246e-05,9.336297807749361e-05
13,304,500,0.02,rgcn,70,0.0,8.033419023136246e-05,0.001365681233933162,0.004492125939577818
14,16,300,0.1,transe,90,0.00032133676092544985,0.00032133676092544985,0.0015263496143958868,0.0006832214421592653
15,160,300,0.001,rgcn,100,0.035025706940874035,0.11053984575835475,0.16131105398457585,0.07728101313114166
16,432,200,0.1,complex,80,0.0002410025706940874,0.0005623393316195373,0.0007230077120822622,0.0006155722076073289
17,320,200,0.05,transe,1,0.0,0.0,0.00040167095115681235,0.00034477165900170803
18,32,100,0.002,transe,60,0.0,0.00016066838046272492,0.0008836760925449871,0.0010863248025998473
19,80,300,0.01,complex,100,0.0,0.00016066838046272492,0.0008836760925449871,0.0009237671620212495
20,64,400,0.002,transe,1,8.033419023136246e-05,0.00040167095115681235,0.0009640102827763496,0.0012307437136769295
21,496,200,0.001,complex,10,0.0,0.0,0.0,7.370403181994334e-05
22,352,200,0.001,rgcn,40,0.0011246786632390746,0.03390102827763496,0.11407455012853471,0.03224653750658035
23,288,500,0.02,distmult,70,0.0,0.0002410025706940874,0.0002410025706940874,0.00021565843780990687
24,16,500,0.002,rgcn,70,0.010202442159383034,0.08595758354755784,0.15167095115681234,0.05669969320297241
25,352,500,0.001,complex,10,0.0,0.00032133676092544985,0.0005623393316195373,0.0003474284312687814
26,432,400,0.01,transe,50,8.033419023136246e-05,0.0002410025706940874,0.001205012853470437,0.0006460840231738985
27,512,200,0.002,complex,30,0.0,0.0,0.00016066838046272492,0.00017981116252485663
28,304,200,0.05,distmult,60,0.0,8.033419023136246e-05,8.033419023136246e-05,0.000153393906657584
29,256,200,0.005,complex,90,0.0,0.0,0.0,0.0001580214884597808
30,48,300,0.002,complex,90,8.033419023136246e-05,0.00016066838046272492,0.00032133676092544985,0.00030891381902620196
31,144,400,0.05,distmult,1,0.0,0.0,0.0,0.00013254790974315256
32,32,300,0.01,complex,40,0.0008033419023136247,0.0018476863753213368,0.00554305912596401,0.0029429197311401367
33,416,100,0.005,distmult,90,0.00016066838046272492,0.00032133676092544985,0.0004820051413881748,0.0009237443446181713
34,256,400,0.01,transe,1,8.033419023136246e-05,0.00032133676092544985,0.0009640102827763496,0.0006551809492520988
35,448,500,0.1,transe,70,0.0002410025706940874,0.0004820051413881748,0.0008836760925449871,0.000607478606980294
36,128,200,0.02,rgcn,30,8.033419023136246e-05,0.00040167095115681235,0.0036953727506426736,0.004084784537553787
37,432,300,0.001,transe,80,0.0,0.014861825192802056,0.0299646529562982,0.011091116815805435
38,160,100,0.1,transe,10,0.0,0.00016066838046272492,0.0008033419023136247,0.00031545935780741274
39,512,200,0.01,rgcn,20,0.0,0.001044344473007712,0.03245501285347044,0.013323867693543434
40,256,300,0.002,distmult,40,0.0,8.033419023136246e-05,0.0006426735218508997,0.0006323393899947405
41,400,100,0.005,distmult,30,8.033419023136246e-05,0.00016066838046272492,0.0011246786632390746,0.0010058721527457237
42,256,400,0.01,rgcn,60,0.010925449871465296,0.04233611825192802,0.22581940874035988,0.05886547639966012
