,embedding_dim,epochs,lr,model,num_negs_per_pos,hits@1,hits@3,hits@10,mean_reciprocal_rank
0,208,200,0.02,transe,20,0.0,0.0,0.0,0.0025023764465004206
1,64,300,0.05,distmult,80,0.0,0.0,0.0,0.0016223056009039283
2,16,400,0.02,distmult,80,0.0,0.0,0.0,0.0015981072792783382
3,416,100,0.1,transe,20,0.009259259259259259,0.009259259259259259,0.009259259259259259,0.013648277148604393
4,224,100,0.002,transe,50,0.0,0.0,0.009259259259259259,0.005872452165931463
5,304,100,0.002,rgcn,60,0.0,0.0,0.0,0.003017588285729289
6,272,100,0.02,transe,10,0.0,0.0,0.0,0.002665562555193901
7,368,300,0.05,complex,10,0.0,0.0,0.0,0.0009966774377971888
8,256,200,0.002,distmult,40,0.0,0.0,0.0,0.0017072722548618913
9,96,300,0.05,rgcn,30,0.0,0.009259259259259259,0.009259259259259259,0.005870091263204813
10,496,500,0.01,distmult,10,0.0,0.0,0.018518518518518517,0.0036106284242123365
11,144,100,0.05,transe,90,0.0,0.0,0.009259259259259259,0.003078508423641324
12,192,200,0.1,distmult,1,0.0,0.0,0.0,0.0015803033020347357
13,304,500,0.02,rgcn,70,0.0,0.018518518518518517,0.018518518518518517,0.010752619244158268
14,16,300,0.1,transe,90,0.0,0.0,0.009259259259259259,0.0035802116617560387
15,160,300,0.001,rgcn,100,0.0,0.0,0.0,0.002271676203235984
16,432,200,0.1,complex,80,0.0,0.0,0.0,0.0016871055122464893
17,320,200,0.05,transe,1,0.0,0.0,0.009259259259259259,0.0043343668803572655
18,32,100,0.002,transe,60,0.0,0.0,0.0,0.0029366551898419857
19,80,300,0.01,complex,100,0.0,0.0,0.0,0.0011387956328690052
20,64,400,0.002,transe,1,0.0,0.0,0.0,0.0022955010645091534
21,496,200,0.001,complex,10,0.0,0.0,0.018518518518518517,0.005207436624914408
22,352,200,0.001,rgcn,40,0.0,0.0,0.0,0.0021606178488582373
23,288,500,0.02,distmult,70,0.0,0.0,0.0,0.0013044759398326278
24,16,500,0.002,rgcn,70,0.0,0.009259259259259259,0.018518518518518517,0.008702641353011131
25,352,500,0.001,complex,10,0.0,0.0,0.0,0.0018490883521735668
26,432,400,0.01,transe,50,0.0,0.0,0.027777777777777776,0.005285084713250399
27,512,200,0.002,complex,30,0.0,0.0,0.0,0.0015236485050991178
28,304,200,0.05,distmult,60,0.0,0.0,0.0,0.001155854552052915
29,256,200,0.005,complex,90,0.0,0.0,0.0,0.0031822356395423412
30,48,300,0.002,complex,90,0.0,0.0,0.0,0.000999661162495613
31,144,400,0.05,distmult,1,0.0,0.0,0.0,0.0016861638287082314
32,32,300,0.01,complex,40,0.0,0.009259259259259259,0.027777777777777776,0.009345103986561298
33,416,100,0.005,distmult,90,0.0,0.0,0.0,0.001316478243097663
34,256,400,0.01,transe,1,0.0,0.0,0.0,0.004059439059346914
35,448,500,0.1,transe,70,0.0,0.0,0.0,0.0021178312599658966
36,128,200,0.02,rgcn,30,0.0,0.0,0.0,0.0027357449289411306
37,432,300,0.001,transe,80,0.0,0.018518518518518517,0.046296296296296294,0.01797712780535221
38,160,100,0.1,transe,10,0.0,0.0,0.0,0.002567700808867812
39,512,200,0.01,rgcn,20,0.0,0.0,0.0,0.0031298738904297348
40,256,300,0.002,distmult,40,0.0,0.0,0.0,0.002363502513617277
41,400,100,0.005,distmult,30,0.0,0.0,0.009259259259259259,0.004238417837768793
42,256,400,0.01,rgcn,60,0.0,0.0,0.0,0.0020135079976171255
43,400,200,0.05,rgcn,10,0.0,0.0,0.009259259259259259,0.0033936616964638233
44,192,500,0.05,transe,80,0.0,0.0,0.0,0.0024567514192312956
45,464,100,0.01,transe,30,0.0,0.0,0.0,0.0039000660181045532
46,224,200,0.1,distmult,1,0.0,0.0,0.0,0.0011235520942136645
47,400,200,0.1,distmult,80,0.0,0.0,0.018518518518518517,0.005686939228326082
48,64,400,0.002,complex,80,0.0,0.0,0.0,0.002310271840542555
49,336,100,0.1,rgcn,40,0.0,0.0,0.0,0.002353174611926079
50,128,300,0.05,complex,30,0.0,0.009259259259259259,0.009259259259259259,0.006728173233568668
51,496,300,0.05,distmult,20,0.0,0.0,0.0,0.0015155079308897257
52,336,300,0.05,complex,10,0.009259259259259259,0.009259259259259259,0.009259259259259259,0.010384724475443363
53,416,100,0.02,complex,80,0.0,0.0,0.0,0.0012665258254855871
54,320,100,0.002,distmult,90,0.0,0.0,0.0,0.002282728673890233
55,464,400,0.05,distmult,90,0.0,0.0,0.0,0.001010893494822085
56,448,200,0.02,transe,10,0.0,0.0,0.0,0.002895151264965534
57,112,500,0.05,complex,60,0.0,0.0,0.0,0.0031341013964265585
58,128,400,0.05,rgcn,50,0.0,0.0,0.0,0.0014560739509761333
59,128,300,0.1,transe,70,0.0,0.0,0.0,0.0022424934431910515
60,368,400,0.01,transe,1,0.0,0.0,0.0,0.0022827908396720886
61,224,400,0.05,complex,90,0.0,0.0,0.0,0.0039054886437952523
62,464,400,0.002,transe,80,0.0,0.018518518518518517,0.046296296296296294,0.016434773802757263
63,368,100,0.02,complex,50,0.0,0.0,0.009259259259259259,0.0026096852961927652
64,144,200,0.02,distmult,40,0.0,0.0,0.009259259259259259,0.003263121237978339
65,400,400,0.1,distmult,20,0.0,0.0,0.018518518518518517,0.004413400776684284
66,80,500,0.005,rgcn,100,0.0,0.0,0.0,0.0017701754113659265
67,64,300,0.01,complex,50,0.0,0.0,0.0,0.001714827143587172
68,80,100,0.1,transe,50,0.0,0.0,0.0,0.002432488137856126
69,304,100,0.02,complex,90,0.0,0.0,0.009259259259259259,0.004789311438798904
70,32,400,0.002,transe,100,0.0,0.0,0.0,0.0029532492626458406
71,400,100,0.1,rgcn,10,0.0,0.0,0.0,0.0016068959375843406
72,192,400,0.02,distmult,80,0.0,0.0,0.0,0.0012399402912706137
73,400,200,0.1,rgcn,80,0.0,0.0,0.009259259259259259,0.0029312025289982557
74,192,500,0.02,transe,70,0.0,0.0,0.0,0.002655820921063423
75,416,100,0.01,complex,90,0.0,0.0,0.0,0.0014207948697730899
76,240,100,0.005,complex,90,0.0,0.0,0.018518518518518517,0.0058127217926084995
77,80,400,0.002,distmult,70,0.0,0.009259259259259259,0.018518518518518517,0.007381901144981384
78,256,400,0.02,complex,30,0.0,0.0,0.0,0.0013619118835777044
79,208,200,0.005,complex,80,0.0,0.0,0.0,0.003856572555378079
80,384,100,0.005,complex,1,0.0,0.0,0.0,0.0019193685147911312
81,208,500,0.05,transe,90,0.0,0.0,0.009259259259259259,0.004733504727482796
82,320,200,0.05,distmult,20,0.0,0.0,0.0,0.0015690402360633016
83,384,200,0.05,complex,80,0.0,0.0,0.0,0.0016570701263844967
84,160,200,0.01,rgcn,60,0.0,0.0,0.009259259259259259,0.004090551286935806
85,176,500,0.1,transe,60,0.0,0.0,0.009259259259259259,0.004380618222057819
86,112,200,0.05,complex,90,0.0,0.0,0.0,0.0010885749943554401
87,80,300,0.05,complex,20,0.0,0.0,0.009259259259259259,0.0034687605220824476
88,432,200,0.05,transe,80,0.0,0.0,0.0,0.0031828817445784807
89,96,100,0.005,transe,30,0.0,0.0,0.0,0.003949252422899008
90,496,100,0.01,distmult,1,0.0,0.0,0.009259259259259259,0.0030175838619470596
91,336,500,0.1,distmult,30,0.0,0.0,0.009259259259259259,0.0024089838843792677
92,176,100,0.02,complex,10,0.0,0.0,0.0,0.0018024815944954753
93,224,500,0.05,transe,70,0.0,0.0,0.0,0.0017408618004992606
94,384,200,0.001,distmult,90,0.0,0.0,0.0,0.001395877217873931
95,112,100,0.005,rgcn,70,0.0,0.0,0.009259259259259259,0.0038980713579803705
96,512,400,0.02,rgcn,40,0.009259259259259259,0.018518518518518517,0.018518518518518517,0.016421176493167877
97,416,200,0.001,transe,10,0.0,0.0,0.0,0.0029642770532518625
98,80,200,0.005,distmult,90,0.0,0.0,0.0,0.002198166446760297
99,272,200,0.01,complex,1,0.0,0.0,0.0,0.0016932165017351508
