,dependent,giv_prop,iv,iv_label,cat_t1,cat_t1_label,cat_t2,cat_t2_label,obs
237,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/ChoicesVariable,https://data.cooperationdatabank.org/vocab/prop/exitOption,Exit option,False,na,True,na,2
238,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/ChoicesVariable,https://data.cooperationdatabank.org/vocab/prop/lowerChoiceRangeLevel,Lowest choice option level,https://data.cooperationdatabank.org/id/lowerchoicerangelevel/high,High,https://data.cooperationdatabank.org/id/lowerchoicerangelevel/low,Low,1
239,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/ChoicesVariable,https://data.cooperationdatabank.org/vocab/prop/nbOfChoicesLevel,Number of choices level,https://data.cooperationdatabank.org/id/nbofchoiceslevel/low,Low,https://data.cooperationdatabank.org/id/nbofchoiceslevel/high,High,4
240,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/ChoicesVariable,https://data.cooperationdatabank.org/vocab/prop/nbOfChoicesLevel,Number of choices level,https://data.cooperationdatabank.org/id/nbofchoiceslevel/low,Low,https://data.cooperationdatabank.org/id/nbofchoiceslevel/medium,Medium,2
241,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/ChoicesVariable,https://data.cooperationdatabank.org/vocab/prop/nbOfChoicesLevel,Number of choices level,https://data.cooperationdatabank.org/id/nbofchoiceslevel/medium,Medium,https://data.cooperationdatabank.org/id/nbofchoiceslevel/high,High,1
242,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/ChoicesVariable,https://data.cooperationdatabank.org/vocab/prop/upperChoiceRangeLevel,Highest choice option level,https://data.cooperationdatabank.org/id/upperchoicerangelevel/low,Low,https://data.cooperationdatabank.org/id/upperchoicerangelevel/high,High,4
243,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/ChoicesVariable,https://data.cooperationdatabank.org/vocab/prop/upperChoiceRangeLevel,Highest choice option level,https://data.cooperationdatabank.org/id/upperchoicerangelevel/low,Low,https://data.cooperationdatabank.org/id/upperchoicerangelevel/medium,Medium,2
244,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/ChoicesVariable,https://data.cooperationdatabank.org/vocab/prop/upperChoiceRangeLevel,Highest choice option level,https://data.cooperationdatabank.org/id/upperchoicerangelevel/medium,Medium,https://data.cooperationdatabank.org/id/upperchoicerangelevel/high,High,1
469,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/ChoicesVariable,https://data.cooperationdatabank.org/vocab/prop/nbOfChoicesLevel,Number of choices level,https://data.cooperationdatabank.org/id/nbofchoiceslevel/low,Low,https://data.cooperationdatabank.org/id/nbofchoiceslevel/high,High,1
470,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/ChoicesVariable,https://data.cooperationdatabank.org/vocab/prop/upperChoiceRangeLevel,Highest choice option level,https://data.cooperationdatabank.org/id/upperchoicerangelevel/low,Low,https://data.cooperationdatabank.org/id/upperchoicerangelevel/high,High,1
