,dependent,giv_prop,iv,iv_label,cat_t1,cat_t1_label,cat_t2,cat_t2_label,obs
13,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,https://data.cooperationdatabank.org/vocab/prop/communicationContent,Communication content,https://data.cooperationdatabank.org/id/communicationcontent/threat,Threat,https://data.cooperationdatabank.org/id/communicationcontent/promise,Promise,12
14,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,https://data.cooperationdatabank.org/vocab/prop/communicationOccurrence,Communication occurrence,https://data.cooperationdatabank.org/id/communicationoccurrence/one-shot,One-shot,https://data.cooperationdatabank.org/id/communicationoccurrence/ongoing,Ongoing,2
15,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,https://data.cooperationdatabank.org/vocab/prop/communicationOptional,Optional communication,False,False,True,True,2
16,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,https://data.cooperationdatabank.org/vocab/prop/communicationTreatment,Communication treatment,True,True,False,False,66
17,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,https://data.cooperationdatabank.org/vocab/prop/communicationTreatment,Communication treatment,true,true,false,false,27
18,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,https://data.cooperationdatabank.org/vocab/prop/communicationType,Communication type,https://data.cooperationdatabank.org/id/communicationtype/nonverbal,Nonverbal,https://data.cooperationdatabank.org/id/communicationtype/verbal,Verbal,3
19,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,https://data.cooperationdatabank.org/vocab/prop/communicationType,Communication type,https://data.cooperationdatabank.org/id/communicationtype/written,Written,https://data.cooperationdatabank.org/id/communicationtype/verbal,Verbal,1
20,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,https://data.cooperationdatabank.org/vocab/prop/restricted,Restricted communication,False,False,True,True,2
246,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,https://data.cooperationdatabank.org/vocab/prop/communicationContent,Communication content,https://data.cooperationdatabank.org/id/communicationcontent/irrelevant,Irrelevant,https://data.cooperationdatabank.org/id/communicationcontent/promise,Promise,4
247,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,https://data.cooperationdatabank.org/vocab/prop/communicationContent,Communication content,https://data.cooperationdatabank.org/id/communicationcontent/other,Other,https://data.cooperationdatabank.org/id/communicationcontent/promise,Promise,3
248,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,https://data.cooperationdatabank.org/vocab/prop/communicationContent,Communication content,https://data.cooperationdatabank.org/id/communicationcontent/other,Other,https://data.cooperationdatabank.org/id/communicationcontent/request,Request,1
249,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,https://data.cooperationdatabank.org/vocab/prop/communicationContent,Communication content,https://data.cooperationdatabank.org/id/communicationcontent/other,Other,https://data.cooperationdatabank.org/id/communicationcontent/threat,Threat,2
250,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,https://data.cooperationdatabank.org/vocab/prop/communicationContent,Communication content,https://data.cooperationdatabank.org/id/communicationcontent/threat,Threat,https://data.cooperationdatabank.org/id/communicationcontent/promise,Promise,5
251,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,https://data.cooperationdatabank.org/vocab/prop/communicationOccurrence,Communication occurrence,https://data.cooperationdatabank.org/id/communicationoccurrence/one-shot,One-shot,https://data.cooperationdatabank.org/id/communicationoccurrence/ongoing,Ongoing,2
252,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,https://data.cooperationdatabank.org/vocab/prop/communicationReal,Real communication,True,True,False,False,1
253,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,https://data.cooperationdatabank.org/vocab/prop/communicationTreatment,Communication treatment,True,True,False,False,86
254,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,https://data.cooperationdatabank.org/vocab/prop/communicationTreatment,Communication treatment,true,true,false,false,12
255,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,https://data.cooperationdatabank.org/vocab/prop/communicationType,Communication type,https://data.cooperationdatabank.org/id/communicationtype/written,Written,https://data.cooperationdatabank.org/id/communicationtype/verbal,Verbal,3
256,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,https://data.cooperationdatabank.org/vocab/prop/restricted,Restricted communication,False,False,True,True,4
257,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/CommunicationVariable,https://data.cooperationdatabank.org/vocab/prop/restricted,Restricted communication,false,false,true,true,1
