,dependent,giv_prop,iv,iv_label,cat_t1,cat_t1_label,cat_t2,cat_t2_label,obs
23,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/EducationVariable,https://data.cooperationdatabank.org/vocab/prop/knowledgeOfExperimentalGames,Knowledge of experimental games,False,na,True,na,2
24,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/EducationVariable,https://data.cooperationdatabank.org/vocab/prop/student,Student sample,True,na,False,na,3
25,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/EducationVariable,https://data.cooperationdatabank.org/vocab/prop/student,Student sample,false,na,true,na,1
262,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/EducationVariable,https://data.cooperationdatabank.org/vocab/prop/academicDiscipline,Academic discipline,https://data.cooperationdatabank.org/id/academicdiscipline/economics,Economics,https://data.cooperationdatabank.org/id/academicdiscipline/others,Others,5
263,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/EducationVariable,https://data.cooperationdatabank.org/vocab/prop/academicDiscipline,Academic discipline,https://data.cooperationdatabank.org/id/academicdiscipline/psychology,Psychology,https://data.cooperationdatabank.org/id/academicdiscipline/others,Others,2
264,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/EducationVariable,https://data.cooperationdatabank.org/vocab/prop/academicGradeLevel,Academic grade level,https://data.cooperationdatabank.org/id/academicgradelevel/junior,Junior,https://data.cooperationdatabank.org/id/academicgradelevel/middle,Middle,1
265,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/EducationVariable,https://data.cooperationdatabank.org/vocab/prop/academicGradeLevel,Academic grade level,https://data.cooperationdatabank.org/id/academicgradelevel/junior,Junior,https://data.cooperationdatabank.org/id/academicgradelevel/senior,Senior,2
266,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/EducationVariable,https://data.cooperationdatabank.org/vocab/prop/academicGradeLevel,Academic grade level,https://data.cooperationdatabank.org/id/academicgradelevel/middle,Middle,https://data.cooperationdatabank.org/id/academicgradelevel/senior,Senior,1
267,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/EducationVariable,https://data.cooperationdatabank.org/vocab/prop/student,Student sample,True,na,False,na,18
268,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/EducationVariable,https://data.cooperationdatabank.org/vocab/prop/student,Student sample,false,na,true,na,9
