,dependent,giv_prop,iv,iv_label,cat_t1,cat_t1_label,cat_t2,cat_t2_label,obs
26,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/EmotionsVariable,https://data.cooperationdatabank.org/vocab/prop/emotion,Emotion,https://data.cooperationdatabank.org/id/emotion/anger,Anger,https://data.cooperationdatabank.org/id/emotion/disgust,Disgust,2
27,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/EmotionsVariable,https://data.cooperationdatabank.org/vocab/prop/emotion,Emotion,https://data.cooperationdatabank.org/id/emotion/anger,Anger,https://data.cooperationdatabank.org/id/emotion/sadness,Sadness,2
28,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/EmotionsVariable,https://data.cooperationdatabank.org/vocab/prop/emotion,Emotion,https://data.cooperationdatabank.org/id/emotion/disgust,Disgust,https://data.cooperationdatabank.org/id/emotion/sadness,Sadness,2
29,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/EmotionsVariable,https://data.cooperationdatabank.org/vocab/prop/emotion,Emotion,https://data.cooperationdatabank.org/id/emotion/guilt,Guilt,https://data.cooperationdatabank.org/id/emotion/neutral,Neutral,1
30,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/EmotionsVariable,https://data.cooperationdatabank.org/vocab/prop/emotion,Emotion,https://data.cooperationdatabank.org/id/emotion/happiness,Happiness,https://data.cooperationdatabank.org/id/emotion/anger,Anger,1
31,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/EmotionsVariable,https://data.cooperationdatabank.org/vocab/prop/emotion,Emotion,https://data.cooperationdatabank.org/id/emotion/happiness,Happiness,https://data.cooperationdatabank.org/id/emotion/neutral,Neutral,2
32,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/EmotionsVariable,https://data.cooperationdatabank.org/vocab/prop/emotion,Emotion,https://data.cooperationdatabank.org/id/emotion/happiness,Happiness,https://data.cooperationdatabank.org/id/emotion/sadness,Sadness,2
33,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/EmotionsVariable,https://data.cooperationdatabank.org/vocab/prop/emotion,Emotion,https://data.cooperationdatabank.org/id/emotion/neutral,Neutral,https://data.cooperationdatabank.org/id/emotion/anger,Anger,4
34,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/EmotionsVariable,https://data.cooperationdatabank.org/vocab/prop/emotion,Emotion,https://data.cooperationdatabank.org/id/emotion/neutral,Neutral,https://data.cooperationdatabank.org/id/emotion/disappointment,Disappointment,1
35,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/EmotionsVariable,https://data.cooperationdatabank.org/vocab/prop/emotion,Emotion,https://data.cooperationdatabank.org/id/emotion/neutral,Neutral,https://data.cooperationdatabank.org/id/emotion/disgust,Disgust,2
36,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/EmotionsVariable,https://data.cooperationdatabank.org/vocab/prop/emotion,Emotion,https://data.cooperationdatabank.org/id/emotion/other_emotion,Other emotion,https://data.cooperationdatabank.org/id/emotion/guilt,Guilt,1
37,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/EmotionsVariable,https://data.cooperationdatabank.org/vocab/prop/emotion,Emotion,https://data.cooperationdatabank.org/id/emotion/other_emotion,Other emotion,https://data.cooperationdatabank.org/id/emotion/neutral,Neutral,1
38,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/EmotionsVariable,https://data.cooperationdatabank.org/vocab/prop/emotion,Emotion,https://data.cooperationdatabank.org/id/emotion/regret,Regret,https://data.cooperationdatabank.org/id/emotion/disappointment,Disappointment,1
39,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/EmotionsVariable,https://data.cooperationdatabank.org/vocab/prop/emotion,Emotion,https://data.cooperationdatabank.org/id/emotion/regret,Regret,https://data.cooperationdatabank.org/id/emotion/neutral,Neutral,1
40,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/EmotionsVariable,https://data.cooperationdatabank.org/vocab/prop/emotion,Emotion,https://data.cooperationdatabank.org/id/emotion/sadness,Sadness,https://data.cooperationdatabank.org/id/emotion/neutral,Neutral,4
41,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/EmotionsVariable,https://data.cooperationdatabank.org/vocab/prop/emotion,Emotion,https://data.cooperationdatabank.org/id/emotion/shame,Shame,https://data.cooperationdatabank.org/id/emotion/neutral,Neutral,3
42,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/EmotionsVariable,https://data.cooperationdatabank.org/vocab/prop/partnerEmotion,Partner's emotion,https://data.cooperationdatabank.org/id/partneremotion/guilt,Guilt,https://data.cooperationdatabank.org/id/partneremotion/neutral,Neutral,1
43,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/EmotionsVariable,https://data.cooperationdatabank.org/vocab/prop/partnerEmotion,Partner's emotion,https://data.cooperationdatabank.org/id/partneremotion/happiness,Happiness,https://data.cooperationdatabank.org/id/partneremotion/anger,Anger,2
44,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/EmotionsVariable,https://data.cooperationdatabank.org/vocab/prop/partnerEmotion,Partner's emotion,https://data.cooperationdatabank.org/id/partneremotion/neutral,Neutral,https://data.cooperationdatabank.org/id/partneremotion/anger,Anger,2
269,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/EmotionsVariable,https://data.cooperationdatabank.org/vocab/prop/emotion,Emotion,https://data.cooperationdatabank.org/id/emotion/fear,Fear,https://data.cooperationdatabank.org/id/emotion/happiness,Happiness,1
270,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/EmotionsVariable,https://data.cooperationdatabank.org/vocab/prop/emotion,Emotion,https://data.cooperationdatabank.org/id/emotion/guilt,Guilt,https://data.cooperationdatabank.org/id/emotion/neutral,Neutral,2
271,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/EmotionsVariable,https://data.cooperationdatabank.org/vocab/prop/emotion,Emotion,https://data.cooperationdatabank.org/id/emotion/shame,Shame,https://data.cooperationdatabank.org/id/emotion/neutral,Neutral,1
272,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/EmotionsVariable,https://data.cooperationdatabank.org/vocab/prop/emotionIntensity,Emotion intensity,https://data.cooperationdatabank.org/id/emotionintensity/low,Low,https://data.cooperationdatabank.org/id/emotionintensity/high,High,4
273,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/EmotionsVariable,https://data.cooperationdatabank.org/vocab/prop/emotionValence,Emotion valence,https://data.cooperationdatabank.org/id/emotionvalence/neutral,neutral,https://data.cooperationdatabank.org/id/emotionvalence/negative,negative,1
274,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/EmotionsVariable,https://data.cooperationdatabank.org/vocab/prop/emotionValence,Emotion valence,https://data.cooperationdatabank.org/id/emotionvalence/positive,positive,https://data.cooperationdatabank.org/id/emotionvalence/negative,negative,1
275,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/EmotionsVariable,https://data.cooperationdatabank.org/vocab/prop/emotionValence,Emotion valence,https://data.cooperationdatabank.org/id/emotionvalence/positive,positive,https://data.cooperationdatabank.org/id/emotionvalence/neutral,neutral,1
474,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/EmotionsVariable,https://data.cooperationdatabank.org/vocab/prop/emotion,Emotion,https://data.cooperationdatabank.org/id/emotion/anger,Anger,https://data.cooperationdatabank.org/id/emotion/disgust,Disgust,2
475,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/EmotionsVariable,https://data.cooperationdatabank.org/vocab/prop/emotion,Emotion,https://data.cooperationdatabank.org/id/emotion/anger,Anger,https://data.cooperationdatabank.org/id/emotion/sadness,Sadness,2
476,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/EmotionsVariable,https://data.cooperationdatabank.org/vocab/prop/emotion,Emotion,https://data.cooperationdatabank.org/id/emotion/disgust,Disgust,https://data.cooperationdatabank.org/id/emotion/sadness,Sadness,2
