,dependent,giv_prop,iv,iv_label,cat_t1,cat_t1_label,cat_t2,cat_t2_label,obs
146,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/PersonalityVariable,https://data.cooperationdatabank.org/vocab/prop/individualDifferenceLevel,Individual difference level,https://data.cooperationdatabank.org/id/individualdifferencelevel/high,High,https://data.cooperationdatabank.org/id/individualdifferencelevel/low,Low,21
147,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/PersonalityVariable,https://data.cooperationdatabank.org/vocab/prop/individualDifferenceLevel,Individual difference level,https://data.cooperationdatabank.org/id/individualdifferencelevel/low,Low,https://data.cooperationdatabank.org/id/individualdifferencelevel/medium,Medium,4
148,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/PersonalityVariable,https://data.cooperationdatabank.org/vocab/prop/individualDifferenceLevel,Individual difference level,https://data.cooperationdatabank.org/id/individualdifferencelevel/medium,Medium,https://data.cooperationdatabank.org/id/individualdifferencelevel/high,High,4
149,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/PersonalityVariable,https://data.cooperationdatabank.org/vocab/prop/sVOType,SVO type,https://data.cooperationdatabank.org/id/svotype/altruist,Altruist,https://data.cooperationdatabank.org/id/svotype/prosocial,Prosocial,1
150,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/PersonalityVariable,https://data.cooperationdatabank.org/vocab/prop/sVOType,SVO type,https://data.cooperationdatabank.org/id/svotype/individualist,Individualist,https://data.cooperationdatabank.org/id/svotype/altruist,Altruist,1
151,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/PersonalityVariable,https://data.cooperationdatabank.org/vocab/prop/sVOType,SVO type,https://data.cooperationdatabank.org/id/svotype/individualist,Individualist,https://data.cooperationdatabank.org/id/svotype/prosocial,Prosocial,5
152,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/PersonalityVariable,https://data.cooperationdatabank.org/vocab/prop/sVOType,SVO type,https://data.cooperationdatabank.org/id/svotype/prosocial,Prosocial,https://data.cooperationdatabank.org/id/svotype/proself,Proself,35
389,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/PersonalityVariable,https://data.cooperationdatabank.org/vocab/prop/individualDifferenceLevel,Individual difference level,https://data.cooperationdatabank.org/id/individualdifferencelevel/high,High,https://data.cooperationdatabank.org/id/individualdifferencelevel/low,Low,21
390,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/PersonalityVariable,https://data.cooperationdatabank.org/vocab/prop/individualDifferenceLevel,Individual difference level,https://data.cooperationdatabank.org/id/individualdifferencelevel/low,Low,https://data.cooperationdatabank.org/id/individualdifferencelevel/medium,Medium,2
391,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/PersonalityVariable,https://data.cooperationdatabank.org/vocab/prop/individualDifferenceLevel,Individual difference level,https://data.cooperationdatabank.org/id/individualdifferencelevel/medium,Medium,https://data.cooperationdatabank.org/id/individualdifferencelevel/high,High,2
392,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/PersonalityVariable,https://data.cooperationdatabank.org/vocab/prop/psychopathology,Psychopathology,https://data.cooperationdatabank.org/id/psychopathology/autism_spectrum_disorders,Autism spectrum disorders,https://data.cooperationdatabank.org/id/psychopathology/control,Control,3
393,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/PersonalityVariable,https://data.cooperationdatabank.org/vocab/prop/psychopathology,Psychopathology,https://data.cooperationdatabank.org/id/psychopathology/bipolar,Bipolar,https://data.cooperationdatabank.org/id/psychopathology/control,Control,1
394,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/PersonalityVariable,https://data.cooperationdatabank.org/vocab/prop/psychopathology,Psychopathology,https://data.cooperationdatabank.org/id/psychopathology/borderline,Borderline,https://data.cooperationdatabank.org/id/psychopathology/bipolar,Bipolar,1
395,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/PersonalityVariable,https://data.cooperationdatabank.org/vocab/prop/psychopathology,Psychopathology,https://data.cooperationdatabank.org/id/psychopathology/borderline,Borderline,https://data.cooperationdatabank.org/id/psychopathology/control,Control,1
396,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/PersonalityVariable,https://data.cooperationdatabank.org/vocab/prop/psychopathology,Psychopathology,https://data.cooperationdatabank.org/id/psychopathology/depression,Depression,https://data.cooperationdatabank.org/id/psychopathology/control,Control,2
397,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/PersonalityVariable,https://data.cooperationdatabank.org/vocab/prop/psychopathology,Psychopathology,https://data.cooperationdatabank.org/id/psychopathology/non-suicidal_self-injury,Non-suicidal self-injury,https://data.cooperationdatabank.org/id/psychopathology/control,Control,1
398,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/PersonalityVariable,https://data.cooperationdatabank.org/vocab/prop/psychopathology,Psychopathology,https://data.cooperationdatabank.org/id/psychopathology/non-suicidal_self-injury,Non-suicidal self-injury,https://data.cooperationdatabank.org/id/psychopathology/suicide_attempt,Suicide attempt,1
399,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/PersonalityVariable,https://data.cooperationdatabank.org/vocab/prop/psychopathology,Psychopathology,https://data.cooperationdatabank.org/id/psychopathology/schizophrenia,Schizophrenia,https://data.cooperationdatabank.org/id/psychopathology/control,Control,1
400,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/PersonalityVariable,https://data.cooperationdatabank.org/vocab/prop/psychopathology,Psychopathology,https://data.cooperationdatabank.org/id/psychopathology/suicide_attempt,Suicide attempt,https://data.cooperationdatabank.org/id/psychopathology/control,Control,1
401,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/PersonalityVariable,https://data.cooperationdatabank.org/vocab/prop/sVOType,SVO type,https://data.cooperationdatabank.org/id/svotype/altruist,Altruist,https://data.cooperationdatabank.org/id/svotype/competitor,Competitor,2
402,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/PersonalityVariable,https://data.cooperationdatabank.org/vocab/prop/sVOType,SVO type,https://data.cooperationdatabank.org/id/svotype/altruist,Altruist,https://data.cooperationdatabank.org/id/svotype/prosocial,Prosocial,1
403,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/PersonalityVariable,https://data.cooperationdatabank.org/vocab/prop/sVOType,SVO type,https://data.cooperationdatabank.org/id/svotype/altruist,Altruist,https://data.cooperationdatabank.org/id/svotype/unclassified,Unclassified,2
