,dependent,giv_prop,iv,iv_label,cat_t1,cat_t1_label,cat_t2,cat_t2_label,obs
214,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Step-level_Public_Goods_GameVariable,https://data.cooperationdatabank.org/vocab/prop/stepReturnLevel,Step return level,https://data.cooperationdatabank.org/id/stepreturnlevel/low,Low,https://data.cooperationdatabank.org/id/stepreturnlevel/medium,Medium,1
215,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Step-level_Public_Goods_GameVariable,https://data.cooperationdatabank.org/vocab/prop/thresholdLevel,Threshold level,https://data.cooperationdatabank.org/id/thresholdlevel/high,High,https://data.cooperationdatabank.org/id/thresholdlevel/low,Low,11
216,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Step-level_Public_Goods_GameVariable,https://data.cooperationdatabank.org/vocab/prop/thresholdLevel,Threshold level,https://data.cooperationdatabank.org/id/thresholdlevel/medium,Medium,https://data.cooperationdatabank.org/id/thresholdlevel/high,High,6
217,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Step-level_Public_Goods_GameVariable,https://data.cooperationdatabank.org/vocab/prop/thresholdLevel,Threshold level,https://data.cooperationdatabank.org/id/thresholdlevel/medium,Medium,https://data.cooperationdatabank.org/id/thresholdlevel/low,Low,6
456,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/Step-level_Public_Goods_GameVariable,https://data.cooperationdatabank.org/vocab/prop/stepReturnLevel,Step return level,https://data.cooperationdatabank.org/id/stepreturnlevel/low,Low,https://data.cooperationdatabank.org/id/stepreturnlevel/high,High,1
457,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/Step-level_Public_Goods_GameVariable,https://data.cooperationdatabank.org/vocab/prop/stepReturnLevel,Step return level,https://data.cooperationdatabank.org/id/stepreturnlevel/low,Low,https://data.cooperationdatabank.org/id/stepreturnlevel/medium,Medium,2
458,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/Step-level_Public_Goods_GameVariable,https://data.cooperationdatabank.org/vocab/prop/stepReturnLevel,Step return level,https://data.cooperationdatabank.org/id/stepreturnlevel/medium,Medium,https://data.cooperationdatabank.org/id/stepreturnlevel/high,High,2
459,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/Step-level_Public_Goods_GameVariable,https://data.cooperationdatabank.org/vocab/prop/thresholdLevel,Threshold level,https://data.cooperationdatabank.org/id/thresholdlevel/high,High,https://data.cooperationdatabank.org/id/thresholdlevel/low,Low,1
460,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/Step-level_Public_Goods_GameVariable,https://data.cooperationdatabank.org/vocab/prop/thresholdLevel,Threshold level,https://data.cooperationdatabank.org/id/thresholdlevel/medium,Medium,https://data.cooperationdatabank.org/id/thresholdlevel/high,High,1
461,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/Step-level_Public_Goods_GameVariable,https://data.cooperationdatabank.org/vocab/prop/thresholdLevel,Threshold level,https://data.cooperationdatabank.org/id/thresholdlevel/medium,Medium,https://data.cooperationdatabank.org/id/thresholdlevel/low,Low,1
