,dependent,giv_prop,iv,iv_label,cat_t1,cat_t1_label,cat_t2,cat_t2_label,mod,mod_label,mod_val,mod_val_label,obs
0,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/AcquaintanceVariable,https://data.cooperationdatabank.org/vocab/prop/relationshipWithFocalAgent,Relationship with the partner,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/acquaintance,acquaintance,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/stranger,stranger,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/ITA,ITA,5
1,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/AcquaintanceVariable,https://data.cooperationdatabank.org/vocab/prop/relationshipWithFocalAgent,Relationship with the partner,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/acquaintance,acquaintance,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/stranger,stranger,https://data.cooperationdatabank.org/vocab/prop/countrySource,Source of country or region,https://data.cooperationdatabank.org/id/countrysource/1,Specified country,5
2,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/AcquaintanceVariable,https://data.cooperationdatabank.org/vocab/prop/relationshipWithFocalAgent,Relationship with the partner,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/acquaintance,acquaintance,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/stranger,stranger,https://data.cooperationdatabank.org/vocab/prop/deception,Deception,false,false,5
3,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/AcquaintanceVariable,https://data.cooperationdatabank.org/vocab/prop/relationshipWithFocalAgent,Relationship with the partner,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/acquaintance,acquaintance,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/stranger,stranger,https://data.cooperationdatabank.org/vocab/prop/discussion,Discussion,https://data.cooperationdatabank.org/id/discussion/0,Absent,5
4,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/AcquaintanceVariable,https://data.cooperationdatabank.org/vocab/prop/relationshipWithFocalAgent,Relationship with the partner,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/acquaintance,acquaintance,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/stranger,stranger,https://data.cooperationdatabank.org/vocab/prop/discussion,Discussion,https://data.cooperationdatabank.org/id/discussion/1,Uni-directional,5
5,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/AcquaintanceVariable,https://data.cooperationdatabank.org/vocab/prop/relationshipWithFocalAgent,Relationship with the partner,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/acquaintance,acquaintance,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/stranger,stranger,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,Published,https://data.cooperationdatabank.org/id/publicationstatus/1,Published Article,5
6,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/AcquaintanceVariable,https://data.cooperationdatabank.org/vocab/prop/relationshipWithFocalAgent,Relationship with the partner,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/acquaintance,acquaintance,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/stranger,stranger,https://data.cooperationdatabank.org/vocab/prop/sanction,Sanction,false,false,5
7,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/AcquaintanceVariable,https://data.cooperationdatabank.org/vocab/prop/relationshipWithFocalAgent,Relationship with the partner,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/acquaintance,acquaintance,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/stranger,stranger,https://data.cooperationdatabank.org/vocab/prop/studyAcademicDiscipline,Academic discipline,https://data.cooperationdatabank.org/id/studyacademicdiscipline/1,Economics,4
8,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/AcquaintanceVariable,https://data.cooperationdatabank.org/vocab/prop/relationshipWithFocalAgent,Relationship with the partner,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/acquaintance,acquaintance,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/stranger,stranger,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,Acquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,Strangers,5
9,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/AcquaintanceVariable,https://data.cooperationdatabank.org/vocab/prop/relationshipWithFocalAgent,Relationship with the partner,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/acquaintance,acquaintance,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/stranger,stranger,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,Acquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/1,Acquaintance,5
10,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/AcquaintanceVariable,https://data.cooperationdatabank.org/vocab/prop/relationshipWithFocalAgent,Relationship with the partner,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/acquaintance,acquaintance,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/stranger,stranger,https://data.cooperationdatabank.org/vocab/prop/studyContinuousPGG,Continuous vs step-level public goods,https://data.cooperationdatabank.org/id/studycontinuouspgg/1,Continuous,5
11,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/AcquaintanceVariable,https://data.cooperationdatabank.org/vocab/prop/relationshipWithFocalAgent,Relationship with the partner,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/acquaintance,acquaintance,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/stranger,stranger,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,Game type,https://data.cooperationdatabank.org/id/studydilemmatype/2,Public Goods Game,5
12,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/AcquaintanceVariable,https://data.cooperationdatabank.org/vocab/prop/relationshipWithFocalAgent,Relationship with the partner,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/acquaintance,acquaintance,https://data.cooperationdatabank.org/id/relationshipwithfocalagent/stranger,stranger,https://data.cooperationdatabank.org/vocab/prop/studyExperimentalSetting,Experimental setting,https://data.cooperationdatabank.org/id/studyexperimentalsetting/2,Lab,5
