,dependent,giv_prop,iv,iv_label,cat_t1,cat_t1_label,cat_t2,cat_t2_label,mod,mod_label,mod_val,mod_val_label,obs
129,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/AnchorVariable,https://data.cooperationdatabank.org/vocab/prop/anchor,Anchor,https://data.cooperationdatabank.org/id/anchor/high_cooperation,high cooperation ,https://data.cooperationdatabank.org/id/anchor/absent,Absent,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/DEU,DEU,3
130,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/AnchorVariable,https://data.cooperationdatabank.org/vocab/prop/anchor,Anchor,https://data.cooperationdatabank.org/id/anchor/high_cooperation,high cooperation ,https://data.cooperationdatabank.org/id/anchor/absent,Absent,https://data.cooperationdatabank.org/vocab/prop/countrySource,Source of country or region,https://data.cooperationdatabank.org/id/countrysource/1,Specified country,1
131,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/AnchorVariable,https://data.cooperationdatabank.org/vocab/prop/anchor,Anchor,https://data.cooperationdatabank.org/id/anchor/high_cooperation,high cooperation ,https://data.cooperationdatabank.org/id/anchor/absent,Absent,https://data.cooperationdatabank.org/vocab/prop/countrySource,Source of country or region,https://data.cooperationdatabank.org/id/countrysource/4,Most authors,2
132,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/AnchorVariable,https://data.cooperationdatabank.org/vocab/prop/anchor,Anchor,https://data.cooperationdatabank.org/id/anchor/high_cooperation,high cooperation ,https://data.cooperationdatabank.org/id/anchor/absent,Absent,https://data.cooperationdatabank.org/vocab/prop/deception,Deception,true,true,3
133,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/AnchorVariable,https://data.cooperationdatabank.org/vocab/prop/anchor,Anchor,https://data.cooperationdatabank.org/id/anchor/high_cooperation,high cooperation ,https://data.cooperationdatabank.org/id/anchor/absent,Absent,https://data.cooperationdatabank.org/vocab/prop/discussion,Discussion,https://data.cooperationdatabank.org/id/discussion/0,Absent,3
134,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/AnchorVariable,https://data.cooperationdatabank.org/vocab/prop/anchor,Anchor,https://data.cooperationdatabank.org/id/anchor/high_cooperation,high cooperation ,https://data.cooperationdatabank.org/id/anchor/absent,Absent,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,Published,https://data.cooperationdatabank.org/id/publicationstatus/1,Published Article,3
135,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/AnchorVariable,https://data.cooperationdatabank.org/vocab/prop/anchor,Anchor,https://data.cooperationdatabank.org/id/anchor/high_cooperation,high cooperation ,https://data.cooperationdatabank.org/id/anchor/absent,Absent,https://data.cooperationdatabank.org/vocab/prop/recruitmentMethod,Recruitment method,https://data.cooperationdatabank.org/id/recruitmentmethod/3,Other,1
136,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/AnchorVariable,https://data.cooperationdatabank.org/vocab/prop/anchor,Anchor,https://data.cooperationdatabank.org/id/anchor/high_cooperation,high cooperation ,https://data.cooperationdatabank.org/id/anchor/absent,Absent,https://data.cooperationdatabank.org/vocab/prop/sanction,Sanction,false,false,3
137,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/AnchorVariable,https://data.cooperationdatabank.org/vocab/prop/anchor,Anchor,https://data.cooperationdatabank.org/id/anchor/high_cooperation,high cooperation ,https://data.cooperationdatabank.org/id/anchor/absent,Absent,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,Acquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,Strangers,3
138,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/AnchorVariable,https://data.cooperationdatabank.org/vocab/prop/anchor,Anchor,https://data.cooperationdatabank.org/id/anchor/high_cooperation,high cooperation ,https://data.cooperationdatabank.org/id/anchor/absent,Absent,https://data.cooperationdatabank.org/vocab/prop/studyContinuousPGG,Continuous vs step-level public goods,https://data.cooperationdatabank.org/id/studycontinuouspgg/1,Continuous,1
