,dependent,giv_prop,iv,iv_label,cat_t1,cat_t1_label,cat_t2,cat_t2_label,mod,mod_label,mod_val,mod_val_label,obs
201,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Behavior_in_the_gameVariable,https://data.cooperationdatabank.org/vocab/prop/othersBehaviorLevel,Partner's behavior level,https://data.cooperationdatabank.org/id/othersbehaviorlevel/high,High,https://data.cooperationdatabank.org/id/othersbehaviorlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/CHN,CHN,1
202,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Behavior_in_the_gameVariable,https://data.cooperationdatabank.org/vocab/prop/othersBehaviorLevel,Partner's behavior level,https://data.cooperationdatabank.org/id/othersbehaviorlevel/high,High,https://data.cooperationdatabank.org/id/othersbehaviorlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/countrySource,Source of country or region,https://data.cooperationdatabank.org/id/countrysource/1,Specified country,1
203,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Behavior_in_the_gameVariable,https://data.cooperationdatabank.org/vocab/prop/othersBehaviorLevel,Partner's behavior level,https://data.cooperationdatabank.org/id/othersbehaviorlevel/high,High,https://data.cooperationdatabank.org/id/othersbehaviorlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/deception,Deception,true,na,1
204,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Behavior_in_the_gameVariable,https://data.cooperationdatabank.org/vocab/prop/othersBehaviorLevel,Partner's behavior level,https://data.cooperationdatabank.org/id/othersbehaviorlevel/high,High,https://data.cooperationdatabank.org/id/othersbehaviorlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/discussion,Discussion,https://data.cooperationdatabank.org/id/discussion/0,Absent,1
205,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Behavior_in_the_gameVariable,https://data.cooperationdatabank.org/vocab/prop/othersBehaviorLevel,Partner's behavior level,https://data.cooperationdatabank.org/id/othersbehaviorlevel/high,High,https://data.cooperationdatabank.org/id/othersbehaviorlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,Published,https://data.cooperationdatabank.org/id/publicationstatus/1,Published Article,1
206,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Behavior_in_the_gameVariable,https://data.cooperationdatabank.org/vocab/prop/othersBehaviorLevel,Partner's behavior level,https://data.cooperationdatabank.org/id/othersbehaviorlevel/high,High,https://data.cooperationdatabank.org/id/othersbehaviorlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/recruitmentMethod,Recruitment method,https://data.cooperationdatabank.org/id/recruitmentmethod/1,Participant pool,1
207,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Behavior_in_the_gameVariable,https://data.cooperationdatabank.org/vocab/prop/othersBehaviorLevel,Partner's behavior level,https://data.cooperationdatabank.org/id/othersbehaviorlevel/high,High,https://data.cooperationdatabank.org/id/othersbehaviorlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/recruitmentMethod,Recruitment method,https://data.cooperationdatabank.org/id/recruitmentmethod/3,Other,1
208,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Behavior_in_the_gameVariable,https://data.cooperationdatabank.org/vocab/prop/othersBehaviorLevel,Partner's behavior level,https://data.cooperationdatabank.org/id/othersbehaviorlevel/high,High,https://data.cooperationdatabank.org/id/othersbehaviorlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/sanction,Sanction,false,na,1
209,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Behavior_in_the_gameVariable,https://data.cooperationdatabank.org/vocab/prop/othersBehaviorLevel,Partner's behavior level,https://data.cooperationdatabank.org/id/othersbehaviorlevel/high,High,https://data.cooperationdatabank.org/id/othersbehaviorlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,Acquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,Strangers,1
210,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Behavior_in_the_gameVariable,https://data.cooperationdatabank.org/vocab/prop/othersBehaviorLevel,Partner's behavior level,https://data.cooperationdatabank.org/id/othersbehaviorlevel/high,High,https://data.cooperationdatabank.org/id/othersbehaviorlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/studyContinuousPGG,Continuous vs step-level public goods,https://data.cooperationdatabank.org/id/studycontinuouspgg/1,Continuous,1
