,dependent,giv_prop,iv,iv_label,cat_t1,cat_t1_label,cat_t2,cat_t2_label,mod,mod_label,mod_val,mod_val_label,obs
302,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Cognitive_loadVariable,https://data.cooperationdatabank.org/vocab/prop/cognitiveLoadTreatment,Cognitive load treatment,True,na,False,na,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/CHN,CHN,1
303,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Cognitive_loadVariable,https://data.cooperationdatabank.org/vocab/prop/cognitiveLoadTreatment,Cognitive load treatment,True,na,False,na,https://data.cooperationdatabank.org/vocab/prop/countrySource,Source of country or region,https://data.cooperationdatabank.org/id/countrysource/1,Specified country,1
304,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Cognitive_loadVariable,https://data.cooperationdatabank.org/vocab/prop/cognitiveLoadTreatment,Cognitive load treatment,True,na,False,na,https://data.cooperationdatabank.org/vocab/prop/deception,Deception,false,na,1
305,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Cognitive_loadVariable,https://data.cooperationdatabank.org/vocab/prop/cognitiveLoadTreatment,Cognitive load treatment,True,na,False,na,https://data.cooperationdatabank.org/vocab/prop/discussion,Discussion,https://data.cooperationdatabank.org/id/discussion/0,Absent,1
306,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Cognitive_loadVariable,https://data.cooperationdatabank.org/vocab/prop/cognitiveLoadTreatment,Cognitive load treatment,True,na,False,na,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,Published,https://data.cooperationdatabank.org/id/publicationstatus/5,Masterâs thesis,1
307,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Cognitive_loadVariable,https://data.cooperationdatabank.org/vocab/prop/cognitiveLoadTreatment,Cognitive load treatment,True,na,False,na,https://data.cooperationdatabank.org/vocab/prop/sanction,Sanction,false,na,1
308,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Cognitive_loadVariable,https://data.cooperationdatabank.org/vocab/prop/cognitiveLoadTreatment,Cognitive load treatment,True,na,False,na,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,Acquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,Strangers,1
309,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Cognitive_loadVariable,https://data.cooperationdatabank.org/vocab/prop/cognitiveLoadTreatment,Cognitive load treatment,True,na,False,na,https://data.cooperationdatabank.org/vocab/prop/studyContinuousPGG,Continuous vs step-level public goods,https://data.cooperationdatabank.org/id/studycontinuouspgg/1,Continuous,1
310,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Cognitive_loadVariable,https://data.cooperationdatabank.org/vocab/prop/cognitiveLoadTreatment,Cognitive load treatment,True,na,False,na,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,Game type,https://data.cooperationdatabank.org/id/studydilemmatype/2,Public Goods Game,1
311,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Cognitive_loadVariable,https://data.cooperationdatabank.org/vocab/prop/cognitiveLoadTreatment,Cognitive load treatment,True,na,False,na,https://data.cooperationdatabank.org/vocab/prop/studyExperimentalSetting,Experimental setting,https://data.cooperationdatabank.org/id/studyexperimentalsetting/2,Lab,1
312,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Cognitive_loadVariable,https://data.cooperationdatabank.org/vocab/prop/cognitiveLoadTreatment,Cognitive load treatment,True,na,False,na,https://data.cooperationdatabank.org/vocab/prop/studyGameIncentive,Game incentive,https://data.cooperationdatabank.org/id/studygameincentive/3,Non-monetary,1
