,dependent,giv_prop,iv,iv_label,cat_t1,cat_t1_label,cat_t2,cat_t2_label,mod,mod_label,mod_val,mod_val_label,obs
561,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/CriticalityVariable,https://data.cooperationdatabank.org/vocab/prop/criticalityLevel,Criticality level,https://data.cooperationdatabank.org/id/criticalitylevel/low,Low,https://data.cooperationdatabank.org/id/criticalitylevel/high,High,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/GBR,GBR,2
562,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/CriticalityVariable,https://data.cooperationdatabank.org/vocab/prop/criticalityLevel,Criticality level,https://data.cooperationdatabank.org/id/criticalitylevel/low,Low,https://data.cooperationdatabank.org/id/criticalitylevel/high,High,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/NLD,NLD,2
563,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/CriticalityVariable,https://data.cooperationdatabank.org/vocab/prop/criticalityLevel,Criticality level,https://data.cooperationdatabank.org/id/criticalitylevel/low,Low,https://data.cooperationdatabank.org/id/criticalitylevel/high,High,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/USA,USA,2
564,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/CriticalityVariable,https://data.cooperationdatabank.org/vocab/prop/criticalityLevel,Criticality level,https://data.cooperationdatabank.org/id/criticalitylevel/low,Low,https://data.cooperationdatabank.org/id/criticalitylevel/high,High,https://data.cooperationdatabank.org/vocab/prop/countrySource,Source of country or region,https://data.cooperationdatabank.org/id/countrysource/1,Specified country,6
565,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/CriticalityVariable,https://data.cooperationdatabank.org/vocab/prop/criticalityLevel,Criticality level,https://data.cooperationdatabank.org/id/criticalitylevel/low,Low,https://data.cooperationdatabank.org/id/criticalitylevel/high,High,https://data.cooperationdatabank.org/vocab/prop/deception,Deception,false,na,4
566,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/CriticalityVariable,https://data.cooperationdatabank.org/vocab/prop/criticalityLevel,Criticality level,https://data.cooperationdatabank.org/id/criticalitylevel/low,Low,https://data.cooperationdatabank.org/id/criticalitylevel/high,High,https://data.cooperationdatabank.org/vocab/prop/deception,Deception,true,na,2
567,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/CriticalityVariable,https://data.cooperationdatabank.org/vocab/prop/criticalityLevel,Criticality level,https://data.cooperationdatabank.org/id/criticalitylevel/low,Low,https://data.cooperationdatabank.org/id/criticalitylevel/high,High,https://data.cooperationdatabank.org/vocab/prop/discussion,Discussion,https://data.cooperationdatabank.org/id/discussion/0,Absent,6
568,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/CriticalityVariable,https://data.cooperationdatabank.org/vocab/prop/criticalityLevel,Criticality level,https://data.cooperationdatabank.org/id/criticalitylevel/low,Low,https://data.cooperationdatabank.org/id/criticalitylevel/high,High,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,Published,https://data.cooperationdatabank.org/id/publicationstatus/1,Published Article,6
569,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/CriticalityVariable,https://data.cooperationdatabank.org/vocab/prop/criticalityLevel,Criticality level,https://data.cooperationdatabank.org/id/criticalitylevel/low,Low,https://data.cooperationdatabank.org/id/criticalitylevel/high,High,https://data.cooperationdatabank.org/vocab/prop/recruitmentMethod,Recruitment method,https://data.cooperationdatabank.org/id/recruitmentmethod/3,Other,2
570,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/CriticalityVariable,https://data.cooperationdatabank.org/vocab/prop/criticalityLevel,Criticality level,https://data.cooperationdatabank.org/id/criticalitylevel/low,Low,https://data.cooperationdatabank.org/id/criticalitylevel/high,High,https://data.cooperationdatabank.org/vocab/prop/sanction,Sanction,false,na,6
571,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/CriticalityVariable,https://data.cooperationdatabank.org/vocab/prop/criticalityLevel,Criticality level,https://data.cooperationdatabank.org/id/criticalitylevel/low,Low,https://data.cooperationdatabank.org/id/criticalitylevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,Acquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,Strangers,6
572,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/CriticalityVariable,https://data.cooperationdatabank.org/vocab/prop/criticalityLevel,Criticality level,https://data.cooperationdatabank.org/id/criticalitylevel/low,Low,https://data.cooperationdatabank.org/id/criticalitylevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyContinuousPGG,Continuous vs step-level public goods,https://data.cooperationdatabank.org/id/studycontinuouspgg/2,Step-level,6
573,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/CriticalityVariable,https://data.cooperationdatabank.org/vocab/prop/criticalityLevel,Criticality level,https://data.cooperationdatabank.org/id/criticalitylevel/low,Low,https://data.cooperationdatabank.org/id/criticalitylevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,Game type,https://data.cooperationdatabank.org/id/studydilemmatype/2,Public Goods Game,6
574,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/CriticalityVariable,https://data.cooperationdatabank.org/vocab/prop/criticalityLevel,Criticality level,https://data.cooperationdatabank.org/id/criticalitylevel/low,Low,https://data.cooperationdatabank.org/id/criticalitylevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyExperimentalSetting,Experimental setting,https://data.cooperationdatabank.org/id/studyexperimentalsetting/2,Lab,5
575,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/CriticalityVariable,https://data.cooperationdatabank.org/vocab/prop/criticalityLevel,Criticality level,https://data.cooperationdatabank.org/id/criticalitylevel/low,Low,https://data.cooperationdatabank.org/id/criticalitylevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyExperimentalSetting,Experimental setting,https://data.cooperationdatabank.org/id/studyexperimentalsetting/3,Class,1
576,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/CriticalityVariable,https://data.cooperationdatabank.org/vocab/prop/criticalityLevel,Criticality level,https://data.cooperationdatabank.org/id/criticalitylevel/low,Low,https://data.cooperationdatabank.org/id/criticalitylevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyGameIncentive,Game incentive,https://data.cooperationdatabank.org/id/studygameincentive/1,Monetary,6
577,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/CriticalityVariable,https://data.cooperationdatabank.org/vocab/prop/criticalityLevel,Criticality level,https://data.cooperationdatabank.org/id/criticalitylevel/low,Low,https://data.cooperationdatabank.org/id/criticalitylevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyKnownEndgame,Known endgame,true,na,6
578,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/CriticalityVariable,https://data.cooperationdatabank.org/vocab/prop/criticalityLevel,Criticality level,https://data.cooperationdatabank.org/id/criticalitylevel/low,Low,https://data.cooperationdatabank.org/id/criticalitylevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyMatchingProtocol,Matching,https://data.cooperationdatabank.org/id/studymatchingprotocol/1,Stranger,6
579,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/CriticalityVariable,https://data.cooperationdatabank.org/vocab/prop/criticalityLevel,Criticality level,https://data.cooperationdatabank.org/id/criticalitylevel/low,Low,https://data.cooperationdatabank.org/id/criticalitylevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyOneShot,One-shot vs repeated,https://data.cooperationdatabank.org/id/studyoneshot/1,One-shot,6
580,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/CriticalityVariable,https://data.cooperationdatabank.org/vocab/prop/criticalityLevel,Criticality level,https://data.cooperationdatabank.org/id/criticalitylevel/low,Low,https://data.cooperationdatabank.org/id/criticalitylevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyOneShotRepeated,Repeated one-shot game,false,na,6
581,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/CriticalityVariable,https://data.cooperationdatabank.org/vocab/prop/criticalityLevel,Criticality level,https://data.cooperationdatabank.org/id/criticalitylevel/low,Low,https://data.cooperationdatabank.org/id/criticalitylevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyRealPartner,Real partner,https://data.cooperationdatabank.org/id/studyrealpartner/0,Hypothetical,1
582,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/CriticalityVariable,https://data.cooperationdatabank.org/vocab/prop/criticalityLevel,Criticality level,https://data.cooperationdatabank.org/id/criticalitylevel/low,Low,https://data.cooperationdatabank.org/id/criticalitylevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyRealPartner,Real partner,https://data.cooperationdatabank.org/id/studyrealpartner/1,Real,3
583,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/CriticalityVariable,https://data.cooperationdatabank.org/vocab/prop/criticalityLevel,Criticality level,https://data.cooperationdatabank.org/id/criticalitylevel/low,Low,https://data.cooperationdatabank.org/id/criticalitylevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyRealPartner,Real partner,https://data.cooperationdatabank.org/id/studyrealpartner/2,Deception,2
584,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/CriticalityVariable,https://data.cooperationdatabank.org/vocab/prop/criticalityLevel,Criticality level,https://data.cooperationdatabank.org/id/criticalitylevel/low,Low,https://data.cooperationdatabank.org/id/criticalitylevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyShowUpFee,Show-up fee,https://data.cooperationdatabank.org/id/studyshowupfee/1,Paid,2
585,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/CriticalityVariable,https://data.cooperationdatabank.org/vocab/prop/criticalityLevel,Criticality level,https://data.cooperationdatabank.org/id/criticalitylevel/low,Low,https://data.cooperationdatabank.org/id/criticalitylevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyStudentSample,Student sample,true,na,6
586,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/CriticalityVariable,https://data.cooperationdatabank.org/vocab/prop/criticalityLevel,Criticality level,https://data.cooperationdatabank.org/id/criticalitylevel/low,Low,https://data.cooperationdatabank.org/id/criticalitylevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studySymmetric,Symmetry,false,na,1
587,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/CriticalityVariable,https://data.cooperationdatabank.org/vocab/prop/criticalityLevel,Criticality level,https://data.cooperationdatabank.org/id/criticalitylevel/low,Low,https://data.cooperationdatabank.org/id/criticalitylevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studySymmetric,Symmetry,true,na,5
588,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/CriticalityVariable,https://data.cooperationdatabank.org/vocab/prop/criticalityLevel,Criticality level,https://data.cooperationdatabank.org/id/criticalitylevel/low,Low,https://data.cooperationdatabank.org/id/criticalitylevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyTrialOfCooperation,Trial of cooperation,https://data.cooperationdatabank.org/id/studytrialofcooperation/1,All trials,6
589,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/CriticalityVariable,https://data.cooperationdatabank.org/vocab/prop/criticalityLevel,Criticality level,https://data.cooperationdatabank.org/id/criticalitylevel/low,Low,https://data.cooperationdatabank.org/id/criticalitylevel/high,High,https://data.cooperationdatabank.org/vocab/prop/yearSource,Source of year of data collection,https://data.cooperationdatabank.org/id/yearsource/4,Received/Submitted,4
590,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/CriticalityVariable,https://data.cooperationdatabank.org/vocab/prop/criticalityLevel,Criticality level,https://data.cooperationdatabank.org/id/criticalitylevel/low,Low,https://data.cooperationdatabank.org/id/criticalitylevel/high,High,https://data.cooperationdatabank.org/vocab/prop/yearSource,Source of year of data collection,https://data.cooperationdatabank.org/id/yearsource/5,Published,2
