,dependent,giv_prop,iv,iv_label,cat_t1,cat_t1_label,cat_t2,cat_t2_label,mod,mod_label,mod_val,mod_val_label,obs
1210,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ExpectationsVariable,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,Expectations level,https://data.cooperationdatabank.org/id/expectationslevel/low,Low,https://data.cooperationdatabank.org/id/expectationslevel/high,High,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/DEU,DEU,1
1211,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ExpectationsVariable,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,Expectations level,https://data.cooperationdatabank.org/id/expectationslevel/low,Low,https://data.cooperationdatabank.org/id/expectationslevel/high,High,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/JPN,JPN,1
1212,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ExpectationsVariable,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,Expectations level,https://data.cooperationdatabank.org/id/expectationslevel/low,Low,https://data.cooperationdatabank.org/id/expectationslevel/high,High,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/NLD,NLD,1
1213,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ExpectationsVariable,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,Expectations level,https://data.cooperationdatabank.org/id/expectationslevel/low,Low,https://data.cooperationdatabank.org/id/expectationslevel/high,High,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/USA,USA,2
1214,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ExpectationsVariable,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,Expectations level,https://data.cooperationdatabank.org/id/expectationslevel/low,Low,https://data.cooperationdatabank.org/id/expectationslevel/high,High,https://data.cooperationdatabank.org/vocab/prop/countrySource,Source of country or region,https://data.cooperationdatabank.org/id/countrysource/1,Specified country,4
1215,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ExpectationsVariable,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,Expectations level,https://data.cooperationdatabank.org/id/expectationslevel/low,Low,https://data.cooperationdatabank.org/id/expectationslevel/high,High,https://data.cooperationdatabank.org/vocab/prop/countrySource,Source of country or region,https://data.cooperationdatabank.org/id/countrysource/3,All authors,1
1216,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ExpectationsVariable,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,Expectations level,https://data.cooperationdatabank.org/id/expectationslevel/low,Low,https://data.cooperationdatabank.org/id/expectationslevel/high,High,https://data.cooperationdatabank.org/vocab/prop/deception,Deception,false,false,3
1217,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ExpectationsVariable,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,Expectations level,https://data.cooperationdatabank.org/id/expectationslevel/low,Low,https://data.cooperationdatabank.org/id/expectationslevel/high,High,https://data.cooperationdatabank.org/vocab/prop/deception,Deception,true,true,2
1218,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ExpectationsVariable,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,Expectations level,https://data.cooperationdatabank.org/id/expectationslevel/low,Low,https://data.cooperationdatabank.org/id/expectationslevel/high,High,https://data.cooperationdatabank.org/vocab/prop/discussion,Discussion,https://data.cooperationdatabank.org/id/discussion/0,Absent,5
1219,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ExpectationsVariable,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,Expectations level,https://data.cooperationdatabank.org/id/expectationslevel/low,Low,https://data.cooperationdatabank.org/id/expectationslevel/high,High,https://data.cooperationdatabank.org/vocab/prop/discussion,Discussion,https://data.cooperationdatabank.org/id/discussion/1,Uni-directional,1
1220,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ExpectationsVariable,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,Expectations level,https://data.cooperationdatabank.org/id/expectationslevel/low,Low,https://data.cooperationdatabank.org/id/expectationslevel/high,High,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,Published,https://data.cooperationdatabank.org/id/publicationstatus/1,Published Article,5
1221,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ExpectationsVariable,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,Expectations level,https://data.cooperationdatabank.org/id/expectationslevel/low,Low,https://data.cooperationdatabank.org/id/expectationslevel/high,High,https://data.cooperationdatabank.org/vocab/prop/recruitmentMethod,Recruitment method,https://data.cooperationdatabank.org/id/recruitmentmethod/1,Participant pool,1
1222,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ExpectationsVariable,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,Expectations level,https://data.cooperationdatabank.org/id/expectationslevel/low,Low,https://data.cooperationdatabank.org/id/expectationslevel/high,High,https://data.cooperationdatabank.org/vocab/prop/recruitmentMethod,Recruitment method,https://data.cooperationdatabank.org/id/recruitmentmethod/2,MTurk,2
1223,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ExpectationsVariable,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,Expectations level,https://data.cooperationdatabank.org/id/expectationslevel/low,Low,https://data.cooperationdatabank.org/id/expectationslevel/high,High,https://data.cooperationdatabank.org/vocab/prop/sanction,Sanction,false,false,5
1224,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ExpectationsVariable,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,Expectations level,https://data.cooperationdatabank.org/id/expectationslevel/low,Low,https://data.cooperationdatabank.org/id/expectationslevel/high,High,https://data.cooperationdatabank.org/vocab/prop/sanction,Sanction,true,true,1
1225,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ExpectationsVariable,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,Expectations level,https://data.cooperationdatabank.org/id/expectationslevel/low,Low,https://data.cooperationdatabank.org/id/expectationslevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyAcademicDiscipline,Academic discipline,https://data.cooperationdatabank.org/id/studyacademicdiscipline/2,Psychology,1
1226,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ExpectationsVariable,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,Expectations level,https://data.cooperationdatabank.org/id/expectationslevel/low,Low,https://data.cooperationdatabank.org/id/expectationslevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,Acquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,Strangers,5
1227,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ExpectationsVariable,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,Expectations level,https://data.cooperationdatabank.org/id/expectationslevel/low,Low,https://data.cooperationdatabank.org/id/expectationslevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyContinuousPGG,Continuous vs step-level public goods,https://data.cooperationdatabank.org/id/studycontinuouspgg/1,Continuous,4
1228,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ExpectationsVariable,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,Expectations level,https://data.cooperationdatabank.org/id/expectationslevel/low,Low,https://data.cooperationdatabank.org/id/expectationslevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,Game type,https://data.cooperationdatabank.org/id/studydilemmatype/1,Prisoner's Dilemma Game,1
1229,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ExpectationsVariable,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,Expectations level,https://data.cooperationdatabank.org/id/expectationslevel/low,Low,https://data.cooperationdatabank.org/id/expectationslevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,Game type,https://data.cooperationdatabank.org/id/studydilemmatype/2,Public Goods Game,4
1230,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ExpectationsVariable,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,Expectations level,https://data.cooperationdatabank.org/id/expectationslevel/low,Low,https://data.cooperationdatabank.org/id/expectationslevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyExperimentalSetting,Experimental setting,https://data.cooperationdatabank.org/id/studyexperimentalsetting/1,Online,2
1231,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ExpectationsVariable,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,Expectations level,https://data.cooperationdatabank.org/id/expectationslevel/low,Low,https://data.cooperationdatabank.org/id/expectationslevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyExperimentalSetting,Experimental setting,https://data.cooperationdatabank.org/id/studyexperimentalsetting/2,Lab,3
1232,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ExpectationsVariable,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,Expectations level,https://data.cooperationdatabank.org/id/expectationslevel/low,Low,https://data.cooperationdatabank.org/id/expectationslevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyGameIncentive,Game incentive,https://data.cooperationdatabank.org/id/studygameincentive/0,Hypothetical,3
1233,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ExpectationsVariable,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,Expectations level,https://data.cooperationdatabank.org/id/expectationslevel/low,Low,https://data.cooperationdatabank.org/id/expectationslevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyGameIncentive,Game incentive,https://data.cooperationdatabank.org/id/studygameincentive/1,Monetary,1
1234,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ExpectationsVariable,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,Expectations level,https://data.cooperationdatabank.org/id/expectationslevel/low,Low,https://data.cooperationdatabank.org/id/expectationslevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyGameIncentive,Game incentive,https://data.cooperationdatabank.org/id/studygameincentive/2,Monetary lottery,1
1235,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ExpectationsVariable,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,Expectations level,https://data.cooperationdatabank.org/id/expectationslevel/low,Low,https://data.cooperationdatabank.org/id/expectationslevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyKnownEndgame,Known endgame,true,true,4
1236,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ExpectationsVariable,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,Expectations level,https://data.cooperationdatabank.org/id/expectationslevel/low,Low,https://data.cooperationdatabank.org/id/expectationslevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyMatchingProtocol,Matching,https://data.cooperationdatabank.org/id/studymatchingprotocol/1,Stranger,4
1237,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ExpectationsVariable,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,Expectations level,https://data.cooperationdatabank.org/id/expectationslevel/low,Low,https://data.cooperationdatabank.org/id/expectationslevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyMatchingProtocol,Matching,https://data.cooperationdatabank.org/id/studymatchingprotocol/2,Partner,1
1238,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ExpectationsVariable,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,Expectations level,https://data.cooperationdatabank.org/id/expectationslevel/low,Low,https://data.cooperationdatabank.org/id/expectationslevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyOneShot,One-shot vs repeated,https://data.cooperationdatabank.org/id/studyoneshot/0,Repeated,1
