,dependent,giv_prop,iv,iv_label,cat_t1,cat_t1_label,cat_t2,cat_t2_label,mod,mod_label,mod_val,mod_val_label,obs
1252,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Experimental_SettingVariable,https://data.cooperationdatabank.org/vocab/prop/experimentalSetting,Experimental setting,https://data.cooperationdatabank.org/id/experimentalsetting/lab_in_the_field,Lab in the field,https://data.cooperationdatabank.org/id/experimentalsetting/field,Field,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/NLD,NLD,1
1253,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Experimental_SettingVariable,https://data.cooperationdatabank.org/vocab/prop/experimentalSetting,Experimental setting,https://data.cooperationdatabank.org/id/experimentalsetting/lab_in_the_field,Lab in the field,https://data.cooperationdatabank.org/id/experimentalsetting/field,Field,https://data.cooperationdatabank.org/vocab/prop/countrySource,Source of country or region,https://data.cooperationdatabank.org/id/countrysource/1,Specified country,1
1254,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Experimental_SettingVariable,https://data.cooperationdatabank.org/vocab/prop/experimentalSetting,Experimental setting,https://data.cooperationdatabank.org/id/experimentalsetting/lab_in_the_field,Lab in the field,https://data.cooperationdatabank.org/id/experimentalsetting/field,Field,https://data.cooperationdatabank.org/vocab/prop/deception,Deception,false,false,1
1255,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Experimental_SettingVariable,https://data.cooperationdatabank.org/vocab/prop/experimentalSetting,Experimental setting,https://data.cooperationdatabank.org/id/experimentalsetting/lab_in_the_field,Lab in the field,https://data.cooperationdatabank.org/id/experimentalsetting/field,Field,https://data.cooperationdatabank.org/vocab/prop/discussion,Discussion,https://data.cooperationdatabank.org/id/discussion/0,Absent,1
1256,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Experimental_SettingVariable,https://data.cooperationdatabank.org/vocab/prop/experimentalSetting,Experimental setting,https://data.cooperationdatabank.org/id/experimentalsetting/lab_in_the_field,Lab in the field,https://data.cooperationdatabank.org/id/experimentalsetting/field,Field,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,Published,https://data.cooperationdatabank.org/id/publicationstatus/1,Published Article,1
1257,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Experimental_SettingVariable,https://data.cooperationdatabank.org/vocab/prop/experimentalSetting,Experimental setting,https://data.cooperationdatabank.org/id/experimentalsetting/lab_in_the_field,Lab in the field,https://data.cooperationdatabank.org/id/experimentalsetting/field,Field,https://data.cooperationdatabank.org/vocab/prop/recruitmentMethod,Recruitment method,https://data.cooperationdatabank.org/id/recruitmentmethod/1,Participant pool,1
1258,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Experimental_SettingVariable,https://data.cooperationdatabank.org/vocab/prop/experimentalSetting,Experimental setting,https://data.cooperationdatabank.org/id/experimentalsetting/lab_in_the_field,Lab in the field,https://data.cooperationdatabank.org/id/experimentalsetting/field,Field,https://data.cooperationdatabank.org/vocab/prop/recruitmentMethod,Recruitment method,https://data.cooperationdatabank.org/id/recruitmentmethod/3,Other,1
1259,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Experimental_SettingVariable,https://data.cooperationdatabank.org/vocab/prop/experimentalSetting,Experimental setting,https://data.cooperationdatabank.org/id/experimentalsetting/lab_in_the_field,Lab in the field,https://data.cooperationdatabank.org/id/experimentalsetting/field,Field,https://data.cooperationdatabank.org/vocab/prop/sanction,Sanction,false,false,1
1260,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Experimental_SettingVariable,https://data.cooperationdatabank.org/vocab/prop/experimentalSetting,Experimental setting,https://data.cooperationdatabank.org/id/experimentalsetting/lab_in_the_field,Lab in the field,https://data.cooperationdatabank.org/id/experimentalsetting/field,Field,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,Acquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,Strangers,1
1261,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Experimental_SettingVariable,https://data.cooperationdatabank.org/vocab/prop/experimentalSetting,Experimental setting,https://data.cooperationdatabank.org/id/experimentalsetting/lab_in_the_field,Lab in the field,https://data.cooperationdatabank.org/id/experimentalsetting/field,Field,https://data.cooperationdatabank.org/vocab/prop/studyContinuousPGG,Continuous vs step-level public goods,https://data.cooperationdatabank.org/id/studycontinuouspgg/1,Continuous,1
1262,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Experimental_SettingVariable,https://data.cooperationdatabank.org/vocab/prop/experimentalSetting,Experimental setting,https://data.cooperationdatabank.org/id/experimentalsetting/lab_in_the_field,Lab in the field,https://data.cooperationdatabank.org/id/experimentalsetting/field,Field,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,Game type,https://data.cooperationdatabank.org/id/studydilemmatype/2,Public Goods Game,1
1263,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Experimental_SettingVariable,https://data.cooperationdatabank.org/vocab/prop/experimentalSetting,Experimental setting,https://data.cooperationdatabank.org/id/experimentalsetting/lab_in_the_field,Lab in the field,https://data.cooperationdatabank.org/id/experimentalsetting/field,Field,https://data.cooperationdatabank.org/vocab/prop/studyExperimentalSetting,Experimental setting,https://data.cooperationdatabank.org/id/studyexperimentalsetting/2,Lab,1
1264,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Experimental_SettingVariable,https://data.cooperationdatabank.org/vocab/prop/experimentalSetting,Experimental setting,https://data.cooperationdatabank.org/id/experimentalsetting/lab_in_the_field,Lab in the field,https://data.cooperationdatabank.org/id/experimentalsetting/field,Field,https://data.cooperationdatabank.org/vocab/prop/studyGameIncentive,Game incentive,https://data.cooperationdatabank.org/id/studygameincentive/1,Monetary,1
1265,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Experimental_SettingVariable,https://data.cooperationdatabank.org/vocab/prop/experimentalSetting,Experimental setting,https://data.cooperationdatabank.org/id/experimentalsetting/lab_in_the_field,Lab in the field,https://data.cooperationdatabank.org/id/experimentalsetting/field,Field,https://data.cooperationdatabank.org/vocab/prop/studyMatchingProtocol,Matching,https://data.cooperationdatabank.org/id/studymatchingprotocol/2,Partner,1
1266,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Experimental_SettingVariable,https://data.cooperationdatabank.org/vocab/prop/experimentalSetting,Experimental setting,https://data.cooperationdatabank.org/id/experimentalsetting/lab_in_the_field,Lab in the field,https://data.cooperationdatabank.org/id/experimentalsetting/field,Field,https://data.cooperationdatabank.org/vocab/prop/studyOneShot,One-shot vs repeated,https://data.cooperationdatabank.org/id/studyoneshot/0,Repeated,1
1267,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Experimental_SettingVariable,https://data.cooperationdatabank.org/vocab/prop/experimentalSetting,Experimental setting,https://data.cooperationdatabank.org/id/experimentalsetting/lab_in_the_field,Lab in the field,https://data.cooperationdatabank.org/id/experimentalsetting/field,Field,https://data.cooperationdatabank.org/vocab/prop/studyRealPartner,Real partner,https://data.cooperationdatabank.org/id/studyrealpartner/1,Real,1
1268,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Experimental_SettingVariable,https://data.cooperationdatabank.org/vocab/prop/experimentalSetting,Experimental setting,https://data.cooperationdatabank.org/id/experimentalsetting/lab_in_the_field,Lab in the field,https://data.cooperationdatabank.org/id/experimentalsetting/field,Field,https://data.cooperationdatabank.org/vocab/prop/studyStudentSample,Student sample,false,false,1
1269,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Experimental_SettingVariable,https://data.cooperationdatabank.org/vocab/prop/experimentalSetting,Experimental setting,https://data.cooperationdatabank.org/id/experimentalsetting/lab_in_the_field,Lab in the field,https://data.cooperationdatabank.org/id/experimentalsetting/field,Field,https://data.cooperationdatabank.org/vocab/prop/studyStudentSample,Student sample,true,true,1
1270,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Experimental_SettingVariable,https://data.cooperationdatabank.org/vocab/prop/experimentalSetting,Experimental setting,https://data.cooperationdatabank.org/id/experimentalsetting/lab_in_the_field,Lab in the field,https://data.cooperationdatabank.org/id/experimentalsetting/field,Field,https://data.cooperationdatabank.org/vocab/prop/studySymmetric,Symmetry,true,true,1
