,dependent,giv_prop,iv,iv_label,cat_t1,cat_t1_label,cat_t2,cat_t2_label,mod,mod_label,mod_val,mod_val_label,obs
1649,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/FramingVariable,https://data.cooperationdatabank.org/vocab/prop/contextFrame,Context frame,https://data.cooperationdatabank.org/id/contextframe/competitive,Competitive,https://data.cooperationdatabank.org/id/contextframe/generic,Generic,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/USA,USA,4
1650,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/FramingVariable,https://data.cooperationdatabank.org/vocab/prop/contextFrame,Context frame,https://data.cooperationdatabank.org/id/contextframe/competitive,Competitive,https://data.cooperationdatabank.org/id/contextframe/generic,Generic,https://data.cooperationdatabank.org/vocab/prop/countrySource,Source of country or region,https://data.cooperationdatabank.org/id/countrysource/1,Specified country,4
1651,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/FramingVariable,https://data.cooperationdatabank.org/vocab/prop/contextFrame,Context frame,https://data.cooperationdatabank.org/id/contextframe/competitive,Competitive,https://data.cooperationdatabank.org/id/contextframe/generic,Generic,https://data.cooperationdatabank.org/vocab/prop/deception,Deception,false,false,4
1652,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/FramingVariable,https://data.cooperationdatabank.org/vocab/prop/contextFrame,Context frame,https://data.cooperationdatabank.org/id/contextframe/competitive,Competitive,https://data.cooperationdatabank.org/id/contextframe/generic,Generic,https://data.cooperationdatabank.org/vocab/prop/discussion,Discussion,https://data.cooperationdatabank.org/id/discussion/0,Absent,4
1653,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/FramingVariable,https://data.cooperationdatabank.org/vocab/prop/contextFrame,Context frame,https://data.cooperationdatabank.org/id/contextframe/competitive,Competitive,https://data.cooperationdatabank.org/id/contextframe/generic,Generic,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,Published,https://data.cooperationdatabank.org/id/publicationstatus/1,Published Article,2
1654,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/FramingVariable,https://data.cooperationdatabank.org/vocab/prop/contextFrame,Context frame,https://data.cooperationdatabank.org/id/contextframe/competitive,Competitive,https://data.cooperationdatabank.org/id/contextframe/generic,Generic,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,Published,https://data.cooperationdatabank.org/id/publicationstatus/3,Doctoral Dissertation,2
1655,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/FramingVariable,https://data.cooperationdatabank.org/vocab/prop/contextFrame,Context frame,https://data.cooperationdatabank.org/id/contextframe/competitive,Competitive,https://data.cooperationdatabank.org/id/contextframe/generic,Generic,https://data.cooperationdatabank.org/vocab/prop/recruitmentMethod,Recruitment method,https://data.cooperationdatabank.org/id/recruitmentmethod/1,Participant pool,1
1656,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/FramingVariable,https://data.cooperationdatabank.org/vocab/prop/contextFrame,Context frame,https://data.cooperationdatabank.org/id/contextframe/competitive,Competitive,https://data.cooperationdatabank.org/id/contextframe/generic,Generic,https://data.cooperationdatabank.org/vocab/prop/recruitmentMethod,Recruitment method,https://data.cooperationdatabank.org/id/recruitmentmethod/2,MTurk,2
1657,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/FramingVariable,https://data.cooperationdatabank.org/vocab/prop/contextFrame,Context frame,https://data.cooperationdatabank.org/id/contextframe/competitive,Competitive,https://data.cooperationdatabank.org/id/contextframe/generic,Generic,https://data.cooperationdatabank.org/vocab/prop/recruitmentMethod,Recruitment method,https://data.cooperationdatabank.org/id/recruitmentmethod/3,Other,1
1658,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/FramingVariable,https://data.cooperationdatabank.org/vocab/prop/contextFrame,Context frame,https://data.cooperationdatabank.org/id/contextframe/competitive,Competitive,https://data.cooperationdatabank.org/id/contextframe/generic,Generic,https://data.cooperationdatabank.org/vocab/prop/sanction,Sanction,false,false,4
