,dependent,giv_prop,iv,iv_label,cat_t1,cat_t1_label,cat_t2,cat_t2_label,mod,mod_label,mod_val,mod_val_label,obs
1956,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Game_DurationVariable,https://data.cooperationdatabank.org/vocab/prop/oneShotVsRepeated,One-shot vs repeated,https://data.cooperationdatabank.org/id/oneshotvsrepeated/repeated,Repeated,https://data.cooperationdatabank.org/id/oneshotvsrepeated/one-shot,One-shot,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/DEU,DEU,2
1957,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Game_DurationVariable,https://data.cooperationdatabank.org/vocab/prop/oneShotVsRepeated,One-shot vs repeated,https://data.cooperationdatabank.org/id/oneshotvsrepeated/repeated,Repeated,https://data.cooperationdatabank.org/id/oneshotvsrepeated/one-shot,One-shot,https://data.cooperationdatabank.org/vocab/prop/countrySource,Source of country or region,https://data.cooperationdatabank.org/id/countrysource/1,Specified country,2
1958,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Game_DurationVariable,https://data.cooperationdatabank.org/vocab/prop/oneShotVsRepeated,One-shot vs repeated,https://data.cooperationdatabank.org/id/oneshotvsrepeated/repeated,Repeated,https://data.cooperationdatabank.org/id/oneshotvsrepeated/one-shot,One-shot,https://data.cooperationdatabank.org/vocab/prop/deception,Deception,false,false,2
1959,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Game_DurationVariable,https://data.cooperationdatabank.org/vocab/prop/oneShotVsRepeated,One-shot vs repeated,https://data.cooperationdatabank.org/id/oneshotvsrepeated/repeated,Repeated,https://data.cooperationdatabank.org/id/oneshotvsrepeated/one-shot,One-shot,https://data.cooperationdatabank.org/vocab/prop/discussion,Discussion,https://data.cooperationdatabank.org/id/discussion/0,Absent,2
1960,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Game_DurationVariable,https://data.cooperationdatabank.org/vocab/prop/oneShotVsRepeated,One-shot vs repeated,https://data.cooperationdatabank.org/id/oneshotvsrepeated/repeated,Repeated,https://data.cooperationdatabank.org/id/oneshotvsrepeated/one-shot,One-shot,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,Published,https://data.cooperationdatabank.org/id/publicationstatus/1,Published Article,2
1961,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Game_DurationVariable,https://data.cooperationdatabank.org/vocab/prop/oneShotVsRepeated,One-shot vs repeated,https://data.cooperationdatabank.org/id/oneshotvsrepeated/repeated,Repeated,https://data.cooperationdatabank.org/id/oneshotvsrepeated/one-shot,One-shot,https://data.cooperationdatabank.org/vocab/prop/recruitmentMethod,Recruitment method,https://data.cooperationdatabank.org/id/recruitmentmethod/3,Other,2
1962,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Game_DurationVariable,https://data.cooperationdatabank.org/vocab/prop/oneShotVsRepeated,One-shot vs repeated,https://data.cooperationdatabank.org/id/oneshotvsrepeated/repeated,Repeated,https://data.cooperationdatabank.org/id/oneshotvsrepeated/one-shot,One-shot,https://data.cooperationdatabank.org/vocab/prop/sanction,Sanction,false,false,2
1963,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Game_DurationVariable,https://data.cooperationdatabank.org/vocab/prop/oneShotVsRepeated,One-shot vs repeated,https://data.cooperationdatabank.org/id/oneshotvsrepeated/repeated,Repeated,https://data.cooperationdatabank.org/id/oneshotvsrepeated/one-shot,One-shot,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,Acquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,Strangers,2
1964,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Game_DurationVariable,https://data.cooperationdatabank.org/vocab/prop/oneShotVsRepeated,One-shot vs repeated,https://data.cooperationdatabank.org/id/oneshotvsrepeated/repeated,Repeated,https://data.cooperationdatabank.org/id/oneshotvsrepeated/one-shot,One-shot,https://data.cooperationdatabank.org/vocab/prop/studyContinuousPGG,Continuous vs step-level public goods,https://data.cooperationdatabank.org/id/studycontinuouspgg/1,Continuous,2
1965,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Game_DurationVariable,https://data.cooperationdatabank.org/vocab/prop/oneShotVsRepeated,One-shot vs repeated,https://data.cooperationdatabank.org/id/oneshotvsrepeated/repeated,Repeated,https://data.cooperationdatabank.org/id/oneshotvsrepeated/one-shot,One-shot,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,Game type,https://data.cooperationdatabank.org/id/studydilemmatype/2,Public Goods Game,2
