,dependent,giv_prop,iv,iv_label,cat_t1,cat_t1_label,cat_t2,cat_t2_label,mod,mod_label,mod_val,mod_val_label,obs
1976,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Game_TypeVariable,https://data.cooperationdatabank.org/vocab/prop/gameType,Game type,https://data.cooperationdatabank.org/id/gametype/continuous_public_goods_game,Continuous Public Goods Game,https://data.cooperationdatabank.org/id/gametype/other_game,Other Game,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/USA,USA,1
1977,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Game_TypeVariable,https://data.cooperationdatabank.org/vocab/prop/gameType,Game type,https://data.cooperationdatabank.org/id/gametype/continuous_public_goods_game,Continuous Public Goods Game,https://data.cooperationdatabank.org/id/gametype/other_game,Other Game,https://data.cooperationdatabank.org/vocab/prop/countrySource,Source of country or region,https://data.cooperationdatabank.org/id/countrysource/1,Specified country,1
1978,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Game_TypeVariable,https://data.cooperationdatabank.org/vocab/prop/gameType,Game type,https://data.cooperationdatabank.org/id/gametype/continuous_public_goods_game,Continuous Public Goods Game,https://data.cooperationdatabank.org/id/gametype/other_game,Other Game,https://data.cooperationdatabank.org/vocab/prop/deception,Deception,false,na,1
1979,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Game_TypeVariable,https://data.cooperationdatabank.org/vocab/prop/gameType,Game type,https://data.cooperationdatabank.org/id/gametype/continuous_public_goods_game,Continuous Public Goods Game,https://data.cooperationdatabank.org/id/gametype/other_game,Other Game,https://data.cooperationdatabank.org/vocab/prop/discussion,Discussion,https://data.cooperationdatabank.org/id/discussion/0,Absent,1
1980,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Game_TypeVariable,https://data.cooperationdatabank.org/vocab/prop/gameType,Game type,https://data.cooperationdatabank.org/id/gametype/continuous_public_goods_game,Continuous Public Goods Game,https://data.cooperationdatabank.org/id/gametype/other_game,Other Game,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,Published,https://data.cooperationdatabank.org/id/publicationstatus/1,Published Article,1
1981,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Game_TypeVariable,https://data.cooperationdatabank.org/vocab/prop/gameType,Game type,https://data.cooperationdatabank.org/id/gametype/continuous_public_goods_game,Continuous Public Goods Game,https://data.cooperationdatabank.org/id/gametype/other_game,Other Game,https://data.cooperationdatabank.org/vocab/prop/recruitmentMethod,Recruitment method,https://data.cooperationdatabank.org/id/recruitmentmethod/3,Other,1
1982,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Game_TypeVariable,https://data.cooperationdatabank.org/vocab/prop/gameType,Game type,https://data.cooperationdatabank.org/id/gametype/continuous_public_goods_game,Continuous Public Goods Game,https://data.cooperationdatabank.org/id/gametype/other_game,Other Game,https://data.cooperationdatabank.org/vocab/prop/sanction,Sanction,false,na,1
1983,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Game_TypeVariable,https://data.cooperationdatabank.org/vocab/prop/gameType,Game type,https://data.cooperationdatabank.org/id/gametype/continuous_public_goods_game,Continuous Public Goods Game,https://data.cooperationdatabank.org/id/gametype/other_game,Other Game,https://data.cooperationdatabank.org/vocab/prop/sanction,Sanction,true,na,1
1984,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Game_TypeVariable,https://data.cooperationdatabank.org/vocab/prop/gameType,Game type,https://data.cooperationdatabank.org/id/gametype/continuous_public_goods_game,Continuous Public Goods Game,https://data.cooperationdatabank.org/id/gametype/other_game,Other Game,https://data.cooperationdatabank.org/vocab/prop/studyAcademicDiscipline,Academic discipline,https://data.cooperationdatabank.org/id/studyacademicdiscipline/4,Mixed,1
1985,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Game_TypeVariable,https://data.cooperationdatabank.org/vocab/prop/gameType,Game type,https://data.cooperationdatabank.org/id/gametype/continuous_public_goods_game,Continuous Public Goods Game,https://data.cooperationdatabank.org/id/gametype/other_game,Other Game,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,Acquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,Strangers,1
1986,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Game_TypeVariable,https://data.cooperationdatabank.org/vocab/prop/gameType,Game type,https://data.cooperationdatabank.org/id/gametype/continuous_public_goods_game,Continuous Public Goods Game,https://data.cooperationdatabank.org/id/gametype/other_game,Other Game,https://data.cooperationdatabank.org/vocab/prop/studyContinuousPGG,Continuous vs step-level public goods,https://data.cooperationdatabank.org/id/studycontinuouspgg/1,Continuous,1
1987,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Game_TypeVariable,https://data.cooperationdatabank.org/vocab/prop/gameType,Game type,https://data.cooperationdatabank.org/id/gametype/continuous_public_goods_game,Continuous Public Goods Game,https://data.cooperationdatabank.org/id/gametype/other_game,Other Game,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,Game type,https://data.cooperationdatabank.org/id/studydilemmatype/2,Public Goods Game,1
1988,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Game_TypeVariable,https://data.cooperationdatabank.org/vocab/prop/gameType,Game type,https://data.cooperationdatabank.org/id/gametype/continuous_public_goods_game,Continuous Public Goods Game,https://data.cooperationdatabank.org/id/gametype/other_game,Other Game,https://data.cooperationdatabank.org/vocab/prop/studyExperimentalSetting,Experimental setting,https://data.cooperationdatabank.org/id/studyexperimentalsetting/2,Lab,1
1989,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Game_TypeVariable,https://data.cooperationdatabank.org/vocab/prop/gameType,Game type,https://data.cooperationdatabank.org/id/gametype/continuous_public_goods_game,Continuous Public Goods Game,https://data.cooperationdatabank.org/id/gametype/other_game,Other Game,https://data.cooperationdatabank.org/vocab/prop/studyGameIncentive,Game incentive,https://data.cooperationdatabank.org/id/studygameincentive/1,Monetary,1
1990,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Game_TypeVariable,https://data.cooperationdatabank.org/vocab/prop/gameType,Game type,https://data.cooperationdatabank.org/id/gametype/continuous_public_goods_game,Continuous Public Goods Game,https://data.cooperationdatabank.org/id/gametype/other_game,Other Game,https://data.cooperationdatabank.org/vocab/prop/studyKnownEndgame,Known endgame,true,na,1
