,dependent,giv_prop,iv,iv_label,cat_t1,cat_t1_label,cat_t2,cat_t2_label,mod,mod_label,mod_val,mod_val_label,obs
9401,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/HormonesVariable,https://data.cooperationdatabank.org/vocab/prop/hormoneLevel,Hormone level,https://data.cooperationdatabank.org/id/hormonelevel/low,Low,https://data.cooperationdatabank.org/id/hormonelevel/high,High,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/ESP,ESP,1
9402,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/HormonesVariable,https://data.cooperationdatabank.org/vocab/prop/hormoneLevel,Hormone level,https://data.cooperationdatabank.org/id/hormonelevel/low,Low,https://data.cooperationdatabank.org/id/hormonelevel/high,High,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/GBR,GBR,1
9403,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/HormonesVariable,https://data.cooperationdatabank.org/vocab/prop/hormoneLevel,Hormone level,https://data.cooperationdatabank.org/id/hormonelevel/low,Low,https://data.cooperationdatabank.org/id/hormonelevel/high,High,https://data.cooperationdatabank.org/vocab/prop/countrySource,Source of country or region,https://data.cooperationdatabank.org/id/countrysource/1,Specified country,1
9404,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/HormonesVariable,https://data.cooperationdatabank.org/vocab/prop/hormoneLevel,Hormone level,https://data.cooperationdatabank.org/id/hormonelevel/low,Low,https://data.cooperationdatabank.org/id/hormonelevel/high,High,https://data.cooperationdatabank.org/vocab/prop/discussion,Discussion,https://data.cooperationdatabank.org/id/discussion/0,Absent,1
9405,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/HormonesVariable,https://data.cooperationdatabank.org/vocab/prop/hormoneLevel,Hormone level,https://data.cooperationdatabank.org/id/hormonelevel/low,Low,https://data.cooperationdatabank.org/id/hormonelevel/high,High,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,Published,https://data.cooperationdatabank.org/id/publicationstatus/1,Published Article,1
9406,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/HormonesVariable,https://data.cooperationdatabank.org/vocab/prop/hormoneLevel,Hormone level,https://data.cooperationdatabank.org/id/hormonelevel/low,Low,https://data.cooperationdatabank.org/id/hormonelevel/high,High,https://data.cooperationdatabank.org/vocab/prop/sanction,Sanction,false,na,1
9407,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/HormonesVariable,https://data.cooperationdatabank.org/vocab/prop/hormoneLevel,Hormone level,https://data.cooperationdatabank.org/id/hormonelevel/low,Low,https://data.cooperationdatabank.org/id/hormonelevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,Acquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,Strangers,1
9408,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/HormonesVariable,https://data.cooperationdatabank.org/vocab/prop/hormoneLevel,Hormone level,https://data.cooperationdatabank.org/id/hormonelevel/low,Low,https://data.cooperationdatabank.org/id/hormonelevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,Game type,https://data.cooperationdatabank.org/id/studydilemmatype/1,Prisoner's Dilemma Game,1
9409,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/HormonesVariable,https://data.cooperationdatabank.org/vocab/prop/hormoneLevel,Hormone level,https://data.cooperationdatabank.org/id/hormonelevel/low,Low,https://data.cooperationdatabank.org/id/hormonelevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyExperimentalSetting,Experimental setting,https://data.cooperationdatabank.org/id/studyexperimentalsetting/2,Lab,1
9410,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/HormonesVariable,https://data.cooperationdatabank.org/vocab/prop/hormoneLevel,Hormone level,https://data.cooperationdatabank.org/id/hormonelevel/low,Low,https://data.cooperationdatabank.org/id/hormonelevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyGameIncentive,Game incentive,https://data.cooperationdatabank.org/id/studygameincentive/2,Monetary lottery,1
9411,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/HormonesVariable,https://data.cooperationdatabank.org/vocab/prop/hormoneLevel,Hormone level,https://data.cooperationdatabank.org/id/hormonelevel/low,Low,https://data.cooperationdatabank.org/id/hormonelevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyKnownEndgame,Known endgame,true,na,1
9412,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/HormonesVariable,https://data.cooperationdatabank.org/vocab/prop/hormoneLevel,Hormone level,https://data.cooperationdatabank.org/id/hormonelevel/low,Low,https://data.cooperationdatabank.org/id/hormonelevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyMatchingProtocol,Matching,https://data.cooperationdatabank.org/id/studymatchingprotocol/1,Stranger,1
9413,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/HormonesVariable,https://data.cooperationdatabank.org/vocab/prop/hormoneLevel,Hormone level,https://data.cooperationdatabank.org/id/hormonelevel/low,Low,https://data.cooperationdatabank.org/id/hormonelevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyOneShot,One-shot vs repeated,https://data.cooperationdatabank.org/id/studyoneshot/1,One-shot,1
9414,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/HormonesVariable,https://data.cooperationdatabank.org/vocab/prop/hormoneLevel,Hormone level,https://data.cooperationdatabank.org/id/hormonelevel/low,Low,https://data.cooperationdatabank.org/id/hormonelevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyOneShotRepeated,Repeated one-shot game,false,na,1
9415,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/HormonesVariable,https://data.cooperationdatabank.org/vocab/prop/hormoneLevel,Hormone level,https://data.cooperationdatabank.org/id/hormonelevel/low,Low,https://data.cooperationdatabank.org/id/hormonelevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyShowUpFee,Show-up fee,https://data.cooperationdatabank.org/id/studyshowupfee/1,Paid,1
9416,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/HormonesVariable,https://data.cooperationdatabank.org/vocab/prop/hormoneLevel,Hormone level,https://data.cooperationdatabank.org/id/hormonelevel/low,Low,https://data.cooperationdatabank.org/id/hormonelevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyStudentSample,Student sample,true,na,1
9417,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/HormonesVariable,https://data.cooperationdatabank.org/vocab/prop/hormoneLevel,Hormone level,https://data.cooperationdatabank.org/id/hormonelevel/low,Low,https://data.cooperationdatabank.org/id/hormonelevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studySymmetric,Symmetry,true,na,1
9418,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/HormonesVariable,https://data.cooperationdatabank.org/vocab/prop/hormoneLevel,Hormone level,https://data.cooperationdatabank.org/id/hormonelevel/low,Low,https://data.cooperationdatabank.org/id/hormonelevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyTrialOfCooperation,Trial of cooperation,https://data.cooperationdatabank.org/id/studytrialofcooperation/1,All trials,1
9419,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/HormonesVariable,https://data.cooperationdatabank.org/vocab/prop/hormoneLevel,Hormone level,https://data.cooperationdatabank.org/id/hormonelevel/low,Low,https://data.cooperationdatabank.org/id/hormonelevel/high,High,https://data.cooperationdatabank.org/vocab/prop/yearSource,Source of year of data collection,https://data.cooperationdatabank.org/id/yearsource/4,Received/Submitted,1
9420,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/HormonesVariable,https://data.cooperationdatabank.org/vocab/prop/hormoneLevel,Hormone level,https://data.cooperationdatabank.org/id/hormonelevel/low,Low,https://data.cooperationdatabank.org/id/hormonelevel/medium,Medium,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/ESP,ESP,1
9421,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/HormonesVariable,https://data.cooperationdatabank.org/vocab/prop/hormoneLevel,Hormone level,https://data.cooperationdatabank.org/id/hormonelevel/low,Low,https://data.cooperationdatabank.org/id/hormonelevel/medium,Medium,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/GBR,GBR,1
9422,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/HormonesVariable,https://data.cooperationdatabank.org/vocab/prop/hormoneLevel,Hormone level,https://data.cooperationdatabank.org/id/hormonelevel/low,Low,https://data.cooperationdatabank.org/id/hormonelevel/medium,Medium,https://data.cooperationdatabank.org/vocab/prop/countrySource,Source of country or region,https://data.cooperationdatabank.org/id/countrysource/1,Specified country,1
9423,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/HormonesVariable,https://data.cooperationdatabank.org/vocab/prop/hormoneLevel,Hormone level,https://data.cooperationdatabank.org/id/hormonelevel/low,Low,https://data.cooperationdatabank.org/id/hormonelevel/medium,Medium,https://data.cooperationdatabank.org/vocab/prop/discussion,Discussion,https://data.cooperationdatabank.org/id/discussion/0,Absent,1
9424,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/HormonesVariable,https://data.cooperationdatabank.org/vocab/prop/hormoneLevel,Hormone level,https://data.cooperationdatabank.org/id/hormonelevel/low,Low,https://data.cooperationdatabank.org/id/hormonelevel/medium,Medium,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,Published,https://data.cooperationdatabank.org/id/publicationstatus/1,Published Article,1
9425,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/HormonesVariable,https://data.cooperationdatabank.org/vocab/prop/hormoneLevel,Hormone level,https://data.cooperationdatabank.org/id/hormonelevel/low,Low,https://data.cooperationdatabank.org/id/hormonelevel/medium,Medium,https://data.cooperationdatabank.org/vocab/prop/sanction,Sanction,false,na,1
9426,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/HormonesVariable,https://data.cooperationdatabank.org/vocab/prop/hormoneLevel,Hormone level,https://data.cooperationdatabank.org/id/hormonelevel/low,Low,https://data.cooperationdatabank.org/id/hormonelevel/medium,Medium,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,Acquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,Strangers,1
9427,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/HormonesVariable,https://data.cooperationdatabank.org/vocab/prop/hormoneLevel,Hormone level,https://data.cooperationdatabank.org/id/hormonelevel/low,Low,https://data.cooperationdatabank.org/id/hormonelevel/medium,Medium,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,Game type,https://data.cooperationdatabank.org/id/studydilemmatype/1,Prisoner's Dilemma Game,1
9428,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/HormonesVariable,https://data.cooperationdatabank.org/vocab/prop/hormoneLevel,Hormone level,https://data.cooperationdatabank.org/id/hormonelevel/low,Low,https://data.cooperationdatabank.org/id/hormonelevel/medium,Medium,https://data.cooperationdatabank.org/vocab/prop/studyExperimentalSetting,Experimental setting,https://data.cooperationdatabank.org/id/studyexperimentalsetting/2,Lab,1
9429,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/HormonesVariable,https://data.cooperationdatabank.org/vocab/prop/hormoneLevel,Hormone level,https://data.cooperationdatabank.org/id/hormonelevel/low,Low,https://data.cooperationdatabank.org/id/hormonelevel/medium,Medium,https://data.cooperationdatabank.org/vocab/prop/studyGameIncentive,Game incentive,https://data.cooperationdatabank.org/id/studygameincentive/2,Monetary lottery,1
9430,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/HormonesVariable,https://data.cooperationdatabank.org/vocab/prop/hormoneLevel,Hormone level,https://data.cooperationdatabank.org/id/hormonelevel/low,Low,https://data.cooperationdatabank.org/id/hormonelevel/medium,Medium,https://data.cooperationdatabank.org/vocab/prop/studyKnownEndgame,Known endgame,true,na,1
