,dependent,giv_prop,iv,iv_label,cat_t1,cat_t1_label,cat_t2,cat_t2_label,mod,mod_label,mod_val,mod_val_label,obs
2313,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/IdentificationVariable,https://data.cooperationdatabank.org/vocab/prop/identificationLevel,Identification level,https://data.cooperationdatabank.org/id/identificationlevel/high,High,https://data.cooperationdatabank.org/id/identificationlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/Resource_Dilemma_GameVariable,Resource Dilemma Game-related independent variables,1.1E0,na,2
2314,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/IdentificationVariable,https://data.cooperationdatabank.org/vocab/prop/identificationLevel,Identification level,https://data.cooperationdatabank.org/id/identificationlevel/high,High,https://data.cooperationdatabank.org/id/identificationlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/Resource_Dilemma_GameVariable,Resource Dilemma Game-related independent variables,1.5E0,na,2
2315,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/IdentificationVariable,https://data.cooperationdatabank.org/vocab/prop/identificationLevel,Identification level,https://data.cooperationdatabank.org/id/identificationlevel/high,High,https://data.cooperationdatabank.org/id/identificationlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/GBR,GBR,4
2316,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/IdentificationVariable,https://data.cooperationdatabank.org/vocab/prop/identificationLevel,Identification level,https://data.cooperationdatabank.org/id/identificationlevel/high,High,https://data.cooperationdatabank.org/id/identificationlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/USA,USA,2
2317,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/IdentificationVariable,https://data.cooperationdatabank.org/vocab/prop/identificationLevel,Identification level,https://data.cooperationdatabank.org/id/identificationlevel/high,High,https://data.cooperationdatabank.org/id/identificationlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/countrySource,Source of country or region,https://data.cooperationdatabank.org/id/countrysource/1,Specified country,4
2318,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/IdentificationVariable,https://data.cooperationdatabank.org/vocab/prop/identificationLevel,Identification level,https://data.cooperationdatabank.org/id/identificationlevel/high,High,https://data.cooperationdatabank.org/id/identificationlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/countrySource,Source of country or region,https://data.cooperationdatabank.org/id/countrysource/3,All authors,2
2319,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/IdentificationVariable,https://data.cooperationdatabank.org/vocab/prop/identificationLevel,Identification level,https://data.cooperationdatabank.org/id/identificationlevel/high,High,https://data.cooperationdatabank.org/id/identificationlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/deception,Deception,false,na,5
2320,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/IdentificationVariable,https://data.cooperationdatabank.org/vocab/prop/identificationLevel,Identification level,https://data.cooperationdatabank.org/id/identificationlevel/high,High,https://data.cooperationdatabank.org/id/identificationlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/deception,Deception,true,na,1
2321,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/IdentificationVariable,https://data.cooperationdatabank.org/vocab/prop/identificationLevel,Identification level,https://data.cooperationdatabank.org/id/identificationlevel/high,High,https://data.cooperationdatabank.org/id/identificationlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/discussion,Discussion,https://data.cooperationdatabank.org/id/discussion/0,Absent,6
2322,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/IdentificationVariable,https://data.cooperationdatabank.org/vocab/prop/identificationLevel,Identification level,https://data.cooperationdatabank.org/id/identificationlevel/high,High,https://data.cooperationdatabank.org/id/identificationlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,Published,https://data.cooperationdatabank.org/id/publicationstatus/1,Published Article,6
2323,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/IdentificationVariable,https://data.cooperationdatabank.org/vocab/prop/identificationLevel,Identification level,https://data.cooperationdatabank.org/id/identificationlevel/high,High,https://data.cooperationdatabank.org/id/identificationlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/sanction,Sanction,false,na,5
2324,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/IdentificationVariable,https://data.cooperationdatabank.org/vocab/prop/identificationLevel,Identification level,https://data.cooperationdatabank.org/id/identificationlevel/high,High,https://data.cooperationdatabank.org/id/identificationlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/sanction,Sanction,true,na,1
2325,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/IdentificationVariable,https://data.cooperationdatabank.org/vocab/prop/identificationLevel,Identification level,https://data.cooperationdatabank.org/id/identificationlevel/high,High,https://data.cooperationdatabank.org/id/identificationlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,Acquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,Strangers,5
2326,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/IdentificationVariable,https://data.cooperationdatabank.org/vocab/prop/identificationLevel,Identification level,https://data.cooperationdatabank.org/id/identificationlevel/high,High,https://data.cooperationdatabank.org/id/identificationlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,Acquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/1,Acquaintance,2
2327,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/IdentificationVariable,https://data.cooperationdatabank.org/vocab/prop/identificationLevel,Identification level,https://data.cooperationdatabank.org/id/identificationlevel/high,High,https://data.cooperationdatabank.org/id/identificationlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,Acquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/2,Possible Acquaintance,1
2328,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/IdentificationVariable,https://data.cooperationdatabank.org/vocab/prop/identificationLevel,Identification level,https://data.cooperationdatabank.org/id/identificationlevel/high,High,https://data.cooperationdatabank.org/id/identificationlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/studyContinuousPGG,Continuous vs step-level public goods,https://data.cooperationdatabank.org/id/studycontinuouspgg/1,Continuous,2
2329,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/IdentificationVariable,https://data.cooperationdatabank.org/vocab/prop/identificationLevel,Identification level,https://data.cooperationdatabank.org/id/identificationlevel/high,High,https://data.cooperationdatabank.org/id/identificationlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/studyContinuousPGG,Continuous vs step-level public goods,https://data.cooperationdatabank.org/id/studycontinuouspgg/2,Step-level,2
2330,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/IdentificationVariable,https://data.cooperationdatabank.org/vocab/prop/identificationLevel,Identification level,https://data.cooperationdatabank.org/id/identificationlevel/high,High,https://data.cooperationdatabank.org/id/identificationlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,Game type,https://data.cooperationdatabank.org/id/studydilemmatype/2,Public Goods Game,4
2331,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/IdentificationVariable,https://data.cooperationdatabank.org/vocab/prop/identificationLevel,Identification level,https://data.cooperationdatabank.org/id/identificationlevel/high,High,https://data.cooperationdatabank.org/id/identificationlevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,Game type,https://data.cooperationdatabank.org/id/studydilemmatype/3,Resource Dilemma,2
