,dependent,giv_prop,iv,iv_label,cat_t1,cat_t1_label,cat_t2,cat_t2_label,mod,mod_label,mod_val,mod_val_label,obs
9793,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/IncentivesVariable,https://data.cooperationdatabank.org/vocab/prop/gameIncentive,Game incentive,https://data.cooperationdatabank.org/id/gameincentive/hypothetical,Hypothetical,https://data.cooperationdatabank.org/id/gameincentive/non-monetary_material,Non-monetary Material,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/USA,USA,2
9794,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/IncentivesVariable,https://data.cooperationdatabank.org/vocab/prop/gameIncentive,Game incentive,https://data.cooperationdatabank.org/id/gameincentive/hypothetical,Hypothetical,https://data.cooperationdatabank.org/id/gameincentive/non-monetary_material,Non-monetary Material,https://data.cooperationdatabank.org/vocab/prop/countrySource,Source of country or region,https://data.cooperationdatabank.org/id/countrysource/1,Specified country,2
9795,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/IncentivesVariable,https://data.cooperationdatabank.org/vocab/prop/gameIncentive,Game incentive,https://data.cooperationdatabank.org/id/gameincentive/hypothetical,Hypothetical,https://data.cooperationdatabank.org/id/gameincentive/non-monetary_material,Non-monetary Material,https://data.cooperationdatabank.org/vocab/prop/deception,Deception,false,false,2
9796,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/IncentivesVariable,https://data.cooperationdatabank.org/vocab/prop/gameIncentive,Game incentive,https://data.cooperationdatabank.org/id/gameincentive/hypothetical,Hypothetical,https://data.cooperationdatabank.org/id/gameincentive/non-monetary_material,Non-monetary Material,https://data.cooperationdatabank.org/vocab/prop/discussion,Discussion,https://data.cooperationdatabank.org/id/discussion/0,Absent,2
9797,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/IncentivesVariable,https://data.cooperationdatabank.org/vocab/prop/gameIncentive,Game incentive,https://data.cooperationdatabank.org/id/gameincentive/hypothetical,Hypothetical,https://data.cooperationdatabank.org/id/gameincentive/non-monetary_material,Non-monetary Material,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,Published,https://data.cooperationdatabank.org/id/publicationstatus/1,Published Article,1
9798,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/IncentivesVariable,https://data.cooperationdatabank.org/vocab/prop/gameIncentive,Game incentive,https://data.cooperationdatabank.org/id/gameincentive/hypothetical,Hypothetical,https://data.cooperationdatabank.org/id/gameincentive/non-monetary_material,Non-monetary Material,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,Published,https://data.cooperationdatabank.org/id/publicationstatus/3,Doctoral Dissertation,1
9799,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/IncentivesVariable,https://data.cooperationdatabank.org/vocab/prop/gameIncentive,Game incentive,https://data.cooperationdatabank.org/id/gameincentive/hypothetical,Hypothetical,https://data.cooperationdatabank.org/id/gameincentive/non-monetary_material,Non-monetary Material,https://data.cooperationdatabank.org/vocab/prop/recruitmentMethod,Recruitment method,https://data.cooperationdatabank.org/id/recruitmentmethod/1,Participant pool,2
9800,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/IncentivesVariable,https://data.cooperationdatabank.org/vocab/prop/gameIncentive,Game incentive,https://data.cooperationdatabank.org/id/gameincentive/hypothetical,Hypothetical,https://data.cooperationdatabank.org/id/gameincentive/non-monetary_material,Non-monetary Material,https://data.cooperationdatabank.org/vocab/prop/sanction,Sanction,false,false,2
9801,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/IncentivesVariable,https://data.cooperationdatabank.org/vocab/prop/gameIncentive,Game incentive,https://data.cooperationdatabank.org/id/gameincentive/hypothetical,Hypothetical,https://data.cooperationdatabank.org/id/gameincentive/non-monetary_material,Non-monetary Material,https://data.cooperationdatabank.org/vocab/prop/studyAcademicDiscipline,Academic discipline,https://data.cooperationdatabank.org/id/studyacademicdiscipline/2,Psychology,2
9802,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/IncentivesVariable,https://data.cooperationdatabank.org/vocab/prop/gameIncentive,Game incentive,https://data.cooperationdatabank.org/id/gameincentive/hypothetical,Hypothetical,https://data.cooperationdatabank.org/id/gameincentive/non-monetary_material,Non-monetary Material,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,Acquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,Strangers,2
