,dependent,giv_prop,iv,iv_label,cat_t1,cat_t1_label,cat_t2,cat_t2_label,mod,mod_label,mod_val,mod_val_label,obs
2621,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Institutional_ChoiceVariable,https://data.cooperationdatabank.org/vocab/prop/institutionalChoice,Institutional choice,https://data.cooperationdatabank.org/id/institutionalchoice/endogenous,Endogenous,https://data.cooperationdatabank.org/id/institutionalchoice/exogenous,Exogenous,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/AUT,AUT,3
2622,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Institutional_ChoiceVariable,https://data.cooperationdatabank.org/vocab/prop/institutionalChoice,Institutional choice,https://data.cooperationdatabank.org/id/institutionalchoice/endogenous,Endogenous,https://data.cooperationdatabank.org/id/institutionalchoice/exogenous,Exogenous,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/DEU,DEU,8
2623,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Institutional_ChoiceVariable,https://data.cooperationdatabank.org/vocab/prop/institutionalChoice,Institutional choice,https://data.cooperationdatabank.org/id/institutionalchoice/endogenous,Endogenous,https://data.cooperationdatabank.org/id/institutionalchoice/exogenous,Exogenous,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/FIN,FIN,1
2624,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Institutional_ChoiceVariable,https://data.cooperationdatabank.org/vocab/prop/institutionalChoice,Institutional choice,https://data.cooperationdatabank.org/id/institutionalchoice/endogenous,Endogenous,https://data.cooperationdatabank.org/id/institutionalchoice/exogenous,Exogenous,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/FRA,FRA,6
2625,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Institutional_ChoiceVariable,https://data.cooperationdatabank.org/vocab/prop/institutionalChoice,Institutional choice,https://data.cooperationdatabank.org/id/institutionalchoice/endogenous,Endogenous,https://data.cooperationdatabank.org/id/institutionalchoice/exogenous,Exogenous,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/GBR,GBR,4
2626,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Institutional_ChoiceVariable,https://data.cooperationdatabank.org/vocab/prop/institutionalChoice,Institutional choice,https://data.cooperationdatabank.org/id/institutionalchoice/endogenous,Endogenous,https://data.cooperationdatabank.org/id/institutionalchoice/exogenous,Exogenous,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/USA,USA,4
2627,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Institutional_ChoiceVariable,https://data.cooperationdatabank.org/vocab/prop/institutionalChoice,Institutional choice,https://data.cooperationdatabank.org/id/institutionalchoice/endogenous,Endogenous,https://data.cooperationdatabank.org/id/institutionalchoice/exogenous,Exogenous,https://data.cooperationdatabank.org/vocab/prop/countrySource,Source of country or region,https://data.cooperationdatabank.org/id/countrysource/1,Specified country,24
2628,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Institutional_ChoiceVariable,https://data.cooperationdatabank.org/vocab/prop/institutionalChoice,Institutional choice,https://data.cooperationdatabank.org/id/institutionalchoice/endogenous,Endogenous,https://data.cooperationdatabank.org/id/institutionalchoice/exogenous,Exogenous,https://data.cooperationdatabank.org/vocab/prop/countrySource,Source of country or region,https://data.cooperationdatabank.org/id/countrysource/3,All authors,2
2629,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Institutional_ChoiceVariable,https://data.cooperationdatabank.org/vocab/prop/institutionalChoice,Institutional choice,https://data.cooperationdatabank.org/id/institutionalchoice/endogenous,Endogenous,https://data.cooperationdatabank.org/id/institutionalchoice/exogenous,Exogenous,https://data.cooperationdatabank.org/vocab/prop/deception,Deception,false,na,26
2630,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Institutional_ChoiceVariable,https://data.cooperationdatabank.org/vocab/prop/institutionalChoice,Institutional choice,https://data.cooperationdatabank.org/id/institutionalchoice/endogenous,Endogenous,https://data.cooperationdatabank.org/id/institutionalchoice/exogenous,Exogenous,https://data.cooperationdatabank.org/vocab/prop/discussion,Discussion,https://data.cooperationdatabank.org/id/discussion/0,Absent,26
