,dependent,giv_prop,iv,iv_label,cat_t1,cat_t1_label,cat_t2,cat_t2_label,mod,mod_label,mod_val,mod_val_label,obs
3251,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MatchingVariable,https://data.cooperationdatabank.org/vocab/prop/matching,Matching,https://data.cooperationdatabank.org/id/matching/partner,Partner,https://data.cooperationdatabank.org/id/matching/partner's_choice,Partner's choice,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/JPN,JPN,3
3252,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MatchingVariable,https://data.cooperationdatabank.org/vocab/prop/matching,Matching,https://data.cooperationdatabank.org/id/matching/partner,Partner,https://data.cooperationdatabank.org/id/matching/partner's_choice,Partner's choice,https://data.cooperationdatabank.org/vocab/prop/countrySource,Source of country or region,https://data.cooperationdatabank.org/id/countrysource/1,Specified country,3
3253,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MatchingVariable,https://data.cooperationdatabank.org/vocab/prop/matching,Matching,https://data.cooperationdatabank.org/id/matching/partner,Partner,https://data.cooperationdatabank.org/id/matching/partner's_choice,Partner's choice,https://data.cooperationdatabank.org/vocab/prop/deception,Deception,true,na,3
3254,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MatchingVariable,https://data.cooperationdatabank.org/vocab/prop/matching,Matching,https://data.cooperationdatabank.org/id/matching/partner,Partner,https://data.cooperationdatabank.org/id/matching/partner's_choice,Partner's choice,https://data.cooperationdatabank.org/vocab/prop/discussion,Discussion,https://data.cooperationdatabank.org/id/discussion/0,Absent,3
3255,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MatchingVariable,https://data.cooperationdatabank.org/vocab/prop/matching,Matching,https://data.cooperationdatabank.org/id/matching/partner,Partner,https://data.cooperationdatabank.org/id/matching/partner's_choice,Partner's choice,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,Published,https://data.cooperationdatabank.org/id/publicationstatus/1,Published Article,3
3256,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MatchingVariable,https://data.cooperationdatabank.org/vocab/prop/matching,Matching,https://data.cooperationdatabank.org/id/matching/partner,Partner,https://data.cooperationdatabank.org/id/matching/partner's_choice,Partner's choice,https://data.cooperationdatabank.org/vocab/prop/recruitmentMethod,Recruitment method,https://data.cooperationdatabank.org/id/recruitmentmethod/3,Other,3
3257,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MatchingVariable,https://data.cooperationdatabank.org/vocab/prop/matching,Matching,https://data.cooperationdatabank.org/id/matching/partner,Partner,https://data.cooperationdatabank.org/id/matching/partner's_choice,Partner's choice,https://data.cooperationdatabank.org/vocab/prop/sanction,Sanction,false,na,3
3258,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MatchingVariable,https://data.cooperationdatabank.org/vocab/prop/matching,Matching,https://data.cooperationdatabank.org/id/matching/partner,Partner,https://data.cooperationdatabank.org/id/matching/partner's_choice,Partner's choice,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,Acquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,Strangers,3
3259,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MatchingVariable,https://data.cooperationdatabank.org/vocab/prop/matching,Matching,https://data.cooperationdatabank.org/id/matching/partner,Partner,https://data.cooperationdatabank.org/id/matching/partner's_choice,Partner's choice,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,Game type,https://data.cooperationdatabank.org/id/studydilemmatype/1,Prisoner's Dilemma Game,3
3260,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MatchingVariable,https://data.cooperationdatabank.org/vocab/prop/matching,Matching,https://data.cooperationdatabank.org/id/matching/partner,Partner,https://data.cooperationdatabank.org/id/matching/partner's_choice,Partner's choice,https://data.cooperationdatabank.org/vocab/prop/studyExperimentalSetting,Experimental setting,https://data.cooperationdatabank.org/id/studyexperimentalsetting/2,Lab,3
3261,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MatchingVariable,https://data.cooperationdatabank.org/vocab/prop/matching,Matching,https://data.cooperationdatabank.org/id/matching/partner,Partner,https://data.cooperationdatabank.org/id/matching/partner's_choice,Partner's choice,https://data.cooperationdatabank.org/vocab/prop/studyGameIncentive,Game incentive,https://data.cooperationdatabank.org/id/studygameincentive/1,Monetary,3
3262,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MatchingVariable,https://data.cooperationdatabank.org/vocab/prop/matching,Matching,https://data.cooperationdatabank.org/id/matching/partner,Partner,https://data.cooperationdatabank.org/id/matching/partner's_choice,Partner's choice,https://data.cooperationdatabank.org/vocab/prop/studyKnownEndgame,Known endgame,false,na,3
3263,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MatchingVariable,https://data.cooperationdatabank.org/vocab/prop/matching,Matching,https://data.cooperationdatabank.org/id/matching/partner,Partner,https://data.cooperationdatabank.org/id/matching/partner's_choice,Partner's choice,https://data.cooperationdatabank.org/vocab/prop/studyMatchingProtocol,Matching,https://data.cooperationdatabank.org/id/studymatchingprotocol/2,Partner,3
3264,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MatchingVariable,https://data.cooperationdatabank.org/vocab/prop/matching,Matching,https://data.cooperationdatabank.org/id/matching/partner,Partner,https://data.cooperationdatabank.org/id/matching/partner's_choice,Partner's choice,https://data.cooperationdatabank.org/vocab/prop/studyOneShot,One-shot vs repeated,https://data.cooperationdatabank.org/id/studyoneshot/0,Repeated,3
3265,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MatchingVariable,https://data.cooperationdatabank.org/vocab/prop/matching,Matching,https://data.cooperationdatabank.org/id/matching/partner,Partner,https://data.cooperationdatabank.org/id/matching/partner's_choice,Partner's choice,https://data.cooperationdatabank.org/vocab/prop/studyRealPartner,Real partner,https://data.cooperationdatabank.org/id/studyrealpartner/1,Real,3
3266,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MatchingVariable,https://data.cooperationdatabank.org/vocab/prop/matching,Matching,https://data.cooperationdatabank.org/id/matching/partner,Partner,https://data.cooperationdatabank.org/id/matching/partner's_choice,Partner's choice,https://data.cooperationdatabank.org/vocab/prop/studyStudentSample,Student sample,true,na,3
3267,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MatchingVariable,https://data.cooperationdatabank.org/vocab/prop/matching,Matching,https://data.cooperationdatabank.org/id/matching/partner,Partner,https://data.cooperationdatabank.org/id/matching/partner's_choice,Partner's choice,https://data.cooperationdatabank.org/vocab/prop/studySymmetric,Symmetry,true,na,3
3268,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MatchingVariable,https://data.cooperationdatabank.org/vocab/prop/matching,Matching,https://data.cooperationdatabank.org/id/matching/partner,Partner,https://data.cooperationdatabank.org/id/matching/partner's_choice,Partner's choice,https://data.cooperationdatabank.org/vocab/prop/studyTrialOfCooperation,Trial of cooperation,https://data.cooperationdatabank.org/id/studytrialofcooperation/1,All trials,3
3269,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MatchingVariable,https://data.cooperationdatabank.org/vocab/prop/matching,Matching,https://data.cooperationdatabank.org/id/matching/partner,Partner,https://data.cooperationdatabank.org/id/matching/partner's_choice,Partner's choice,https://data.cooperationdatabank.org/vocab/prop/yearSource,Source of year of data collection,https://data.cooperationdatabank.org/id/yearsource/3,Working paper published,3
3270,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MatchingVariable,https://data.cooperationdatabank.org/vocab/prop/matching,Matching,https://data.cooperationdatabank.org/id/matching/stranger,Stranger,https://data.cooperationdatabank.org/id/matching/partner,Partner,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/FRA,FRA,1
3271,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MatchingVariable,https://data.cooperationdatabank.org/vocab/prop/matching,Matching,https://data.cooperationdatabank.org/id/matching/stranger,Stranger,https://data.cooperationdatabank.org/id/matching/partner,Partner,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/JPN,JPN,3
3272,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MatchingVariable,https://data.cooperationdatabank.org/vocab/prop/matching,Matching,https://data.cooperationdatabank.org/id/matching/stranger,Stranger,https://data.cooperationdatabank.org/id/matching/partner,Partner,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/NLD,NLD,3
3273,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MatchingVariable,https://data.cooperationdatabank.org/vocab/prop/matching,Matching,https://data.cooperationdatabank.org/id/matching/stranger,Stranger,https://data.cooperationdatabank.org/id/matching/partner,Partner,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/USA,USA,5
3274,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MatchingVariable,https://data.cooperationdatabank.org/vocab/prop/matching,Matching,https://data.cooperationdatabank.org/id/matching/stranger,Stranger,https://data.cooperationdatabank.org/id/matching/partner,Partner,https://data.cooperationdatabank.org/vocab/prop/countrySource,Source of country or region,https://data.cooperationdatabank.org/id/countrysource/1,Specified country,12
3275,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MatchingVariable,https://data.cooperationdatabank.org/vocab/prop/matching,Matching,https://data.cooperationdatabank.org/id/matching/stranger,Stranger,https://data.cooperationdatabank.org/id/matching/partner,Partner,https://data.cooperationdatabank.org/vocab/prop/deception,Deception,false,na,12
3276,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MatchingVariable,https://data.cooperationdatabank.org/vocab/prop/matching,Matching,https://data.cooperationdatabank.org/id/matching/stranger,Stranger,https://data.cooperationdatabank.org/id/matching/partner,Partner,https://data.cooperationdatabank.org/vocab/prop/discussion,Discussion,https://data.cooperationdatabank.org/id/discussion/0,Absent,12
3277,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MatchingVariable,https://data.cooperationdatabank.org/vocab/prop/matching,Matching,https://data.cooperationdatabank.org/id/matching/stranger,Stranger,https://data.cooperationdatabank.org/id/matching/partner,Partner,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,Published,https://data.cooperationdatabank.org/id/publicationstatus/1,Published Article,12
3278,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MatchingVariable,https://data.cooperationdatabank.org/vocab/prop/matching,Matching,https://data.cooperationdatabank.org/id/matching/stranger,Stranger,https://data.cooperationdatabank.org/id/matching/partner,Partner,https://data.cooperationdatabank.org/vocab/prop/recruitmentMethod,Recruitment method,https://data.cooperationdatabank.org/id/recruitmentmethod/1,Participant pool,8
3279,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MatchingVariable,https://data.cooperationdatabank.org/vocab/prop/matching,Matching,https://data.cooperationdatabank.org/id/matching/stranger,Stranger,https://data.cooperationdatabank.org/id/matching/partner,Partner,https://data.cooperationdatabank.org/vocab/prop/sanction,Sanction,false,na,12
3280,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MatchingVariable,https://data.cooperationdatabank.org/vocab/prop/matching,Matching,https://data.cooperationdatabank.org/id/matching/stranger,Stranger,https://data.cooperationdatabank.org/id/matching/partner,Partner,https://data.cooperationdatabank.org/vocab/prop/sanction,Sanction,true,na,1
3281,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MatchingVariable,https://data.cooperationdatabank.org/vocab/prop/matching,Matching,https://data.cooperationdatabank.org/id/matching/stranger,Stranger,https://data.cooperationdatabank.org/id/matching/partner,Partner,https://data.cooperationdatabank.org/vocab/prop/studyAcademicDiscipline,Academic discipline,https://data.cooperationdatabank.org/id/studyacademicdiscipline/4,Mixed,9
3282,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MatchingVariable,https://data.cooperationdatabank.org/vocab/prop/matching,Matching,https://data.cooperationdatabank.org/id/matching/stranger,Stranger,https://data.cooperationdatabank.org/id/matching/partner,Partner,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,Acquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,Strangers,12
3283,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MatchingVariable,https://data.cooperationdatabank.org/vocab/prop/matching,Matching,https://data.cooperationdatabank.org/id/matching/stranger,Stranger,https://data.cooperationdatabank.org/id/matching/partner,Partner,https://data.cooperationdatabank.org/vocab/prop/studyContinuousPGG,Continuous vs step-level public goods,https://data.cooperationdatabank.org/id/studycontinuouspgg/1,Continuous,11
3284,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MatchingVariable,https://data.cooperationdatabank.org/vocab/prop/matching,Matching,https://data.cooperationdatabank.org/id/matching/stranger,Stranger,https://data.cooperationdatabank.org/id/matching/partner,Partner,https://data.cooperationdatabank.org/vocab/prop/studyContinuousPGG,Continuous vs step-level public goods,https://data.cooperationdatabank.org/id/studycontinuouspgg/2,Step-level,1
3285,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MatchingVariable,https://data.cooperationdatabank.org/vocab/prop/matching,Matching,https://data.cooperationdatabank.org/id/matching/stranger,Stranger,https://data.cooperationdatabank.org/id/matching/partner,Partner,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,Game type,https://data.cooperationdatabank.org/id/studydilemmatype/2,Public Goods Game,12
3286,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MatchingVariable,https://data.cooperationdatabank.org/vocab/prop/matching,Matching,https://data.cooperationdatabank.org/id/matching/stranger,Stranger,https://data.cooperationdatabank.org/id/matching/partner,Partner,https://data.cooperationdatabank.org/vocab/prop/studyExperimentalSetting,Experimental setting,https://data.cooperationdatabank.org/id/studyexperimentalsetting/2,Lab,12
3287,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MatchingVariable,https://data.cooperationdatabank.org/vocab/prop/matching,Matching,https://data.cooperationdatabank.org/id/matching/stranger,Stranger,https://data.cooperationdatabank.org/id/matching/partner,Partner,https://data.cooperationdatabank.org/vocab/prop/studyGameIncentive,Game incentive,https://data.cooperationdatabank.org/id/studygameincentive/1,Monetary,12
3288,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MatchingVariable,https://data.cooperationdatabank.org/vocab/prop/matching,Matching,https://data.cooperationdatabank.org/id/matching/stranger,Stranger,https://data.cooperationdatabank.org/id/matching/partner,Partner,https://data.cooperationdatabank.org/vocab/prop/studyKnownEndgame,Known endgame,false,na,2
