,dependent,giv_prop,iv,iv_label,cat_t1,cat_t1_label,cat_t2,cat_t2_label,mod,mod_label,mod_val,mod_val_label,obs
3333,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MonitoringVariable,https://data.cooperationdatabank.org/vocab/prop/costlyMonitoring,Costly monitoring,False,na,True,na,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/USA,USA,1
3334,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MonitoringVariable,https://data.cooperationdatabank.org/vocab/prop/costlyMonitoring,Costly monitoring,False,na,True,na,https://data.cooperationdatabank.org/vocab/prop/countrySource,Source of country or region,https://data.cooperationdatabank.org/id/countrysource/1,Specified country,1
3335,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MonitoringVariable,https://data.cooperationdatabank.org/vocab/prop/costlyMonitoring,Costly monitoring,False,na,True,na,https://data.cooperationdatabank.org/vocab/prop/deception,Deception,false,na,1
3336,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MonitoringVariable,https://data.cooperationdatabank.org/vocab/prop/costlyMonitoring,Costly monitoring,False,na,True,na,https://data.cooperationdatabank.org/vocab/prop/discussion,Discussion,https://data.cooperationdatabank.org/id/discussion/0,Absent,1
3337,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MonitoringVariable,https://data.cooperationdatabank.org/vocab/prop/costlyMonitoring,Costly monitoring,False,na,True,na,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,Published,https://data.cooperationdatabank.org/id/publicationstatus/1,Published Article,1
3338,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MonitoringVariable,https://data.cooperationdatabank.org/vocab/prop/costlyMonitoring,Costly monitoring,False,na,True,na,https://data.cooperationdatabank.org/vocab/prop/recruitmentMethod,Recruitment method,https://data.cooperationdatabank.org/id/recruitmentmethod/1,Participant pool,1
3339,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MonitoringVariable,https://data.cooperationdatabank.org/vocab/prop/costlyMonitoring,Costly monitoring,False,na,True,na,https://data.cooperationdatabank.org/vocab/prop/sanction,Sanction,false,na,1
3340,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MonitoringVariable,https://data.cooperationdatabank.org/vocab/prop/costlyMonitoring,Costly monitoring,False,na,True,na,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,Acquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,Strangers,1
3341,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MonitoringVariable,https://data.cooperationdatabank.org/vocab/prop/costlyMonitoring,Costly monitoring,False,na,True,na,https://data.cooperationdatabank.org/vocab/prop/studyContinuousPGG,Continuous vs step-level public goods,https://data.cooperationdatabank.org/id/studycontinuouspgg/1,Continuous,1
3342,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MonitoringVariable,https://data.cooperationdatabank.org/vocab/prop/costlyMonitoring,Costly monitoring,False,na,True,na,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,Game type,https://data.cooperationdatabank.org/id/studydilemmatype/2,Public Goods Game,1
3343,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MonitoringVariable,https://data.cooperationdatabank.org/vocab/prop/costlyMonitoring,Costly monitoring,False,na,True,na,https://data.cooperationdatabank.org/vocab/prop/studyExperimentalSetting,Experimental setting,https://data.cooperationdatabank.org/id/studyexperimentalsetting/2,Lab,1
3344,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MonitoringVariable,https://data.cooperationdatabank.org/vocab/prop/costlyMonitoring,Costly monitoring,False,na,True,na,https://data.cooperationdatabank.org/vocab/prop/studyGameIncentive,Game incentive,https://data.cooperationdatabank.org/id/studygameincentive/1,Monetary,1
3345,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MonitoringVariable,https://data.cooperationdatabank.org/vocab/prop/costlyMonitoring,Costly monitoring,False,na,True,na,https://data.cooperationdatabank.org/vocab/prop/studyMatchingProtocol,Matching,https://data.cooperationdatabank.org/id/studymatchingprotocol/1,Stranger,1
3346,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MonitoringVariable,https://data.cooperationdatabank.org/vocab/prop/costlyMonitoring,Costly monitoring,False,na,True,na,https://data.cooperationdatabank.org/vocab/prop/studyOneShot,One-shot vs repeated,https://data.cooperationdatabank.org/id/studyoneshot/1,One-shot,1
3347,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MonitoringVariable,https://data.cooperationdatabank.org/vocab/prop/costlyMonitoring,Costly monitoring,False,na,True,na,https://data.cooperationdatabank.org/vocab/prop/studyOneShotRepeated,Repeated one-shot game,true,na,1
3348,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MonitoringVariable,https://data.cooperationdatabank.org/vocab/prop/costlyMonitoring,Costly monitoring,False,na,True,na,https://data.cooperationdatabank.org/vocab/prop/studyRealPartner,Real partner,https://data.cooperationdatabank.org/id/studyrealpartner/1,Real,1
3349,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MonitoringVariable,https://data.cooperationdatabank.org/vocab/prop/costlyMonitoring,Costly monitoring,False,na,True,na,https://data.cooperationdatabank.org/vocab/prop/studyShowUpFee,Show-up fee,https://data.cooperationdatabank.org/id/studyshowupfee/1,Paid,1
3350,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MonitoringVariable,https://data.cooperationdatabank.org/vocab/prop/costlyMonitoring,Costly monitoring,False,na,True,na,https://data.cooperationdatabank.org/vocab/prop/studyStudentSample,Student sample,true,na,1
3351,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MonitoringVariable,https://data.cooperationdatabank.org/vocab/prop/costlyMonitoring,Costly monitoring,False,na,True,na,https://data.cooperationdatabank.org/vocab/prop/studySymmetric,Symmetry,true,na,1
3352,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MonitoringVariable,https://data.cooperationdatabank.org/vocab/prop/costlyMonitoring,Costly monitoring,False,na,True,na,https://data.cooperationdatabank.org/vocab/prop/studyTrialOfCooperation,Trial of cooperation,https://data.cooperationdatabank.org/id/studytrialofcooperation/5,Other trials,1
3353,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MonitoringVariable,https://data.cooperationdatabank.org/vocab/prop/costlyMonitoring,Costly monitoring,False,na,True,na,https://data.cooperationdatabank.org/vocab/prop/yearSource,Source of year of data collection,https://data.cooperationdatabank.org/id/yearsource/4,Received/Submitted,1
3354,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MonitoringVariable,https://data.cooperationdatabank.org/vocab/prop/monitoringCost,Monitoring cost,https://data.cooperationdatabank.org/id/monitoringcost/low,Low,https://data.cooperationdatabank.org/id/monitoringcost/high,High,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/USA,USA,1
3355,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MonitoringVariable,https://data.cooperationdatabank.org/vocab/prop/monitoringCost,Monitoring cost,https://data.cooperationdatabank.org/id/monitoringcost/low,Low,https://data.cooperationdatabank.org/id/monitoringcost/high,High,https://data.cooperationdatabank.org/vocab/prop/countrySource,Source of country or region,https://data.cooperationdatabank.org/id/countrysource/1,Specified country,1
3356,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MonitoringVariable,https://data.cooperationdatabank.org/vocab/prop/monitoringCost,Monitoring cost,https://data.cooperationdatabank.org/id/monitoringcost/low,Low,https://data.cooperationdatabank.org/id/monitoringcost/high,High,https://data.cooperationdatabank.org/vocab/prop/deception,Deception,false,na,1
3357,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/MonitoringVariable,https://data.cooperationdatabank.org/vocab/prop/monitoringCost,Monitoring cost,https://data.cooperationdatabank.org/id/monitoringcost/low,Low,https://data.cooperationdatabank.org/id/monitoringcost/high,High,https://data.cooperationdatabank.org/vocab/prop/discussion,Discussion,https://data.cooperationdatabank.org/id/discussion/0,Absent,1
