,dependent,giv_prop,iv,iv_label,cat_t1,cat_t1_label,cat_t2,cat_t2_label,mod,mod_label,mod_val,mod_val_label,obs
3414,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Normative_BehaviorVariable,https://data.cooperationdatabank.org/vocab/prop/descriptiveNorm,Descriptive norm,https://data.cooperationdatabank.org/id/descriptivenorm/low_cooperation,Low Cooperation,https://data.cooperationdatabank.org/id/descriptivenorm/high_cooperation,High Cooperation,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/CRI,CRI,1
3415,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Normative_BehaviorVariable,https://data.cooperationdatabank.org/vocab/prop/descriptiveNorm,Descriptive norm,https://data.cooperationdatabank.org/id/descriptivenorm/low_cooperation,Low Cooperation,https://data.cooperationdatabank.org/id/descriptivenorm/high_cooperation,High Cooperation,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/USA,USA,2
3416,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Normative_BehaviorVariable,https://data.cooperationdatabank.org/vocab/prop/descriptiveNorm,Descriptive norm,https://data.cooperationdatabank.org/id/descriptivenorm/low_cooperation,Low Cooperation,https://data.cooperationdatabank.org/id/descriptivenorm/high_cooperation,High Cooperation,https://data.cooperationdatabank.org/vocab/prop/countrySource,Source of country or region,https://data.cooperationdatabank.org/id/countrysource/1,Specified country,2
3417,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Normative_BehaviorVariable,https://data.cooperationdatabank.org/vocab/prop/descriptiveNorm,Descriptive norm,https://data.cooperationdatabank.org/id/descriptivenorm/low_cooperation,Low Cooperation,https://data.cooperationdatabank.org/id/descriptivenorm/high_cooperation,High Cooperation,https://data.cooperationdatabank.org/vocab/prop/countrySource,Source of country or region,https://data.cooperationdatabank.org/id/countrysource/4,Most authors,1
3418,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Normative_BehaviorVariable,https://data.cooperationdatabank.org/vocab/prop/descriptiveNorm,Descriptive norm,https://data.cooperationdatabank.org/id/descriptivenorm/low_cooperation,Low Cooperation,https://data.cooperationdatabank.org/id/descriptivenorm/high_cooperation,High Cooperation,https://data.cooperationdatabank.org/vocab/prop/deception,Deception,false,false,1
3419,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Normative_BehaviorVariable,https://data.cooperationdatabank.org/vocab/prop/descriptiveNorm,Descriptive norm,https://data.cooperationdatabank.org/id/descriptivenorm/low_cooperation,Low Cooperation,https://data.cooperationdatabank.org/id/descriptivenorm/high_cooperation,High Cooperation,https://data.cooperationdatabank.org/vocab/prop/deception,Deception,true,true,2
3420,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Normative_BehaviorVariable,https://data.cooperationdatabank.org/vocab/prop/descriptiveNorm,Descriptive norm,https://data.cooperationdatabank.org/id/descriptivenorm/low_cooperation,Low Cooperation,https://data.cooperationdatabank.org/id/descriptivenorm/high_cooperation,High Cooperation,https://data.cooperationdatabank.org/vocab/prop/discussion,Discussion,https://data.cooperationdatabank.org/id/discussion/0,Absent,3
3421,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Normative_BehaviorVariable,https://data.cooperationdatabank.org/vocab/prop/descriptiveNorm,Descriptive norm,https://data.cooperationdatabank.org/id/descriptivenorm/low_cooperation,Low Cooperation,https://data.cooperationdatabank.org/id/descriptivenorm/high_cooperation,High Cooperation,https://data.cooperationdatabank.org/vocab/prop/discussion,Discussion,https://data.cooperationdatabank.org/id/discussion/1,Uni-directional,1
3422,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Normative_BehaviorVariable,https://data.cooperationdatabank.org/vocab/prop/descriptiveNorm,Descriptive norm,https://data.cooperationdatabank.org/id/descriptivenorm/low_cooperation,Low Cooperation,https://data.cooperationdatabank.org/id/descriptivenorm/high_cooperation,High Cooperation,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,Published,https://data.cooperationdatabank.org/id/publicationstatus/1,Published Article,3
3423,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Normative_BehaviorVariable,https://data.cooperationdatabank.org/vocab/prop/descriptiveNorm,Descriptive norm,https://data.cooperationdatabank.org/id/descriptivenorm/low_cooperation,Low Cooperation,https://data.cooperationdatabank.org/id/descriptivenorm/high_cooperation,High Cooperation,https://data.cooperationdatabank.org/vocab/prop/recruitmentMethod,Recruitment method,https://data.cooperationdatabank.org/id/recruitmentmethod/2,MTurk,1
