,dependent,giv_prop,iv,iv_label,cat_t1,cat_t1_label,cat_t2,cat_t2_label,mod,mod_label,mod_val,mod_val_label,obs
14421,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/Partner_realVariable,https://data.cooperationdatabank.org/vocab/prop/partnerReal,Real partner,https://data.cooperationdatabank.org/id/partnerreal/real,Real,https://data.cooperationdatabank.org/id/partnerreal/hypothetical,Hypothetical,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/SWE,SWE,1
14422,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/Partner_realVariable,https://data.cooperationdatabank.org/vocab/prop/partnerReal,Real partner,https://data.cooperationdatabank.org/id/partnerreal/real,Real,https://data.cooperationdatabank.org/id/partnerreal/hypothetical,Hypothetical,https://data.cooperationdatabank.org/vocab/prop/countrySource,Source of country or region,https://data.cooperationdatabank.org/id/countrysource/1,Specified country,1
14423,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/Partner_realVariable,https://data.cooperationdatabank.org/vocab/prop/partnerReal,Real partner,https://data.cooperationdatabank.org/id/partnerreal/real,Real,https://data.cooperationdatabank.org/id/partnerreal/hypothetical,Hypothetical,https://data.cooperationdatabank.org/vocab/prop/deception,Deception,false,false,1
14424,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/Partner_realVariable,https://data.cooperationdatabank.org/vocab/prop/partnerReal,Real partner,https://data.cooperationdatabank.org/id/partnerreal/real,Real,https://data.cooperationdatabank.org/id/partnerreal/hypothetical,Hypothetical,https://data.cooperationdatabank.org/vocab/prop/discussion,Discussion,https://data.cooperationdatabank.org/id/discussion/0,Absent,1
14425,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/Partner_realVariable,https://data.cooperationdatabank.org/vocab/prop/partnerReal,Real partner,https://data.cooperationdatabank.org/id/partnerreal/real,Real,https://data.cooperationdatabank.org/id/partnerreal/hypothetical,Hypothetical,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,Published,https://data.cooperationdatabank.org/id/publicationstatus/1,Published Article,1
14426,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/Partner_realVariable,https://data.cooperationdatabank.org/vocab/prop/partnerReal,Real partner,https://data.cooperationdatabank.org/id/partnerreal/real,Real,https://data.cooperationdatabank.org/id/partnerreal/hypothetical,Hypothetical,https://data.cooperationdatabank.org/vocab/prop/recruitmentMethod,Recruitment method,https://data.cooperationdatabank.org/id/recruitmentmethod/1,Participant pool,1
14427,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/Partner_realVariable,https://data.cooperationdatabank.org/vocab/prop/partnerReal,Real partner,https://data.cooperationdatabank.org/id/partnerreal/real,Real,https://data.cooperationdatabank.org/id/partnerreal/hypothetical,Hypothetical,https://data.cooperationdatabank.org/vocab/prop/sanction,Sanction,false,false,1
14428,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/Partner_realVariable,https://data.cooperationdatabank.org/vocab/prop/partnerReal,Real partner,https://data.cooperationdatabank.org/id/partnerreal/real,Real,https://data.cooperationdatabank.org/id/partnerreal/hypothetical,Hypothetical,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,Acquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,Strangers,1
14429,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/Partner_realVariable,https://data.cooperationdatabank.org/vocab/prop/partnerReal,Real partner,https://data.cooperationdatabank.org/id/partnerreal/real,Real,https://data.cooperationdatabank.org/id/partnerreal/hypothetical,Hypothetical,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,Game type,https://data.cooperationdatabank.org/id/studydilemmatype/3,Resource Dilemma,1
14430,https://data.cooperationdatabank.org/id/dependentvariable/withdrawals,https://data.cooperationdatabank.org/vocab/prop/Partner_realVariable,https://data.cooperationdatabank.org/vocab/prop/partnerReal,Real partner,https://data.cooperationdatabank.org/id/partnerreal/real,Real,https://data.cooperationdatabank.org/id/partnerreal/hypothetical,Hypothetical,https://data.cooperationdatabank.org/vocab/prop/studyExperimentalSetting,Experimental setting,https://data.cooperationdatabank.org/id/studyexperimentalsetting/2,Lab,1
