,dependent,giv_prop,iv,iv_label,cat_t1,cat_t1_label,cat_t2,cat_t2_label,mod,mod_label,mod_val,mod_val_label,obs
3816,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Partner_typeVariable,https://data.cooperationdatabank.org/vocab/prop/partnerType,Partner type,https://data.cooperationdatabank.org/id/partnertype/peer,Peer,https://data.cooperationdatabank.org/id/partnertype/computer,Computer,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/USA,USA,1
3817,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Partner_typeVariable,https://data.cooperationdatabank.org/vocab/prop/partnerType,Partner type,https://data.cooperationdatabank.org/id/partnertype/peer,Peer,https://data.cooperationdatabank.org/id/partnertype/computer,Computer,https://data.cooperationdatabank.org/vocab/prop/countrySource,Source of country or region,https://data.cooperationdatabank.org/id/countrysource/3,All authors,1
3818,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Partner_typeVariable,https://data.cooperationdatabank.org/vocab/prop/partnerType,Partner type,https://data.cooperationdatabank.org/id/partnertype/peer,Peer,https://data.cooperationdatabank.org/id/partnertype/computer,Computer,https://data.cooperationdatabank.org/vocab/prop/deception,Deception,false,false,1
3819,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Partner_typeVariable,https://data.cooperationdatabank.org/vocab/prop/partnerType,Partner type,https://data.cooperationdatabank.org/id/partnertype/peer,Peer,https://data.cooperationdatabank.org/id/partnertype/computer,Computer,https://data.cooperationdatabank.org/vocab/prop/discussion,Discussion,https://data.cooperationdatabank.org/id/discussion/0,Absent,1
3820,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Partner_typeVariable,https://data.cooperationdatabank.org/vocab/prop/partnerType,Partner type,https://data.cooperationdatabank.org/id/partnertype/peer,Peer,https://data.cooperationdatabank.org/id/partnertype/computer,Computer,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,Published,https://data.cooperationdatabank.org/id/publicationstatus/1,Published Article,1
3821,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Partner_typeVariable,https://data.cooperationdatabank.org/vocab/prop/partnerType,Partner type,https://data.cooperationdatabank.org/id/partnertype/peer,Peer,https://data.cooperationdatabank.org/id/partnertype/computer,Computer,https://data.cooperationdatabank.org/vocab/prop/recruitmentMethod,Recruitment method,https://data.cooperationdatabank.org/id/recruitmentmethod/1,Participant pool,1
3822,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Partner_typeVariable,https://data.cooperationdatabank.org/vocab/prop/partnerType,Partner type,https://data.cooperationdatabank.org/id/partnertype/peer,Peer,https://data.cooperationdatabank.org/id/partnertype/computer,Computer,https://data.cooperationdatabank.org/vocab/prop/sanction,Sanction,false,false,1
3823,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Partner_typeVariable,https://data.cooperationdatabank.org/vocab/prop/partnerType,Partner type,https://data.cooperationdatabank.org/id/partnertype/peer,Peer,https://data.cooperationdatabank.org/id/partnertype/computer,Computer,https://data.cooperationdatabank.org/vocab/prop/studyAcademicDiscipline,Academic discipline,https://data.cooperationdatabank.org/id/studyacademicdiscipline/2,Psychology,1
3824,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Partner_typeVariable,https://data.cooperationdatabank.org/vocab/prop/partnerType,Partner type,https://data.cooperationdatabank.org/id/partnertype/peer,Peer,https://data.cooperationdatabank.org/id/partnertype/computer,Computer,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,Acquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,Strangers,1
3825,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Partner_typeVariable,https://data.cooperationdatabank.org/vocab/prop/partnerType,Partner type,https://data.cooperationdatabank.org/id/partnertype/peer,Peer,https://data.cooperationdatabank.org/id/partnertype/computer,Computer,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,Acquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/1,Acquaintance,1
3826,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Partner_typeVariable,https://data.cooperationdatabank.org/vocab/prop/partnerType,Partner type,https://data.cooperationdatabank.org/id/partnertype/peer,Peer,https://data.cooperationdatabank.org/id/partnertype/computer,Computer,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,Game type,https://data.cooperationdatabank.org/id/studydilemmatype/1,Prisoner's Dilemma Game,1
3827,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Partner_typeVariable,https://data.cooperationdatabank.org/vocab/prop/partnerType,Partner type,https://data.cooperationdatabank.org/id/partnertype/peer,Peer,https://data.cooperationdatabank.org/id/partnertype/computer,Computer,https://data.cooperationdatabank.org/vocab/prop/studyExperimentalSetting,Experimental setting,https://data.cooperationdatabank.org/id/studyexperimentalsetting/2,Lab,1
3828,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Partner_typeVariable,https://data.cooperationdatabank.org/vocab/prop/partnerType,Partner type,https://data.cooperationdatabank.org/id/partnertype/peer,Peer,https://data.cooperationdatabank.org/id/partnertype/computer,Computer,https://data.cooperationdatabank.org/vocab/prop/studyMatchingProtocol,Matching,https://data.cooperationdatabank.org/id/studymatchingprotocol/2,Partner,1
3829,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Partner_typeVariable,https://data.cooperationdatabank.org/vocab/prop/partnerType,Partner type,https://data.cooperationdatabank.org/id/partnertype/peer,Peer,https://data.cooperationdatabank.org/id/partnertype/computer,Computer,https://data.cooperationdatabank.org/vocab/prop/studyOneShot,One-shot vs repeated,https://data.cooperationdatabank.org/id/studyoneshot/0,Repeated,1
3830,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Partner_typeVariable,https://data.cooperationdatabank.org/vocab/prop/partnerType,Partner type,https://data.cooperationdatabank.org/id/partnertype/peer,Peer,https://data.cooperationdatabank.org/id/partnertype/computer,Computer,https://data.cooperationdatabank.org/vocab/prop/studyRealPartner,Real partner,https://data.cooperationdatabank.org/id/studyrealpartner/0,Hypothetical,1
3831,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Partner_typeVariable,https://data.cooperationdatabank.org/vocab/prop/partnerType,Partner type,https://data.cooperationdatabank.org/id/partnertype/peer,Peer,https://data.cooperationdatabank.org/id/partnertype/computer,Computer,https://data.cooperationdatabank.org/vocab/prop/studyShowUpFee,Show-up fee,https://data.cooperationdatabank.org/id/studyshowupfee/2,Course credit,1
3832,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Partner_typeVariable,https://data.cooperationdatabank.org/vocab/prop/partnerType,Partner type,https://data.cooperationdatabank.org/id/partnertype/peer,Peer,https://data.cooperationdatabank.org/id/partnertype/computer,Computer,https://data.cooperationdatabank.org/vocab/prop/studyStudentSample,Student sample,true,true,1
3833,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Partner_typeVariable,https://data.cooperationdatabank.org/vocab/prop/partnerType,Partner type,https://data.cooperationdatabank.org/id/partnertype/peer,Peer,https://data.cooperationdatabank.org/id/partnertype/computer,Computer,https://data.cooperationdatabank.org/vocab/prop/studySymmetric,Symmetry,true,true,1
3834,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Partner_typeVariable,https://data.cooperationdatabank.org/vocab/prop/partnerType,Partner type,https://data.cooperationdatabank.org/id/partnertype/peer,Peer,https://data.cooperationdatabank.org/id/partnertype/computer,Computer,https://data.cooperationdatabank.org/vocab/prop/studyTrialOfCooperation,Trial of cooperation,https://data.cooperationdatabank.org/id/studytrialofcooperation/1,All trials,1
3835,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Partner_typeVariable,https://data.cooperationdatabank.org/vocab/prop/partnerType,Partner type,https://data.cooperationdatabank.org/id/partnertype/peer,Peer,https://data.cooperationdatabank.org/id/partnertype/computer,Computer,https://data.cooperationdatabank.org/vocab/prop/yearSource,Source of year of data collection,https://data.cooperationdatabank.org/id/yearsource/4,Received/Submitted,1
3836,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Partner_typeVariable,https://data.cooperationdatabank.org/vocab/prop/partnerType,Partner type,https://data.cooperationdatabank.org/id/partnertype/peer,Peer,https://data.cooperationdatabank.org/id/partnertype/stranger,Stranger,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/USA,USA,1
3837,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Partner_typeVariable,https://data.cooperationdatabank.org/vocab/prop/partnerType,Partner type,https://data.cooperationdatabank.org/id/partnertype/peer,Peer,https://data.cooperationdatabank.org/id/partnertype/stranger,Stranger,https://data.cooperationdatabank.org/vocab/prop/countrySource,Source of country or region,https://data.cooperationdatabank.org/id/countrysource/3,All authors,1
3838,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Partner_typeVariable,https://data.cooperationdatabank.org/vocab/prop/partnerType,Partner type,https://data.cooperationdatabank.org/id/partnertype/peer,Peer,https://data.cooperationdatabank.org/id/partnertype/stranger,Stranger,https://data.cooperationdatabank.org/vocab/prop/deception,Deception,false,false,1
3839,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Partner_typeVariable,https://data.cooperationdatabank.org/vocab/prop/partnerType,Partner type,https://data.cooperationdatabank.org/id/partnertype/peer,Peer,https://data.cooperationdatabank.org/id/partnertype/stranger,Stranger,https://data.cooperationdatabank.org/vocab/prop/discussion,Discussion,https://data.cooperationdatabank.org/id/discussion/0,Absent,1
