,dependent,giv_prop,iv,iv_label,cat_t1,cat_t1_label,cat_t2,cat_t2_label,mod,mod_label,mod_val,mod_val_label,obs
3994,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/PeriodVariable,https://data.cooperationdatabank.org/vocab/prop/trialOfCooperationOrdinal,Trial of cooperation (ordinal),https://data.cooperationdatabank.org/id/trialofcooperationordinal/first,first,https://data.cooperationdatabank.org/id/trialofcooperationordinal/last,last,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/CHE,CHE,5
3995,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/PeriodVariable,https://data.cooperationdatabank.org/vocab/prop/trialOfCooperationOrdinal,Trial of cooperation (ordinal),https://data.cooperationdatabank.org/id/trialofcooperationordinal/first,first,https://data.cooperationdatabank.org/id/trialofcooperationordinal/last,last,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/CHN,CHN,5
3996,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/PeriodVariable,https://data.cooperationdatabank.org/vocab/prop/trialOfCooperationOrdinal,Trial of cooperation (ordinal),https://data.cooperationdatabank.org/id/trialofcooperationordinal/first,first,https://data.cooperationdatabank.org/id/trialofcooperationordinal/last,last,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/ESP,ESP,1
3997,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/PeriodVariable,https://data.cooperationdatabank.org/vocab/prop/trialOfCooperationOrdinal,Trial of cooperation (ordinal),https://data.cooperationdatabank.org/id/trialofcooperationordinal/first,first,https://data.cooperationdatabank.org/id/trialofcooperationordinal/last,last,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/GBR,GBR,2
3998,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/PeriodVariable,https://data.cooperationdatabank.org/vocab/prop/trialOfCooperationOrdinal,Trial of cooperation (ordinal),https://data.cooperationdatabank.org/id/trialofcooperationordinal/first,first,https://data.cooperationdatabank.org/id/trialofcooperationordinal/last,last,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/IND,IND,1
3999,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/PeriodVariable,https://data.cooperationdatabank.org/vocab/prop/trialOfCooperationOrdinal,Trial of cooperation (ordinal),https://data.cooperationdatabank.org/id/trialofcooperationordinal/first,first,https://data.cooperationdatabank.org/id/trialofcooperationordinal/last,last,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/ISR,ISR,1
4000,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/PeriodVariable,https://data.cooperationdatabank.org/vocab/prop/trialOfCooperationOrdinal,Trial of cooperation (ordinal),https://data.cooperationdatabank.org/id/trialofcooperationordinal/first,first,https://data.cooperationdatabank.org/id/trialofcooperationordinal/last,last,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/NLD,NLD,1
4001,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/PeriodVariable,https://data.cooperationdatabank.org/vocab/prop/trialOfCooperationOrdinal,Trial of cooperation (ordinal),https://data.cooperationdatabank.org/id/trialofcooperationordinal/first,first,https://data.cooperationdatabank.org/id/trialofcooperationordinal/last,last,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/USA,USA,14
4002,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/PeriodVariable,https://data.cooperationdatabank.org/vocab/prop/trialOfCooperationOrdinal,Trial of cooperation (ordinal),https://data.cooperationdatabank.org/id/trialofcooperationordinal/first,first,https://data.cooperationdatabank.org/id/trialofcooperationordinal/last,last,https://data.cooperationdatabank.org/vocab/prop/countrySource,Source of country or region,https://data.cooperationdatabank.org/id/countrysource/1,Specified country,24
4003,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/PeriodVariable,https://data.cooperationdatabank.org/vocab/prop/trialOfCooperationOrdinal,Trial of cooperation (ordinal),https://data.cooperationdatabank.org/id/trialofcooperationordinal/first,first,https://data.cooperationdatabank.org/id/trialofcooperationordinal/last,last,https://data.cooperationdatabank.org/vocab/prop/countrySource,Source of country or region,https://data.cooperationdatabank.org/id/countrysource/3,All authors,6
