,dependent,giv_prop,iv,iv_label,cat_t1,cat_t1_label,cat_t2,cat_t2_label,mod,mod_label,mod_val,mod_val_label,obs
11924,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/Physical_ProximityVariable,https://data.cooperationdatabank.org/vocab/prop/physicalProximity,Physical proximity,https://data.cooperationdatabank.org/id/physicalproximity/low,Low,https://data.cooperationdatabank.org/id/physicalproximity/high,High,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/USA,USA,3
11925,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/Physical_ProximityVariable,https://data.cooperationdatabank.org/vocab/prop/physicalProximity,Physical proximity,https://data.cooperationdatabank.org/id/physicalproximity/low,Low,https://data.cooperationdatabank.org/id/physicalproximity/high,High,https://data.cooperationdatabank.org/vocab/prop/countrySource,Source of country or region,https://data.cooperationdatabank.org/id/countrysource/1,Specified country,3
11926,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/Physical_ProximityVariable,https://data.cooperationdatabank.org/vocab/prop/physicalProximity,Physical proximity,https://data.cooperationdatabank.org/id/physicalproximity/low,Low,https://data.cooperationdatabank.org/id/physicalproximity/high,High,https://data.cooperationdatabank.org/vocab/prop/deception,Deception,false,false,1
11927,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/Physical_ProximityVariable,https://data.cooperationdatabank.org/vocab/prop/physicalProximity,Physical proximity,https://data.cooperationdatabank.org/id/physicalproximity/low,Low,https://data.cooperationdatabank.org/id/physicalproximity/high,High,https://data.cooperationdatabank.org/vocab/prop/deception,Deception,true,true,2
11928,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/Physical_ProximityVariable,https://data.cooperationdatabank.org/vocab/prop/physicalProximity,Physical proximity,https://data.cooperationdatabank.org/id/physicalproximity/low,Low,https://data.cooperationdatabank.org/id/physicalproximity/high,High,https://data.cooperationdatabank.org/vocab/prop/discussion,Discussion,https://data.cooperationdatabank.org/id/discussion/0,Absent,1
11929,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/Physical_ProximityVariable,https://data.cooperationdatabank.org/vocab/prop/physicalProximity,Physical proximity,https://data.cooperationdatabank.org/id/physicalproximity/low,Low,https://data.cooperationdatabank.org/id/physicalproximity/high,High,https://data.cooperationdatabank.org/vocab/prop/discussion,Discussion,https://data.cooperationdatabank.org/id/discussion/1,Uni-directional,2
11930,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/Physical_ProximityVariable,https://data.cooperationdatabank.org/vocab/prop/physicalProximity,Physical proximity,https://data.cooperationdatabank.org/id/physicalproximity/low,Low,https://data.cooperationdatabank.org/id/physicalproximity/high,High,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,Published,https://data.cooperationdatabank.org/id/publicationstatus/1,Published Article,3
11931,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/Physical_ProximityVariable,https://data.cooperationdatabank.org/vocab/prop/physicalProximity,Physical proximity,https://data.cooperationdatabank.org/id/physicalproximity/low,Low,https://data.cooperationdatabank.org/id/physicalproximity/high,High,https://data.cooperationdatabank.org/vocab/prop/sanction,Sanction,false,false,3
11932,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/Physical_ProximityVariable,https://data.cooperationdatabank.org/vocab/prop/physicalProximity,Physical proximity,https://data.cooperationdatabank.org/id/physicalproximity/low,Low,https://data.cooperationdatabank.org/id/physicalproximity/high,High,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,Acquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,Strangers,3
11933,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/Physical_ProximityVariable,https://data.cooperationdatabank.org/vocab/prop/physicalProximity,Physical proximity,https://data.cooperationdatabank.org/id/physicalproximity/low,Low,https://data.cooperationdatabank.org/id/physicalproximity/high,High,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,Game type,https://data.cooperationdatabank.org/id/studydilemmatype/1,Prisoner's Dilemma Game,3
11934,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/Physical_ProximityVariable,https://data.cooperationdatabank.org/vocab/prop/physicalProximity,Physical proximity,https://data.cooperationdatabank.org/id/physicalproximity/low,Low,https://data.cooperationdatabank.org/id/physicalproximity/high,High,https://data.cooperationdatabank.org/vocab/prop/studyExperimentalSetting,Experimental setting,https://data.cooperationdatabank.org/id/studyexperimentalsetting/2,Lab,3
11935,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/Physical_ProximityVariable,https://data.cooperationdatabank.org/vocab/prop/physicalProximity,Physical proximity,https://data.cooperationdatabank.org/id/physicalproximity/low,Low,https://data.cooperationdatabank.org/id/physicalproximity/high,High,https://data.cooperationdatabank.org/vocab/prop/studyGameIncentive,Game incentive,https://data.cooperationdatabank.org/id/studygameincentive/1,Monetary,2
11936,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/Physical_ProximityVariable,https://data.cooperationdatabank.org/vocab/prop/physicalProximity,Physical proximity,https://data.cooperationdatabank.org/id/physicalproximity/low,Low,https://data.cooperationdatabank.org/id/physicalproximity/high,High,https://data.cooperationdatabank.org/vocab/prop/studyKnownEndgame,Known endgame,true,true,2
11937,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/Physical_ProximityVariable,https://data.cooperationdatabank.org/vocab/prop/physicalProximity,Physical proximity,https://data.cooperationdatabank.org/id/physicalproximity/low,Low,https://data.cooperationdatabank.org/id/physicalproximity/high,High,https://data.cooperationdatabank.org/vocab/prop/studyMatchingProtocol,Matching,https://data.cooperationdatabank.org/id/studymatchingprotocol/1,Stranger,2
11938,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/Physical_ProximityVariable,https://data.cooperationdatabank.org/vocab/prop/physicalProximity,Physical proximity,https://data.cooperationdatabank.org/id/physicalproximity/low,Low,https://data.cooperationdatabank.org/id/physicalproximity/high,High,https://data.cooperationdatabank.org/vocab/prop/studyMatchingProtocol,Matching,https://data.cooperationdatabank.org/id/studymatchingprotocol/2,Partner,1
11939,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/Physical_ProximityVariable,https://data.cooperationdatabank.org/vocab/prop/physicalProximity,Physical proximity,https://data.cooperationdatabank.org/id/physicalproximity/low,Low,https://data.cooperationdatabank.org/id/physicalproximity/high,High,https://data.cooperationdatabank.org/vocab/prop/studyOneShot,One-shot vs repeated,https://data.cooperationdatabank.org/id/studyoneshot/0,Repeated,1
11940,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/Physical_ProximityVariable,https://data.cooperationdatabank.org/vocab/prop/physicalProximity,Physical proximity,https://data.cooperationdatabank.org/id/physicalproximity/low,Low,https://data.cooperationdatabank.org/id/physicalproximity/high,High,https://data.cooperationdatabank.org/vocab/prop/studyOneShot,One-shot vs repeated,https://data.cooperationdatabank.org/id/studyoneshot/1,One-shot,2
