,dependent,giv_prop,iv,iv_label,cat_t1,cat_t1_label,cat_t2,cat_t2_label,mod,mod_label,mod_val,mod_val_label,obs
4424,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Preferences_for_Conditional_CooperationVariable,https://data.cooperationdatabank.org/vocab/prop/preferenceConditionalCooperation,Preference for conditional cooperation,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/conditional_cooperators,Conditional cooperators,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/freeriders,Freeriders,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/CHE,CHE,3
4425,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Preferences_for_Conditional_CooperationVariable,https://data.cooperationdatabank.org/vocab/prop/preferenceConditionalCooperation,Preference for conditional cooperation,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/conditional_cooperators,Conditional cooperators,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/freeriders,Freeriders,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/GBR,GBR,1
4426,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Preferences_for_Conditional_CooperationVariable,https://data.cooperationdatabank.org/vocab/prop/preferenceConditionalCooperation,Preference for conditional cooperation,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/conditional_cooperators,Conditional cooperators,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/freeriders,Freeriders,https://data.cooperationdatabank.org/vocab/prop/countrySource,Source of country or region,https://data.cooperationdatabank.org/id/countrysource/1,Specified country,4
4427,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Preferences_for_Conditional_CooperationVariable,https://data.cooperationdatabank.org/vocab/prop/preferenceConditionalCooperation,Preference for conditional cooperation,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/conditional_cooperators,Conditional cooperators,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/freeriders,Freeriders,https://data.cooperationdatabank.org/vocab/prop/deception,Deception,false,na,4
4428,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Preferences_for_Conditional_CooperationVariable,https://data.cooperationdatabank.org/vocab/prop/preferenceConditionalCooperation,Preference for conditional cooperation,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/conditional_cooperators,Conditional cooperators,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/freeriders,Freeriders,https://data.cooperationdatabank.org/vocab/prop/discussion,Discussion,https://data.cooperationdatabank.org/id/discussion/0,Absent,4
4429,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Preferences_for_Conditional_CooperationVariable,https://data.cooperationdatabank.org/vocab/prop/preferenceConditionalCooperation,Preference for conditional cooperation,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/conditional_cooperators,Conditional cooperators,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/freeriders,Freeriders,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,Published,https://data.cooperationdatabank.org/id/publicationstatus/1,Published Article,4
4430,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Preferences_for_Conditional_CooperationVariable,https://data.cooperationdatabank.org/vocab/prop/preferenceConditionalCooperation,Preference for conditional cooperation,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/conditional_cooperators,Conditional cooperators,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/freeriders,Freeriders,https://data.cooperationdatabank.org/vocab/prop/recruitmentMethod,Recruitment method,https://data.cooperationdatabank.org/id/recruitmentmethod/1,Participant pool,2
4431,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Preferences_for_Conditional_CooperationVariable,https://data.cooperationdatabank.org/vocab/prop/preferenceConditionalCooperation,Preference for conditional cooperation,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/conditional_cooperators,Conditional cooperators,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/freeriders,Freeriders,https://data.cooperationdatabank.org/vocab/prop/recruitmentMethod,Recruitment method,https://data.cooperationdatabank.org/id/recruitmentmethod/3,Other,1
4432,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Preferences_for_Conditional_CooperationVariable,https://data.cooperationdatabank.org/vocab/prop/preferenceConditionalCooperation,Preference for conditional cooperation,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/conditional_cooperators,Conditional cooperators,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/freeriders,Freeriders,https://data.cooperationdatabank.org/vocab/prop/sanction,Sanction,false,na,4
4433,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Preferences_for_Conditional_CooperationVariable,https://data.cooperationdatabank.org/vocab/prop/preferenceConditionalCooperation,Preference for conditional cooperation,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/conditional_cooperators,Conditional cooperators,https://data.cooperationdatabank.org/id/preferenceconditionalcooperation/freeriders,Freeriders,https://data.cooperationdatabank.org/vocab/prop/studyAcademicDiscipline,Academic discipline,https://data.cooperationdatabank.org/id/studyacademicdiscipline/4,Mixed,4
