,dependent,giv_prop,iv,iv_label,cat_t1,cat_t1_label,cat_t2,cat_t2_label,mod,mod_label,mod_val,mod_val_label,obs
5652,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ReligiosityVariable,https://data.cooperationdatabank.org/vocab/prop/religiousLevel,Religious exposure level,https://data.cooperationdatabank.org/id/religiouslevel/high,High,https://data.cooperationdatabank.org/id/religiouslevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/CHL,CHL,1
5653,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ReligiosityVariable,https://data.cooperationdatabank.org/vocab/prop/religiousLevel,Religious exposure level,https://data.cooperationdatabank.org/id/religiouslevel/high,High,https://data.cooperationdatabank.org/id/religiouslevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/IND,IND,1
5654,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ReligiosityVariable,https://data.cooperationdatabank.org/vocab/prop/religiousLevel,Religious exposure level,https://data.cooperationdatabank.org/id/religiouslevel/high,High,https://data.cooperationdatabank.org/id/religiouslevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/countrySource,Source of country or region,https://data.cooperationdatabank.org/id/countrysource/1,Specified country,2
5655,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ReligiosityVariable,https://data.cooperationdatabank.org/vocab/prop/religiousLevel,Religious exposure level,https://data.cooperationdatabank.org/id/religiouslevel/high,High,https://data.cooperationdatabank.org/id/religiouslevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/deception,Deception,false,false,2
5656,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ReligiosityVariable,https://data.cooperationdatabank.org/vocab/prop/religiousLevel,Religious exposure level,https://data.cooperationdatabank.org/id/religiouslevel/high,High,https://data.cooperationdatabank.org/id/religiouslevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/discussion,Discussion,https://data.cooperationdatabank.org/id/discussion/0,Absent,2
5657,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ReligiosityVariable,https://data.cooperationdatabank.org/vocab/prop/religiousLevel,Religious exposure level,https://data.cooperationdatabank.org/id/religiouslevel/high,High,https://data.cooperationdatabank.org/id/religiouslevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,Published,https://data.cooperationdatabank.org/id/publicationstatus/1,Published Article,2
5658,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ReligiosityVariable,https://data.cooperationdatabank.org/vocab/prop/religiousLevel,Religious exposure level,https://data.cooperationdatabank.org/id/religiouslevel/high,High,https://data.cooperationdatabank.org/id/religiouslevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/recruitmentMethod,Recruitment method,https://data.cooperationdatabank.org/id/recruitmentmethod/1,Participant pool,1
5659,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ReligiosityVariable,https://data.cooperationdatabank.org/vocab/prop/religiousLevel,Religious exposure level,https://data.cooperationdatabank.org/id/religiouslevel/high,High,https://data.cooperationdatabank.org/id/religiouslevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/recruitmentMethod,Recruitment method,https://data.cooperationdatabank.org/id/recruitmentmethod/3,Other,1
5660,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ReligiosityVariable,https://data.cooperationdatabank.org/vocab/prop/religiousLevel,Religious exposure level,https://data.cooperationdatabank.org/id/religiouslevel/high,High,https://data.cooperationdatabank.org/id/religiouslevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/sanction,Sanction,false,false,2
5661,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ReligiosityVariable,https://data.cooperationdatabank.org/vocab/prop/religiousLevel,Religious exposure level,https://data.cooperationdatabank.org/id/religiouslevel/high,High,https://data.cooperationdatabank.org/id/religiouslevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/studyAcademicDiscipline,Academic discipline,https://data.cooperationdatabank.org/id/studyacademicdiscipline/5,Other,1
