,dependent,giv_prop,iv,iv_label,cat_t1,cat_t1_label,cat_t2,cat_t2_label,mod,mod_label,mod_val,mod_val_label,obs
5679,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ReputationVariable,https://data.cooperationdatabank.org/vocab/prop/anonymityManipul,Anonymity manipulation,https://data.cooperationdatabank.org/id/anonymitymanipul/high,High,https://data.cooperationdatabank.org/id/anonymitymanipul/low,Low,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/BEL,BEL,1
5680,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ReputationVariable,https://data.cooperationdatabank.org/vocab/prop/anonymityManipul,Anonymity manipulation,https://data.cooperationdatabank.org/id/anonymitymanipul/high,High,https://data.cooperationdatabank.org/id/anonymitymanipul/low,Low,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/CRI,CRI,1
5681,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ReputationVariable,https://data.cooperationdatabank.org/vocab/prop/anonymityManipul,Anonymity manipulation,https://data.cooperationdatabank.org/id/anonymitymanipul/high,High,https://data.cooperationdatabank.org/id/anonymitymanipul/low,Low,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/DEU,DEU,2
5682,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ReputationVariable,https://data.cooperationdatabank.org/vocab/prop/anonymityManipul,Anonymity manipulation,https://data.cooperationdatabank.org/id/anonymitymanipul/high,High,https://data.cooperationdatabank.org/id/anonymitymanipul/low,Low,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/GBR,GBR,10
5683,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ReputationVariable,https://data.cooperationdatabank.org/vocab/prop/anonymityManipul,Anonymity manipulation,https://data.cooperationdatabank.org/id/anonymitymanipul/high,High,https://data.cooperationdatabank.org/id/anonymitymanipul/low,Low,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/NOR,NOR,4
5684,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ReputationVariable,https://data.cooperationdatabank.org/vocab/prop/anonymityManipul,Anonymity manipulation,https://data.cooperationdatabank.org/id/anonymitymanipul/high,High,https://data.cooperationdatabank.org/id/anonymitymanipul/low,Low,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/USA,USA,9
5685,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ReputationVariable,https://data.cooperationdatabank.org/vocab/prop/anonymityManipul,Anonymity manipulation,https://data.cooperationdatabank.org/id/anonymitymanipul/high,High,https://data.cooperationdatabank.org/id/anonymitymanipul/low,Low,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/ZAF,ZAF,3
5686,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ReputationVariable,https://data.cooperationdatabank.org/vocab/prop/anonymityManipul,Anonymity manipulation,https://data.cooperationdatabank.org/id/anonymitymanipul/high,High,https://data.cooperationdatabank.org/id/anonymitymanipul/low,Low,https://data.cooperationdatabank.org/vocab/prop/countrySource,Source of country or region,https://data.cooperationdatabank.org/id/countrysource/1,Specified country,29
5687,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ReputationVariable,https://data.cooperationdatabank.org/vocab/prop/anonymityManipul,Anonymity manipulation,https://data.cooperationdatabank.org/id/anonymitymanipul/high,High,https://data.cooperationdatabank.org/id/anonymitymanipul/low,Low,https://data.cooperationdatabank.org/vocab/prop/countrySource,Source of country or region,https://data.cooperationdatabank.org/id/countrysource/4,Most authors,1
5688,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ReputationVariable,https://data.cooperationdatabank.org/vocab/prop/anonymityManipul,Anonymity manipulation,https://data.cooperationdatabank.org/id/anonymitymanipul/high,High,https://data.cooperationdatabank.org/id/anonymitymanipul/low,Low,https://data.cooperationdatabank.org/vocab/prop/deception,Deception,false,na,26
5689,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ReputationVariable,https://data.cooperationdatabank.org/vocab/prop/anonymityManipul,Anonymity manipulation,https://data.cooperationdatabank.org/id/anonymitymanipul/high,High,https://data.cooperationdatabank.org/id/anonymitymanipul/low,Low,https://data.cooperationdatabank.org/vocab/prop/deception,Deception,true,na,4
5690,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ReputationVariable,https://data.cooperationdatabank.org/vocab/prop/anonymityManipul,Anonymity manipulation,https://data.cooperationdatabank.org/id/anonymitymanipul/high,High,https://data.cooperationdatabank.org/id/anonymitymanipul/low,Low,https://data.cooperationdatabank.org/vocab/prop/discussion,Discussion,https://data.cooperationdatabank.org/id/discussion/0,Absent,30
5691,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ReputationVariable,https://data.cooperationdatabank.org/vocab/prop/anonymityManipul,Anonymity manipulation,https://data.cooperationdatabank.org/id/anonymitymanipul/high,High,https://data.cooperationdatabank.org/id/anonymitymanipul/low,Low,https://data.cooperationdatabank.org/vocab/prop/discussion,Discussion,https://data.cooperationdatabank.org/id/discussion/1,Uni-directional,3
5692,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ReputationVariable,https://data.cooperationdatabank.org/vocab/prop/anonymityManipul,Anonymity manipulation,https://data.cooperationdatabank.org/id/anonymitymanipul/high,High,https://data.cooperationdatabank.org/id/anonymitymanipul/low,Low,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,Published,https://data.cooperationdatabank.org/id/publicationstatus/1,Published Article,30
5693,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ReputationVariable,https://data.cooperationdatabank.org/vocab/prop/anonymityManipul,Anonymity manipulation,https://data.cooperationdatabank.org/id/anonymitymanipul/high,High,https://data.cooperationdatabank.org/id/anonymitymanipul/low,Low,https://data.cooperationdatabank.org/vocab/prop/recruitmentMethod,Recruitment method,https://data.cooperationdatabank.org/id/recruitmentmethod/1,Participant pool,7
5694,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ReputationVariable,https://data.cooperationdatabank.org/vocab/prop/anonymityManipul,Anonymity manipulation,https://data.cooperationdatabank.org/id/anonymitymanipul/high,High,https://data.cooperationdatabank.org/id/anonymitymanipul/low,Low,https://data.cooperationdatabank.org/vocab/prop/recruitmentMethod,Recruitment method,https://data.cooperationdatabank.org/id/recruitmentmethod/2,MTurk,1
5695,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ReputationVariable,https://data.cooperationdatabank.org/vocab/prop/anonymityManipul,Anonymity manipulation,https://data.cooperationdatabank.org/id/anonymitymanipul/high,High,https://data.cooperationdatabank.org/id/anonymitymanipul/low,Low,https://data.cooperationdatabank.org/vocab/prop/recruitmentMethod,Recruitment method,https://data.cooperationdatabank.org/id/recruitmentmethod/3,Other,10
5696,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ReputationVariable,https://data.cooperationdatabank.org/vocab/prop/anonymityManipul,Anonymity manipulation,https://data.cooperationdatabank.org/id/anonymitymanipul/high,High,https://data.cooperationdatabank.org/id/anonymitymanipul/low,Low,https://data.cooperationdatabank.org/vocab/prop/sanction,Sanction,false,na,30
5697,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ReputationVariable,https://data.cooperationdatabank.org/vocab/prop/anonymityManipul,Anonymity manipulation,https://data.cooperationdatabank.org/id/anonymitymanipul/high,High,https://data.cooperationdatabank.org/id/anonymitymanipul/low,Low,https://data.cooperationdatabank.org/vocab/prop/studyAcademicDiscipline,Academic discipline,https://data.cooperationdatabank.org/id/studyacademicdiscipline/1,Economics,1
5698,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/ReputationVariable,https://data.cooperationdatabank.org/vocab/prop/anonymityManipul,Anonymity manipulation,https://data.cooperationdatabank.org/id/anonymitymanipul/high,High,https://data.cooperationdatabank.org/id/anonymitymanipul/low,Low,https://data.cooperationdatabank.org/vocab/prop/studyAcademicDiscipline,Academic discipline,https://data.cooperationdatabank.org/id/studyacademicdiscipline/2,Psychology,1
