,dependent,giv_prop,iv,iv_label,cat_t1,cat_t1_label,cat_t2,cat_t2_label,mod,mod_label,mod_val,mod_val_label,obs
5888,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/RewardVariable,https://data.cooperationdatabank.org/vocab/prop/rewardIncentive,Reward incentive,https://data.cooperationdatabank.org/id/rewardincentive/hypothetical,Hypothetical,https://data.cooperationdatabank.org/id/rewardincentive/non-monetary_social,Non-monetary Social,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/CHN,CHN,1
5889,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/RewardVariable,https://data.cooperationdatabank.org/vocab/prop/rewardIncentive,Reward incentive,https://data.cooperationdatabank.org/id/rewardincentive/hypothetical,Hypothetical,https://data.cooperationdatabank.org/id/rewardincentive/non-monetary_social,Non-monetary Social,https://data.cooperationdatabank.org/vocab/prop/countrySource,Source of country or region,https://data.cooperationdatabank.org/id/countrysource/1,Specified country,1
5890,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/RewardVariable,https://data.cooperationdatabank.org/vocab/prop/rewardIncentive,Reward incentive,https://data.cooperationdatabank.org/id/rewardincentive/hypothetical,Hypothetical,https://data.cooperationdatabank.org/id/rewardincentive/non-monetary_social,Non-monetary Social,https://data.cooperationdatabank.org/vocab/prop/deception,Deception,false,false,1
5891,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/RewardVariable,https://data.cooperationdatabank.org/vocab/prop/rewardIncentive,Reward incentive,https://data.cooperationdatabank.org/id/rewardincentive/hypothetical,Hypothetical,https://data.cooperationdatabank.org/id/rewardincentive/non-monetary_social,Non-monetary Social,https://data.cooperationdatabank.org/vocab/prop/discussion,Discussion,https://data.cooperationdatabank.org/id/discussion/0,Absent,1
5892,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/RewardVariable,https://data.cooperationdatabank.org/vocab/prop/rewardIncentive,Reward incentive,https://data.cooperationdatabank.org/id/rewardincentive/hypothetical,Hypothetical,https://data.cooperationdatabank.org/id/rewardincentive/non-monetary_social,Non-monetary Social,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,Published,https://data.cooperationdatabank.org/id/publicationstatus/5,Masterâs thesis,1
5893,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/RewardVariable,https://data.cooperationdatabank.org/vocab/prop/rewardIncentive,Reward incentive,https://data.cooperationdatabank.org/id/rewardincentive/hypothetical,Hypothetical,https://data.cooperationdatabank.org/id/rewardincentive/non-monetary_social,Non-monetary Social,https://data.cooperationdatabank.org/vocab/prop/recruitmentMethod,Recruitment method,https://data.cooperationdatabank.org/id/recruitmentmethod/1,Participant pool,1
5894,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/RewardVariable,https://data.cooperationdatabank.org/vocab/prop/rewardIncentive,Reward incentive,https://data.cooperationdatabank.org/id/rewardincentive/hypothetical,Hypothetical,https://data.cooperationdatabank.org/id/rewardincentive/non-monetary_social,Non-monetary Social,https://data.cooperationdatabank.org/vocab/prop/sanction,Sanction,true,true,1
5895,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/RewardVariable,https://data.cooperationdatabank.org/vocab/prop/rewardIncentive,Reward incentive,https://data.cooperationdatabank.org/id/rewardincentive/hypothetical,Hypothetical,https://data.cooperationdatabank.org/id/rewardincentive/non-monetary_social,Non-monetary Social,https://data.cooperationdatabank.org/vocab/prop/studyAcademicDiscipline,Academic discipline,https://data.cooperationdatabank.org/id/studyacademicdiscipline/4,Mixed,1
5896,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/RewardVariable,https://data.cooperationdatabank.org/vocab/prop/rewardIncentive,Reward incentive,https://data.cooperationdatabank.org/id/rewardincentive/hypothetical,Hypothetical,https://data.cooperationdatabank.org/id/rewardincentive/non-monetary_social,Non-monetary Social,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,Acquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,Strangers,1
5897,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/RewardVariable,https://data.cooperationdatabank.org/vocab/prop/rewardIncentive,Reward incentive,https://data.cooperationdatabank.org/id/rewardincentive/hypothetical,Hypothetical,https://data.cooperationdatabank.org/id/rewardincentive/non-monetary_social,Non-monetary Social,https://data.cooperationdatabank.org/vocab/prop/studyContinuousPGG,Continuous vs step-level public goods,https://data.cooperationdatabank.org/id/studycontinuouspgg/2,Step-level,1
5898,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/RewardVariable,https://data.cooperationdatabank.org/vocab/prop/rewardIncentive,Reward incentive,https://data.cooperationdatabank.org/id/rewardincentive/hypothetical,Hypothetical,https://data.cooperationdatabank.org/id/rewardincentive/non-monetary_social,Non-monetary Social,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,Game type,https://data.cooperationdatabank.org/id/studydilemmatype/2,Public Goods Game,1
5899,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/RewardVariable,https://data.cooperationdatabank.org/vocab/prop/rewardIncentive,Reward incentive,https://data.cooperationdatabank.org/id/rewardincentive/hypothetical,Hypothetical,https://data.cooperationdatabank.org/id/rewardincentive/non-monetary_social,Non-monetary Social,https://data.cooperationdatabank.org/vocab/prop/studyExperimentalSetting,Experimental setting,https://data.cooperationdatabank.org/id/studyexperimentalsetting/2,Lab,1
5900,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/RewardVariable,https://data.cooperationdatabank.org/vocab/prop/rewardIncentive,Reward incentive,https://data.cooperationdatabank.org/id/rewardincentive/hypothetical,Hypothetical,https://data.cooperationdatabank.org/id/rewardincentive/non-monetary_social,Non-monetary Social,https://data.cooperationdatabank.org/vocab/prop/studyGameIncentive,Game incentive,https://data.cooperationdatabank.org/id/studygameincentive/1,Monetary,1
5901,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/RewardVariable,https://data.cooperationdatabank.org/vocab/prop/rewardIncentive,Reward incentive,https://data.cooperationdatabank.org/id/rewardincentive/hypothetical,Hypothetical,https://data.cooperationdatabank.org/id/rewardincentive/non-monetary_social,Non-monetary Social,https://data.cooperationdatabank.org/vocab/prop/studyMatchingProtocol,Matching,https://data.cooperationdatabank.org/id/studymatchingprotocol/2,Partner,1
