,dependent,giv_prop,iv,iv_label,cat_t1,cat_t1_label,cat_t2,cat_t2_label,mod,mod_label,mod_val,mod_val_label,obs
6142,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Shadow_of_the_FutureVariable,https://data.cooperationdatabank.org/vocab/prop/shadowoftheFuture,Shadow of the future,True,True,False,False,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/NLD,NLD,3
6143,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Shadow_of_the_FutureVariable,https://data.cooperationdatabank.org/vocab/prop/shadowoftheFuture,Shadow of the future,True,True,False,False,https://data.cooperationdatabank.org/vocab/prop/countrySource,Source of country or region,https://data.cooperationdatabank.org/id/countrysource/3,All authors,3
6144,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Shadow_of_the_FutureVariable,https://data.cooperationdatabank.org/vocab/prop/shadowoftheFuture,Shadow of the future,True,True,False,False,https://data.cooperationdatabank.org/vocab/prop/deception,Deception,true,true,3
6145,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Shadow_of_the_FutureVariable,https://data.cooperationdatabank.org/vocab/prop/shadowoftheFuture,Shadow of the future,True,True,False,False,https://data.cooperationdatabank.org/vocab/prop/discussion,Discussion,https://data.cooperationdatabank.org/id/discussion/0,Absent,3
6146,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Shadow_of_the_FutureVariable,https://data.cooperationdatabank.org/vocab/prop/shadowoftheFuture,Shadow of the future,True,True,False,False,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,Published,https://data.cooperationdatabank.org/id/publicationstatus/1,Published Article,3
6147,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Shadow_of_the_FutureVariable,https://data.cooperationdatabank.org/vocab/prop/shadowoftheFuture,Shadow of the future,True,True,False,False,https://data.cooperationdatabank.org/vocab/prop/recruitmentMethod,Recruitment method,https://data.cooperationdatabank.org/id/recruitmentmethod/3,Other,3
6148,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Shadow_of_the_FutureVariable,https://data.cooperationdatabank.org/vocab/prop/shadowoftheFuture,Shadow of the future,True,True,False,False,https://data.cooperationdatabank.org/vocab/prop/sanction,Sanction,false,false,3
6149,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Shadow_of_the_FutureVariable,https://data.cooperationdatabank.org/vocab/prop/shadowoftheFuture,Shadow of the future,True,True,False,False,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,Acquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,Strangers,3
6150,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Shadow_of_the_FutureVariable,https://data.cooperationdatabank.org/vocab/prop/shadowoftheFuture,Shadow of the future,True,True,False,False,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,Game type,https://data.cooperationdatabank.org/id/studydilemmatype/1,Prisoner's Dilemma Game,3
6151,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Shadow_of_the_FutureVariable,https://data.cooperationdatabank.org/vocab/prop/shadowoftheFuture,Shadow of the future,True,True,False,False,https://data.cooperationdatabank.org/vocab/prop/studyExperimentalSetting,Experimental setting,https://data.cooperationdatabank.org/id/studyexperimentalsetting/2,Lab,3
6152,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Shadow_of_the_FutureVariable,https://data.cooperationdatabank.org/vocab/prop/shadowoftheFuture,Shadow of the future,True,True,False,False,https://data.cooperationdatabank.org/vocab/prop/studyGameIncentive,Game incentive,https://data.cooperationdatabank.org/id/studygameincentive/0,Hypothetical,3
6153,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Shadow_of_the_FutureVariable,https://data.cooperationdatabank.org/vocab/prop/shadowoftheFuture,Shadow of the future,True,True,False,False,https://data.cooperationdatabank.org/vocab/prop/studyKnownEndgame,Known endgame,true,true,3
6154,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Shadow_of_the_FutureVariable,https://data.cooperationdatabank.org/vocab/prop/shadowoftheFuture,Shadow of the future,True,True,False,False,https://data.cooperationdatabank.org/vocab/prop/studyMatchingProtocol,Matching,https://data.cooperationdatabank.org/id/studymatchingprotocol/1,Stranger,3
6155,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Shadow_of_the_FutureVariable,https://data.cooperationdatabank.org/vocab/prop/shadowoftheFuture,Shadow of the future,True,True,False,False,https://data.cooperationdatabank.org/vocab/prop/studyOneShot,One-shot vs repeated,https://data.cooperationdatabank.org/id/studyoneshot/1,One-shot,3
6156,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Shadow_of_the_FutureVariable,https://data.cooperationdatabank.org/vocab/prop/shadowoftheFuture,Shadow of the future,True,True,False,False,https://data.cooperationdatabank.org/vocab/prop/studyRealPartner,Real partner,https://data.cooperationdatabank.org/id/studyrealpartner/2,Deception,3
6157,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Shadow_of_the_FutureVariable,https://data.cooperationdatabank.org/vocab/prop/shadowoftheFuture,Shadow of the future,True,True,False,False,https://data.cooperationdatabank.org/vocab/prop/studyShowUpFee,Show-up fee,https://data.cooperationdatabank.org/id/studyshowupfee/1,Paid,3
6158,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/Shadow_of_the_FutureVariable,https://data.cooperationdatabank.org/vocab/prop/shadowoftheFuture,Shadow of the future,True,True,False,False,https://data.cooperationdatabank.org/vocab/prop/studySymmetric,Symmetry,true,true,3
