,dependent,giv_prop,iv,iv_label,cat_t1,cat_t1_label,cat_t2,cat_t2_label,mod,mod_label,mod_val,mod_val_label,obs
6161,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/State_TrustVariable,https://data.cooperationdatabank.org/vocab/prop/stateTrustLevel,State trust level,https://data.cooperationdatabank.org/id/statetrustlevel/low,Low,https://data.cooperationdatabank.org/id/statetrustlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/SGP,SGP,1
6162,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/State_TrustVariable,https://data.cooperationdatabank.org/vocab/prop/stateTrustLevel,State trust level,https://data.cooperationdatabank.org/id/statetrustlevel/low,Low,https://data.cooperationdatabank.org/id/statetrustlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/countrySource,Source of country or region,https://data.cooperationdatabank.org/id/countrysource/1,Specified country,1
6163,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/State_TrustVariable,https://data.cooperationdatabank.org/vocab/prop/stateTrustLevel,State trust level,https://data.cooperationdatabank.org/id/statetrustlevel/low,Low,https://data.cooperationdatabank.org/id/statetrustlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/deception,Deception,false,false,1
6164,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/State_TrustVariable,https://data.cooperationdatabank.org/vocab/prop/stateTrustLevel,State trust level,https://data.cooperationdatabank.org/id/statetrustlevel/low,Low,https://data.cooperationdatabank.org/id/statetrustlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/discussion,Discussion,https://data.cooperationdatabank.org/id/discussion/0,Absent,1
6165,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/State_TrustVariable,https://data.cooperationdatabank.org/vocab/prop/stateTrustLevel,State trust level,https://data.cooperationdatabank.org/id/statetrustlevel/low,Low,https://data.cooperationdatabank.org/id/statetrustlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,Published,https://data.cooperationdatabank.org/id/publicationstatus/1,Published Article,1
6166,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/State_TrustVariable,https://data.cooperationdatabank.org/vocab/prop/stateTrustLevel,State trust level,https://data.cooperationdatabank.org/id/statetrustlevel/low,Low,https://data.cooperationdatabank.org/id/statetrustlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/recruitmentMethod,Recruitment method,https://data.cooperationdatabank.org/id/recruitmentmethod/1,Participant pool,1
6167,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/State_TrustVariable,https://data.cooperationdatabank.org/vocab/prop/stateTrustLevel,State trust level,https://data.cooperationdatabank.org/id/statetrustlevel/low,Low,https://data.cooperationdatabank.org/id/statetrustlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/sanction,Sanction,false,false,1
6168,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/State_TrustVariable,https://data.cooperationdatabank.org/vocab/prop/stateTrustLevel,State trust level,https://data.cooperationdatabank.org/id/statetrustlevel/low,Low,https://data.cooperationdatabank.org/id/statetrustlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyAcademicDiscipline,Academic discipline,https://data.cooperationdatabank.org/id/studyacademicdiscipline/1,Economics,1
6169,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/State_TrustVariable,https://data.cooperationdatabank.org/vocab/prop/stateTrustLevel,State trust level,https://data.cooperationdatabank.org/id/statetrustlevel/low,Low,https://data.cooperationdatabank.org/id/statetrustlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,Acquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,Strangers,1
6170,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/State_TrustVariable,https://data.cooperationdatabank.org/vocab/prop/stateTrustLevel,State trust level,https://data.cooperationdatabank.org/id/statetrustlevel/low,Low,https://data.cooperationdatabank.org/id/statetrustlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyContinuousPGG,Continuous vs step-level public goods,https://data.cooperationdatabank.org/id/studycontinuouspgg/1,Continuous,1
6171,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/State_TrustVariable,https://data.cooperationdatabank.org/vocab/prop/stateTrustLevel,State trust level,https://data.cooperationdatabank.org/id/statetrustlevel/low,Low,https://data.cooperationdatabank.org/id/statetrustlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,Game type,https://data.cooperationdatabank.org/id/studydilemmatype/2,Public Goods Game,1
6172,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/State_TrustVariable,https://data.cooperationdatabank.org/vocab/prop/stateTrustLevel,State trust level,https://data.cooperationdatabank.org/id/statetrustlevel/low,Low,https://data.cooperationdatabank.org/id/statetrustlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyExperimentalSetting,Experimental setting,https://data.cooperationdatabank.org/id/studyexperimentalsetting/2,Lab,1
6173,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/State_TrustVariable,https://data.cooperationdatabank.org/vocab/prop/stateTrustLevel,State trust level,https://data.cooperationdatabank.org/id/statetrustlevel/low,Low,https://data.cooperationdatabank.org/id/statetrustlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyGameIncentive,Game incentive,https://data.cooperationdatabank.org/id/studygameincentive/0,Hypothetical,1
6174,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/State_TrustVariable,https://data.cooperationdatabank.org/vocab/prop/stateTrustLevel,State trust level,https://data.cooperationdatabank.org/id/statetrustlevel/low,Low,https://data.cooperationdatabank.org/id/statetrustlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyKnownEndgame,Known endgame,true,true,1
