,dependent,giv_prop,iv,iv_label,cat_t1,cat_t1_label,cat_t2,cat_t2_label,mod,mod_label,mod_val,mod_val_label,obs
6339,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/SymmetryVariable,https://data.cooperationdatabank.org/vocab/prop/symmetric,Symmetry,True,True,False,False,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/CHN,CHN,6
6340,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/SymmetryVariable,https://data.cooperationdatabank.org/vocab/prop/symmetric,Symmetry,True,True,False,False,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/ISR,ISR,1
6341,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/SymmetryVariable,https://data.cooperationdatabank.org/vocab/prop/symmetric,Symmetry,True,True,False,False,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/USA,USA,1
6342,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/SymmetryVariable,https://data.cooperationdatabank.org/vocab/prop/symmetric,Symmetry,True,True,False,False,https://data.cooperationdatabank.org/vocab/prop/countrySource,Source of country or region,https://data.cooperationdatabank.org/id/countrysource/1,Specified country,7
6343,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/SymmetryVariable,https://data.cooperationdatabank.org/vocab/prop/symmetric,Symmetry,True,True,False,False,https://data.cooperationdatabank.org/vocab/prop/countrySource,Source of country or region,https://data.cooperationdatabank.org/id/countrysource/3,All authors,1
6344,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/SymmetryVariable,https://data.cooperationdatabank.org/vocab/prop/symmetric,Symmetry,True,True,False,False,https://data.cooperationdatabank.org/vocab/prop/deception,Deception,false,false,2
6345,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/SymmetryVariable,https://data.cooperationdatabank.org/vocab/prop/symmetric,Symmetry,True,True,False,False,https://data.cooperationdatabank.org/vocab/prop/deception,Deception,true,true,6
6346,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/SymmetryVariable,https://data.cooperationdatabank.org/vocab/prop/symmetric,Symmetry,True,True,False,False,https://data.cooperationdatabank.org/vocab/prop/discussion,Discussion,https://data.cooperationdatabank.org/id/discussion/0,Absent,8
6347,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/SymmetryVariable,https://data.cooperationdatabank.org/vocab/prop/symmetric,Symmetry,True,True,False,False,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,Published,https://data.cooperationdatabank.org/id/publicationstatus/1,Published Article,8
6348,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/SymmetryVariable,https://data.cooperationdatabank.org/vocab/prop/symmetric,Symmetry,True,True,False,False,https://data.cooperationdatabank.org/vocab/prop/recruitmentMethod,Recruitment method,https://data.cooperationdatabank.org/id/recruitmentmethod/3,Other,1
