,dependent,giv_prop,iv,iv_label,cat_t1,cat_t1_label,cat_t2,cat_t2_label,mod,mod_label,mod_val,mod_val_label,obs
6449,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/SynchronyVariable,https://data.cooperationdatabank.org/vocab/prop/synchrony,Synchrony,True,na,False,na,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/GBR,GBR,1
6450,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/SynchronyVariable,https://data.cooperationdatabank.org/vocab/prop/synchrony,Synchrony,True,na,False,na,https://data.cooperationdatabank.org/vocab/prop/countrySource,Source of country or region,https://data.cooperationdatabank.org/id/countrysource/1,Specified country,1
6451,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/SynchronyVariable,https://data.cooperationdatabank.org/vocab/prop/synchrony,Synchrony,True,na,False,na,https://data.cooperationdatabank.org/vocab/prop/deception,Deception,false,na,1
6452,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/SynchronyVariable,https://data.cooperationdatabank.org/vocab/prop/synchrony,Synchrony,True,na,False,na,https://data.cooperationdatabank.org/vocab/prop/discussion,Discussion,https://data.cooperationdatabank.org/id/discussion/0,Absent,1
6453,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/SynchronyVariable,https://data.cooperationdatabank.org/vocab/prop/synchrony,Synchrony,True,na,False,na,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,Published,https://data.cooperationdatabank.org/id/publicationstatus/1,Published Article,1
6454,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/SynchronyVariable,https://data.cooperationdatabank.org/vocab/prop/synchrony,Synchrony,True,na,False,na,https://data.cooperationdatabank.org/vocab/prop/recruitmentMethod,Recruitment method,https://data.cooperationdatabank.org/id/recruitmentmethod/1,Participant pool,1
6455,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/SynchronyVariable,https://data.cooperationdatabank.org/vocab/prop/synchrony,Synchrony,True,na,False,na,https://data.cooperationdatabank.org/vocab/prop/sanction,Sanction,false,na,1
6456,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/SynchronyVariable,https://data.cooperationdatabank.org/vocab/prop/synchrony,Synchrony,True,na,False,na,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,Acquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,Strangers,1
6457,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/SynchronyVariable,https://data.cooperationdatabank.org/vocab/prop/synchrony,Synchrony,True,na,False,na,https://data.cooperationdatabank.org/vocab/prop/studyContinuousPGG,Continuous vs step-level public goods,https://data.cooperationdatabank.org/id/studycontinuouspgg/1,Continuous,1
6458,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/SynchronyVariable,https://data.cooperationdatabank.org/vocab/prop/synchrony,Synchrony,True,na,False,na,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,Game type,https://data.cooperationdatabank.org/id/studydilemmatype/2,Public Goods Game,1
6459,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/SynchronyVariable,https://data.cooperationdatabank.org/vocab/prop/synchrony,Synchrony,True,na,False,na,https://data.cooperationdatabank.org/vocab/prop/studyExperimentalSetting,Experimental setting,https://data.cooperationdatabank.org/id/studyexperimentalsetting/2,Lab,1
6460,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/SynchronyVariable,https://data.cooperationdatabank.org/vocab/prop/synchrony,Synchrony,True,na,False,na,https://data.cooperationdatabank.org/vocab/prop/studyGameIncentive,Game incentive,https://data.cooperationdatabank.org/id/studygameincentive/2,Monetary lottery,1
6461,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/SynchronyVariable,https://data.cooperationdatabank.org/vocab/prop/synchrony,Synchrony,True,na,False,na,https://data.cooperationdatabank.org/vocab/prop/studyMatchingProtocol,Matching,https://data.cooperationdatabank.org/id/studymatchingprotocol/2,Partner,1
6462,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/SynchronyVariable,https://data.cooperationdatabank.org/vocab/prop/synchrony,Synchrony,True,na,False,na,https://data.cooperationdatabank.org/vocab/prop/studyOneShot,One-shot vs repeated,https://data.cooperationdatabank.org/id/studyoneshot/0,Repeated,1
6463,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/SynchronyVariable,https://data.cooperationdatabank.org/vocab/prop/synchrony,Synchrony,True,na,False,na,https://data.cooperationdatabank.org/vocab/prop/studyRealPartner,Real partner,https://data.cooperationdatabank.org/id/studyrealpartner/1,Real,1
6464,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/SynchronyVariable,https://data.cooperationdatabank.org/vocab/prop/synchrony,Synchrony,True,na,False,na,https://data.cooperationdatabank.org/vocab/prop/studyStudentSample,Student sample,true,na,1
6465,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/SynchronyVariable,https://data.cooperationdatabank.org/vocab/prop/synchrony,Synchrony,True,na,False,na,https://data.cooperationdatabank.org/vocab/prop/studySymmetric,Symmetry,true,na,1
6466,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/SynchronyVariable,https://data.cooperationdatabank.org/vocab/prop/synchrony,Synchrony,True,na,False,na,https://data.cooperationdatabank.org/vocab/prop/studyTrialOfCooperation,Trial of cooperation,https://data.cooperationdatabank.org/id/studytrialofcooperation/1,All trials,1
