,dependent,giv_prop,iv,iv_label,cat_t1,cat_t1_label,cat_t2,cat_t2_label,mod,mod_label,mod_val,mod_val_label,obs
6468,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/TaxationVariable,https://data.cooperationdatabank.org/vocab/prop/minimumContributionLevel,Minimum contribution level,https://data.cooperationdatabank.org/id/minimumcontributionlevel/low,Low,https://data.cooperationdatabank.org/id/minimumcontributionlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/CAN,CAN,1
6469,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/TaxationVariable,https://data.cooperationdatabank.org/vocab/prop/minimumContributionLevel,Minimum contribution level,https://data.cooperationdatabank.org/id/minimumcontributionlevel/low,Low,https://data.cooperationdatabank.org/id/minimumcontributionlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/CHN,CHN,2
6470,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/TaxationVariable,https://data.cooperationdatabank.org/vocab/prop/minimumContributionLevel,Minimum contribution level,https://data.cooperationdatabank.org/id/minimumcontributionlevel/low,Low,https://data.cooperationdatabank.org/id/minimumcontributionlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/DEU,DEU,2
6471,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/TaxationVariable,https://data.cooperationdatabank.org/vocab/prop/minimumContributionLevel,Minimum contribution level,https://data.cooperationdatabank.org/id/minimumcontributionlevel/low,Low,https://data.cooperationdatabank.org/id/minimumcontributionlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/country,has country,https://data.cooperationdatabank.org/id/country/USA,USA,8
6472,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/TaxationVariable,https://data.cooperationdatabank.org/vocab/prop/minimumContributionLevel,Minimum contribution level,https://data.cooperationdatabank.org/id/minimumcontributionlevel/low,Low,https://data.cooperationdatabank.org/id/minimumcontributionlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/countrySource,Source of country or region,https://data.cooperationdatabank.org/id/countrysource/1,Specified country,13
6473,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/TaxationVariable,https://data.cooperationdatabank.org/vocab/prop/minimumContributionLevel,Minimum contribution level,https://data.cooperationdatabank.org/id/minimumcontributionlevel/low,Low,https://data.cooperationdatabank.org/id/minimumcontributionlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/deception,Deception,false,false,13
6474,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/TaxationVariable,https://data.cooperationdatabank.org/vocab/prop/minimumContributionLevel,Minimum contribution level,https://data.cooperationdatabank.org/id/minimumcontributionlevel/low,Low,https://data.cooperationdatabank.org/id/minimumcontributionlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/discussion,Discussion,https://data.cooperationdatabank.org/id/discussion/0,Absent,13
6475,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/TaxationVariable,https://data.cooperationdatabank.org/vocab/prop/minimumContributionLevel,Minimum contribution level,https://data.cooperationdatabank.org/id/minimumcontributionlevel/low,Low,https://data.cooperationdatabank.org/id/minimumcontributionlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/publicationStatus,Published,https://data.cooperationdatabank.org/id/publicationstatus/1,Published Article,13
6476,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/TaxationVariable,https://data.cooperationdatabank.org/vocab/prop/minimumContributionLevel,Minimum contribution level,https://data.cooperationdatabank.org/id/minimumcontributionlevel/low,Low,https://data.cooperationdatabank.org/id/minimumcontributionlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/recruitmentMethod,Recruitment method,https://data.cooperationdatabank.org/id/recruitmentmethod/1,Participant pool,3
6477,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/TaxationVariable,https://data.cooperationdatabank.org/vocab/prop/minimumContributionLevel,Minimum contribution level,https://data.cooperationdatabank.org/id/minimumcontributionlevel/low,Low,https://data.cooperationdatabank.org/id/minimumcontributionlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/sanction,Sanction,false,false,13
6478,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/TaxationVariable,https://data.cooperationdatabank.org/vocab/prop/minimumContributionLevel,Minimum contribution level,https://data.cooperationdatabank.org/id/minimumcontributionlevel/low,Low,https://data.cooperationdatabank.org/id/minimumcontributionlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/sanction,Sanction,true,true,10
6479,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/TaxationVariable,https://data.cooperationdatabank.org/vocab/prop/minimumContributionLevel,Minimum contribution level,https://data.cooperationdatabank.org/id/minimumcontributionlevel/low,Low,https://data.cooperationdatabank.org/id/minimumcontributionlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyAcademicDiscipline,Academic discipline,https://data.cooperationdatabank.org/id/studyacademicdiscipline/4,Mixed,3
6480,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/TaxationVariable,https://data.cooperationdatabank.org/vocab/prop/minimumContributionLevel,Minimum contribution level,https://data.cooperationdatabank.org/id/minimumcontributionlevel/low,Low,https://data.cooperationdatabank.org/id/minimumcontributionlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyAcquaintance,Acquaintance,https://data.cooperationdatabank.org/id/studyacquaintance/0,Strangers,13
6481,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/TaxationVariable,https://data.cooperationdatabank.org/vocab/prop/minimumContributionLevel,Minimum contribution level,https://data.cooperationdatabank.org/id/minimumcontributionlevel/low,Low,https://data.cooperationdatabank.org/id/minimumcontributionlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyContinuousPGG,Continuous vs step-level public goods,https://data.cooperationdatabank.org/id/studycontinuouspgg/1,Continuous,13
6482,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/TaxationVariable,https://data.cooperationdatabank.org/vocab/prop/minimumContributionLevel,Minimum contribution level,https://data.cooperationdatabank.org/id/minimumcontributionlevel/low,Low,https://data.cooperationdatabank.org/id/minimumcontributionlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyDilemmaType,Game type,https://data.cooperationdatabank.org/id/studydilemmatype/2,Public Goods Game,13
6483,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/TaxationVariable,https://data.cooperationdatabank.org/vocab/prop/minimumContributionLevel,Minimum contribution level,https://data.cooperationdatabank.org/id/minimumcontributionlevel/low,Low,https://data.cooperationdatabank.org/id/minimumcontributionlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyExperimentalSetting,Experimental setting,https://data.cooperationdatabank.org/id/studyexperimentalsetting/2,Lab,13
6484,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/TaxationVariable,https://data.cooperationdatabank.org/vocab/prop/minimumContributionLevel,Minimum contribution level,https://data.cooperationdatabank.org/id/minimumcontributionlevel/low,Low,https://data.cooperationdatabank.org/id/minimumcontributionlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyGameIncentive,Game incentive,https://data.cooperationdatabank.org/id/studygameincentive/1,Monetary,13
6485,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/TaxationVariable,https://data.cooperationdatabank.org/vocab/prop/minimumContributionLevel,Minimum contribution level,https://data.cooperationdatabank.org/id/minimumcontributionlevel/low,Low,https://data.cooperationdatabank.org/id/minimumcontributionlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyKnownEndgame,Known endgame,true,true,11
6486,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/TaxationVariable,https://data.cooperationdatabank.org/vocab/prop/minimumContributionLevel,Minimum contribution level,https://data.cooperationdatabank.org/id/minimumcontributionlevel/low,Low,https://data.cooperationdatabank.org/id/minimumcontributionlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyMatchingProtocol,Matching,https://data.cooperationdatabank.org/id/studymatchingprotocol/1,Stranger,11
6487,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/TaxationVariable,https://data.cooperationdatabank.org/vocab/prop/minimumContributionLevel,Minimum contribution level,https://data.cooperationdatabank.org/id/minimumcontributionlevel/low,Low,https://data.cooperationdatabank.org/id/minimumcontributionlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyMatchingProtocol,Matching,https://data.cooperationdatabank.org/id/studymatchingprotocol/2,Partner,2
6488,https://data.cooperationdatabank.org/id/dependentvariable/contributions,https://data.cooperationdatabank.org/vocab/prop/TaxationVariable,https://data.cooperationdatabank.org/vocab/prop/minimumContributionLevel,Minimum contribution level,https://data.cooperationdatabank.org/id/minimumcontributionlevel/low,Low,https://data.cooperationdatabank.org/id/minimumcontributionlevel/high,High,https://data.cooperationdatabank.org/vocab/prop/studyOneShot,One-shot vs repeated,https://data.cooperationdatabank.org/id/studyoneshot/0,Repeated,2
