,dependent,giv_prop,iv,iv_label,cat_t1,cat_t1_label,cat_t2,cat_t2_label,mod,mod_label,mod_t1,mod_t1_label,mod_t2,mod_t2_label,obs
60,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/ChoicesVariable,https://data.cooperationdatabank.org/vocab/prop/lowerChoiceRangeLevel,Lowest choice option level,https://data.cooperationdatabank.org/id/lowerchoicerangelevel/high,High,https://data.cooperationdatabank.org/id/lowerchoicerangelevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/nbOfChoicesLevel,Number of choices level,https://data.cooperationdatabank.org/id/nbofchoiceslevel/low,Low,https://data.cooperationdatabank.org/id/nbofchoiceslevel/high,High,1
61,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/ChoicesVariable,https://data.cooperationdatabank.org/vocab/prop/lowerChoiceRangeLevel,Lowest choice option level,https://data.cooperationdatabank.org/id/lowerchoicerangelevel/high,High,https://data.cooperationdatabank.org/id/lowerchoicerangelevel/low,Low,https://data.cooperationdatabank.org/vocab/prop/upperChoiceRangeLevel,Highest choice option level,https://data.cooperationdatabank.org/id/upperchoicerangelevel/low,Low,https://data.cooperationdatabank.org/id/upperchoicerangelevel/high,High,1
62,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/ChoicesVariable,https://data.cooperationdatabank.org/vocab/prop/nbOfChoicesLevel,Number of choices level,https://data.cooperationdatabank.org/id/nbofchoiceslevel/low,Low,https://data.cooperationdatabank.org/id/nbofchoiceslevel/high,High,https://data.cooperationdatabank.org/vocab/prop/lowerChoiceRangeLevel,Lowest choice option level,https://data.cooperationdatabank.org/id/lowerchoicerangelevel/high,High,https://data.cooperationdatabank.org/id/lowerchoicerangelevel/low,Low,1
63,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/ChoicesVariable,https://data.cooperationdatabank.org/vocab/prop/nbOfChoicesLevel,Number of choices level,https://data.cooperationdatabank.org/id/nbofchoiceslevel/low,Low,https://data.cooperationdatabank.org/id/nbofchoiceslevel/high,High,https://data.cooperationdatabank.org/vocab/prop/upperChoiceRangeLevel,Highest choice option level,https://data.cooperationdatabank.org/id/upperchoicerangelevel/low,Low,https://data.cooperationdatabank.org/id/upperchoicerangelevel/high,High,4
64,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/ChoicesVariable,https://data.cooperationdatabank.org/vocab/prop/nbOfChoicesLevel,Number of choices level,https://data.cooperationdatabank.org/id/nbofchoiceslevel/low,Low,https://data.cooperationdatabank.org/id/nbofchoiceslevel/medium,Medium,https://data.cooperationdatabank.org/vocab/prop/upperChoiceRangeLevel,Highest choice option level,https://data.cooperationdatabank.org/id/upperchoicerangelevel/low,Low,https://data.cooperationdatabank.org/id/upperchoicerangelevel/medium,Medium,2
65,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/ChoicesVariable,https://data.cooperationdatabank.org/vocab/prop/nbOfChoicesLevel,Number of choices level,https://data.cooperationdatabank.org/id/nbofchoiceslevel/medium,Medium,https://data.cooperationdatabank.org/id/nbofchoiceslevel/high,High,https://data.cooperationdatabank.org/vocab/prop/upperChoiceRangeLevel,Highest choice option level,https://data.cooperationdatabank.org/id/upperchoicerangelevel/medium,Medium,https://data.cooperationdatabank.org/id/upperchoicerangelevel/high,High,1
66,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/ChoicesVariable,https://data.cooperationdatabank.org/vocab/prop/upperChoiceRangeLevel,Highest choice option level,https://data.cooperationdatabank.org/id/upperchoicerangelevel/low,Low,https://data.cooperationdatabank.org/id/upperchoicerangelevel/high,High,https://data.cooperationdatabank.org/vocab/prop/lowerChoiceRangeLevel,Lowest choice option level,https://data.cooperationdatabank.org/id/lowerchoicerangelevel/high,High,https://data.cooperationdatabank.org/id/lowerchoicerangelevel/low,Low,1
67,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/ChoicesVariable,https://data.cooperationdatabank.org/vocab/prop/upperChoiceRangeLevel,Highest choice option level,https://data.cooperationdatabank.org/id/upperchoicerangelevel/low,Low,https://data.cooperationdatabank.org/id/upperchoicerangelevel/high,High,https://data.cooperationdatabank.org/vocab/prop/nbOfChoicesLevel,Number of choices level,https://data.cooperationdatabank.org/id/nbofchoiceslevel/low,Low,https://data.cooperationdatabank.org/id/nbofchoiceslevel/high,High,4
68,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/ChoicesVariable,https://data.cooperationdatabank.org/vocab/prop/upperChoiceRangeLevel,Highest choice option level,https://data.cooperationdatabank.org/id/upperchoicerangelevel/low,Low,https://data.cooperationdatabank.org/id/upperchoicerangelevel/medium,Medium,https://data.cooperationdatabank.org/vocab/prop/nbOfChoicesLevel,Number of choices level,https://data.cooperationdatabank.org/id/nbofchoiceslevel/low,Low,https://data.cooperationdatabank.org/id/nbofchoiceslevel/medium,Medium,2
69,https://data.cooperationdatabank.org/id/dependentvariable/cooperation,https://data.cooperationdatabank.org/vocab/prop/ChoicesVariable,https://data.cooperationdatabank.org/vocab/prop/upperChoiceRangeLevel,Highest choice option level,https://data.cooperationdatabank.org/id/upperchoicerangelevel/medium,Medium,https://data.cooperationdatabank.org/id/upperchoicerangelevel/high,High,https://data.cooperationdatabank.org/vocab/prop/nbOfChoicesLevel,Number of choices level,https://data.cooperationdatabank.org/id/nbofchoiceslevel/medium,Medium,https://data.cooperationdatabank.org/id/nbofchoiceslevel/high,High,1
