,embedding_dim,epochs,lr,model,num_negs_per_pos,hits@1,hits@3,hits@10,mean_reciprocal_rank
0,208,200,0.02,transe,20,0.037162162162162164,0.10585585585585586,0.17117117117117117,0.08942849934101105
1,64,300,0.05,distmult,80,0.08108108108108109,0.11936936936936937,0.16891891891891891,0.12350919097661972
2,16,400,0.02,distmult,80,0.038288288288288286,0.1373873873873874,0.18243243243243243,0.10272260010242464
3,416,100,0.1,transe,20,0.036036036036036036,0.057432432432432436,0.134009009009009,0.07033295929431915
4,224,100,0.002,transe,50,0.0,0.14301801801801803,0.16216216216216217,0.07548268139362335
5,304,100,0.002,rgcn,60,0.1463963963963964,0.2195945945945946,0.3490990990990991,0.21474885940551758
6,272,100,0.02,transe,10,0.007882882882882882,0.10923423423423423,0.15202702702702703,0.07122334092855453
7,368,300,0.05,complex,10,0.01463963963963964,0.0259009009009009,0.07094594594594594,0.03580262511968613
8,256,200,0.002,distmult,40,0.11486486486486487,0.26576576576576577,0.40427927927927926,0.21509820222854614
9,96,300,0.05,rgcn,30,0.06981981981981981,0.11936936936936937,0.18018018018018017,0.11402023583650588
10,496,500,0.01,distmult,10,0.12162162162162163,0.2713963963963964,0.4617117117117117,0.23198404908180237
11,144,100,0.05,transe,90,0.08220720720720721,0.09797297297297297,0.14301801801801803,0.10396059602499008
12,192,200,0.1,distmult,1,0.04954954954954955,0.08220720720720721,0.14076576576576577,0.08432650566101074
13,304,500,0.02,rgcn,70,0.033783783783783786,0.14414414414414414,0.2894144144144144,0.12177298218011857
14,16,300,0.1,transe,90,0.08445945945945946,0.13288288288288289,0.2072072072072072,0.1272374540567398
15,160,300,0.001,rgcn,100,0.09234234234234234,0.21846846846846846,0.37725225225225223,0.189995676279068
16,432,200,0.1,complex,80,0.010135135135135136,0.03153153153153153,0.061936936936936936,0.03192433342337608
17,320,200,0.05,transe,1,0.10585585585585586,0.10810810810810811,0.11599099099099099,0.11378896236419678
18,32,100,0.002,transe,60,0.039414414414414414,0.06531531531531531,0.11148648648648649,0.0670551210641861
19,80,300,0.01,complex,100,0.0011261261261261261,0.0022522522522522522,0.01126126126126126,0.007432342506945133
20,64,400,0.002,transe,1,0.04504504504504504,0.08333333333333333,0.15090090090090091,0.08175778388977051
21,496,200,0.001,complex,10,0.0,0.0,0.0022522522522522522,0.0026728620287030935
22,352,200,0.001,rgcn,40,0.12612612612612611,0.1891891891891892,0.3344594594594595,0.194635808467865
23,288,500,0.02,distmult,70,0.030405405405405407,0.09572072072072071,0.24774774774774774,0.09948109835386276
24,16,500,0.002,rgcn,70,0.08333333333333333,0.16328828828828829,0.27702702702702703,0.15542109310626984
25,352,500,0.001,complex,10,0.0,0.0,0.0022522522522522522,0.0025419213343411684
26,432,400,0.01,transe,50,0.05855855855855856,0.11148648648648649,0.17117117117117117,0.10144472867250441
27,512,200,0.002,complex,30,0.0,0.0,0.0022522522522522522,0.0033635406289249654
28,304,200,0.05,distmult,60,0.12274774774774774,0.19932432432432431,0.31981981981981983,0.1898493766784668
29,256,200,0.005,complex,90,0.0011261261261261261,0.0022522522522522522,0.00563063063063063,0.004823789931833744
30,48,300,0.002,complex,90,0.0,0.0033783783783783786,0.01126126126126126,0.006848142948001623
31,144,400,0.05,distmult,1,0.05855855855855856,0.10022522522522523,0.15990990990990991,0.09841645509004593
32,32,300,0.01,complex,40,0.0022522522522522522,0.007882882882882882,0.030405405405405407,0.016413895413279533
33,416,100,0.005,distmult,90,0.11599099099099099,0.25788288288288286,0.40427927927927926,0.21549552679061892
34,256,400,0.01,transe,1,0.08333333333333333,0.10135135135135136,0.13288288288288289,0.10526465624570848
35,448,500,0.1,transe,70,0.033783783783783786,0.05630630630630631,0.08783783783783784,0.05354237928986549
36,128,200,0.02,rgcn,30,0.10135135135135136,0.15990990990990991,0.2725225225225225,0.15869425237178802
37,432,300,0.001,transe,80,0.021396396396396396,0.15315315315315314,0.18693693693693694,0.09454134106636047
38,160,100,0.1,transe,10,0.00563063063063063,0.016891891891891893,0.041666666666666664,0.02824629470705986
39,512,200,0.01,rgcn,20,0.028153153153153154,0.11599099099099099,0.240990990990991,0.09981293231248856
40,256,300,0.002,distmult,40,0.11936936936936937,0.26914414414414417,0.41103603603603606,0.22020371258258817
41,400,100,0.005,distmult,30,0.11036036036036036,0.25225225225225223,0.40315315315315314,0.2105870395898819
42,256,400,0.01,rgcn,60,0.060810810810810814,0.14864864864864866,0.26463963963963966,0.13401658833026886
43,400,200,0.05,rgcn,10,0.018018018018018018,0.04054054054054054,0.09346846846846847,0.04673943296074867
44,192,500,0.05,transe,80,0.06981981981981981,0.0945945945945946,0.15990990990990991,0.09539983421564102
45,464,100,0.01,transe,30,0.016891891891891893,0.07882882882882883,0.15765765765765766,0.06335939466953278
46,224,200,0.1,distmult,1,0.057432432432432436,0.10022522522522523,0.14076576576576577,0.09360548853874207
47,400,200,0.1,distmult,80,0.0990990990990991,0.1981981981981982,0.3524774774774775,0.18311525881290436
48,64,400,0.002,complex,80,0.0,0.0045045045045045045,0.013513513513513514,0.006776911672204732
49,336,100,0.1,rgcn,40,0.012387387387387387,0.04842342342342342,0.10022522522522523,0.046954721212387085
50,128,300,0.05,complex,30,0.0033783783783783786,0.012387387387387387,0.04504504504504504,0.020058628171682358
51,496,300,0.05,distmult,20,0.10698198198198199,0.21396396396396397,0.34459459459459457,0.1855798363685608
52,336,300,0.05,complex,10,0.01126126126126126,0.02252252252252252,0.0686936936936937,0.03225558251142502
53,416,100,0.02,complex,80,0.0033783783783783786,0.006756756756756757,0.015765765765765764,0.009550580754876137
54,320,100,0.002,distmult,90,0.15653153153153154,0.32207207207207206,0.4369369369369369,0.255168080329895
55,464,400,0.05,distmult,90,0.1373873873873874,0.22184684684684686,0.39864864864864863,0.21449469029903412
56,448,200,0.02,transe,10,0.07207207207207207,0.09346846846846847,0.1204954954954955,0.09520691633224487
57,112,500,0.05,complex,60,0.03265765765765766,0.06418918918918919,0.15427927927927929,0.07090196013450623
58,128,400,0.05,rgcn,50,0.02927927927927928,0.09346846846846847,0.19144144144144143,0.08611571043729782
59,128,300,0.1,transe,70,0.08108108108108109,0.11711711711711711,0.14752252252252251,0.11002040654420851
60,368,400,0.01,transe,1,0.0022522522522522522,0.019144144144144143,0.04054054054054054,0.025694772601127625
61,224,400,0.05,complex,90,0.012387387387387387,0.02927927927927928,0.06418918918918919,0.0347101129591465
62,464,400,0.002,transe,80,0.009009009009009009,0.15202702702702703,0.1981981981981982,0.08811928331851959
63,368,100,0.02,complex,50,0.0,0.0,0.006756756756756757,0.0028341563884168863
64,144,200,0.02,distmult,40,0.059684684684684686,0.18355855855855857,0.3186936936936937,0.14972876012325287
65,400,400,0.1,distmult,20,0.09346846846846847,0.19932432432432431,0.30743243243243246,0.17261217534542084
66,80,500,0.005,rgcn,100,0.1463963963963964,0.29617117117117114,0.48873873873873874,0.25931254029273987
67,64,300,0.01,complex,50,0.0033783783783783786,0.0045045045045045045,0.012387387387387387,0.010336315259337425
68,80,100,0.1,transe,50,0.00563063063063063,0.10698198198198199,0.16666666666666666,0.07059483975172043
69,304,100,0.02,complex,90,0.0,0.0033783783783783786,0.0045045045045045045,0.004793420433998108
70,32,400,0.002,transe,100,0.04842342342342342,0.08558558558558559,0.15202702702702703,0.08409123122692108
71,400,100,0.1,rgcn,10,0.010135135135135136,0.02252252252252252,0.041666666666666664,0.02486354298889637
72,192,400,0.02,distmult,80,0.11373873873873874,0.2545045045045045,0.37274774774774777,0.20176014304161072
73,400,200,0.1,rgcn,80,0.057432432432432436,0.1036036036036036,0.18693693693693694,0.10291446745395659
74,192,500,0.02,transe,70,0.015765765765765764,0.12725225225225226,0.17342342342342343,0.08588473498821259
75,416,100,0.01,complex,90,0.0022522522522522522,0.006756756756756757,0.016891891891891893,0.008561208844184875
76,240,100,0.005,complex,90,0.0011261261261261261,0.0033783783783783786,0.0033783783783783786,0.004718809854239225
77,80,400,0.002,distmult,70,0.08445945945945946,0.2635135135135135,0.38626126126126126,0.195718988776207
78,256,400,0.02,complex,30,0.0045045045045045045,0.012387387387387387,0.03490990990990991,0.019198080524802208
79,208,200,0.005,complex,80,0.0,0.0033783783783783786,0.0045045045045045045,0.0044035413302481174
80,384,100,0.005,complex,1,0.0,0.0,0.0033783783783783786,0.0028456866275519133
81,208,500,0.05,transe,90,0.09684684684684684,0.12274774774774774,0.14752252252252251,0.11591865122318268
82,320,200,0.05,distmult,20,0.07094594594594594,0.16328828828828829,0.3186936936936937,0.1538839191198349
83,384,200,0.05,complex,80,0.0011261261261261261,0.0045045045045045045,0.016891891891891893,0.009288069792091846
84,160,200,0.01,rgcn,60,0.07995495495495496,0.15990990990990991,0.2725225225225225,0.14982649683952332
85,176,500,0.1,transe,60,0.04504504504504504,0.12612612612612611,0.1373873873873874,0.08010192960500717
86,112,200,0.05,complex,90,0.00563063063063063,0.01463963963963964,0.041666666666666664,0.020792832598090172
87,80,300,0.05,complex,20,0.01126126126126126,0.036036036036036036,0.09009009009009009,0.039410222321748734
88,432,200,0.05,transe,80,0.0472972972972973,0.12162162162162163,0.1373873873873874,0.08086057752370834
89,96,100,0.005,transe,30,0.01463963963963964,0.11711711711711711,0.18018018018018017,0.07924724370241165
90,496,100,0.01,distmult,1,0.134009009009009,0.23085585585585586,0.34572072072072074,0.20878048241138455
91,336,500,0.1,distmult,30,0.09572072072072071,0.16666666666666666,0.26013513513513514,0.15381434559822083
92,176,100,0.02,complex,10,0.0,0.006756756756756757,0.012387387387387387,0.007605450693517923
93,224,500,0.05,transe,70,0.012387387387387387,0.09346846846846847,0.15765765765765766,0.06827344745397568
