node,label,description
http://www.daml.org/2001/12/factbook/factbook-ont#airports,Airports,Airports compares the total number of airports or airfields recognizable from the air. The runway(s) may be paved or unpaved and may include closed or abandoned installations.
http://www.daml.org/2001/12/factbook/factbook-ont#birthRate,Birth rate (factbook),"Birth rate compares the average annual number of births during a year per 1,000 persons in the population at midyear; also known as crude birth rate."
http://www.daml.org/2001/12/factbook/factbook-ont#budgetExpenditures,Budget expenditures,"Revenues, expenditures, and capital expenditures. These figures are calculated on an exchange rate basis, i.e., not in purchasing power parity (PPP) terms."
http://www.daml.org/2001/12/factbook/factbook-ont#budgetRevenues,Budget revenues,"The difference between national government revenues and expenditures, expressed as a percent of GDP. A positive (+) number indicates that revenues exceeded expenditures (a budget surplus), while a negative (-) number indicates the reverse (a budget deficit). Normalizing the data, by dividing the budget balance by GDP, enables easy comparisons across countries and indicates whether a national government saves or borrows money. Countries with high budget deficits (relative to their GDPs) generally have more difficulty raising funds to finance expenditures, than those with lower deficits."
http://www.daml.org/2001/12/factbook/factbook-ont#coastline,Coastline,The total length of the boundary between the land area (including islands) and the sea.
http://www.daml.org/2001/12/factbook/factbook-ont#deathRate,Death rate,"Death rate compares the average annual number of deaths during a year per 1,000 population at midyear; also known as crude death rate."
http://www.daml.org/2001/12/factbook/factbook-ont#electricityConsumption,Electricity consumption,"Electricity - consumption compares total electricity generated annually plus imports and minus exports, expressed in kilowatt-hours."
http://www.daml.org/2001/12/factbook/factbook-ont#electricityExports,Electricity exports,Electricity â exports is the total exported electricity in kilowatt-hours.
http://www.daml.org/2001/12/factbook/factbook-ont#electricityImports,Electricity imports,Electricity - imports is the total imported electricity in kilowatt-hours.
http://www.daml.org/2001/12/factbook/factbook-ont#electricityProduction,Electricity production,Electricity - production compares the annual electricity generated expressed in kilowatt-hours.
http://www.daml.org/2001/12/factbook/factbook-ont#electricityProductionFossilFuel,Electricity production from fossil fuel,"Electricity â from fossil fuels measures the capacity of plants that generate electricity by burning fossil fuels (such as coal, petroleum products, and natural gas), expressed as a share of the country's total generating capacity."
http://www.daml.org/2001/12/factbook/factbook-ont#electricityProductionHydro,Electricity production from hydroelectric plants,"Electricity - from hydroelectric plants measures the capacity of plants that generate electricity by water-driven turbines, expressed as a share of the country's total generating capacity."
